–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ‡ÔÓ‚fq ≈‚„ÂÌËÈ_› √_03_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2008;0.6874302;
-0.02122877;1933;4.602715;
-0.02578321;1886;6.646925;
-0.02969806;1846;4.35481;
-0.02920786;1807;0.9993632;
-0.03152617;1795;-0.29117;
-0.03581784;1823;0.3527916;
-0.04093812;1871;2.380534;
-0.04635295;1902;5.410108;
-0.05216198;1883;9.127006;
-0.05685086;1796;12.76397;
-0.06011757;1661;14.79232;
-0.05858566;1525;13.89682;
-0.05842378;1425;11.16259;
-0.06065361;1365;9.465443;
-0.05845338;1342;8.93498;
-0.06100743;1353;6.19063;
-0.0608493;1362;-1.519098;
-0.06255765;1339;-12.26416;
-0.06710602;1292;-22.61015;
-0.06686705;1244;-31.92524;
-0.05783848;1190;-42.55179;
-0.06311763;1129;-54.77829;
-0.0642321;1076;-66.91915;
-0.06654517;1029;-80.42482;
-0.06865116;991;-99.05108;
-0.06403776;986;-122.7905;
-0.06371848;1005;-148.7128;
-0.06076288;993;-176.3582;
-0.05793952;937;-205.8855;
-0.06680156;876;-234.5338;
-0.06466153;819;-260.421;
-0.05853221;762;-286.0049;
-0.06118528;727;-314.8549;
-0.06440077;731;-349.5707;
-0.06171774;737;-391.7657;
-0.05564747;729;-437.483;
-0.04932353;731;-477.9571;
-0.05675675;727;-508.492;
-0.06284994;668;-532.0493;
-0.06052688;560;-552.3709;
-0.06928517;467;-571.2003;
-0.07756215;417;-591.7743;
-0.08440998;389;-617.8542;
-0.08431454;362;-648.9395;
-0.08448301;329;-681.1702;
-0.08680407;299;-709.7056;
-0.1005147;285;-730.9449;
-0.1047444;283;-744.6469;
-0.09495111;265;-753.7119;
-0.09996357;215;-757.0781;
-0.1001145;173;-750.8651;
-0.1077441;160;-736.7336;
-0.09355988;173;-723.7623;
-0.08491337;211;-716.6707;
-0.08072823;266;-711.316;
-0.07853086;303;-702.4261;
-0.08229263;292;-689.1318;
-0.09267239;255;-670.9883;
-0.07502018;226;-645.4915;
