–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ‡ÔÓÙ˚‡Ù‚ ≈‚„ÂÌËÈ_› √_07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-379;-355.6764;
-0.02122877;-564;-449.4072;
-0.02578321;-776;-516.6609;
-0.02969806;-818;-549.2181;
-0.02920786;-719;-550.1711;
-0.03152617;-656;-544.216;
-0.03581784;-731;-566.8458;
-0.04093812;-846;-628.4276;
-0.04635295;-834;-699.9866;
-0.05216198;-677;-743.812;
-0.05685086;-504;-750.2877;
-0.06011757;-414;-739.9447;
-0.05858566;-397;-739.5096;
-0.05842378;-424;-752.9797;
-0.06065361;-523;-756.5082;
-0.05845338;-734;-729.485;
-0.06100743;-971;-684.9238;
-0.0608493;-1004;-655.0565;
-0.06255765;-733;-656.0194;
-0.06710602;-383;-678.5356;
-0.06686705;-269;-703.3161;
-0.05783848;-431;-714.0903;
-0.06311763;-637;-701.1082;
-0.0642321;-686;-660.1181;
-0.06654517;-601;-596.0734;
-0.06865116;-554;-531.3078;
-0.06403776;-650;-497.7841;
-0.06371848;-786;-504.5694;
-0.06076288;-798;-525.2248;
-0.05793952;-672;-526.0515;
-0.06680156;-527;-498.8762;
-0.06466153;-446;-462.0769;
-0.05853221;-417;-437.4386;
-0.06118528;-419;-424.266;
-0.06440077;-493;-398.4906;
-0.06171774;-693;-343.0696;
-0.05564747;-930;-274.3322;
-0.04932353;-960;-224.1261;
-0.05675675;-676;-204.813;
-0.06284994;-315;-203.7831;
-0.06052688;-202;-201.4959;
-0.06928517;-371;-183.739;
-0.07756215;-579;-141.9724;
-0.08440998;-620;-69.71732;
-0.08431454;-516;32.41151;
-0.08448301;-452;145.3214;
-0.08680407;-543;237.8431;
-0.1005147;-685;300.2491;
-0.1047444;-694;359.5423;
-0.09495111;-548;451.3718;
-0.09996357;-383;586.0722;
-0.1001145;-302;746.157;
-0.1077441;-301;910.0555;
-0.09355988;-349;1078.045;
-0.08491337;-453;1275.427;
