–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ÓqfqÎÂÒÌËÍÓ‚ ¿ÎÂÍÒÂÈ_› √_07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;714;-2914.26;
-0.02122877;672;-2820.712;
-0.02578321;611;-2745.235;
-0.02969806;705;-2650.501;
-0.02920786;871;-2518.92;
-0.03152617;929;-2370.21;
-0.03581784;889;-2235.669;
-0.04093812;875;-2131.692;
-0.04635295;893;-2045.865;
-0.05216198;826;-1939.23;
-0.05685086;618;-1783.933;
-0.06011757;440;-1598.632;
-0.05858566;541;-1429.921;
-0.05842378;892;-1304.754;
-0.06065361;1153;-1217.964;
-0.05845338;1085;-1149.922;
-0.06100743;827;-1079.084;
-0.0608493;661;-985.9335;
-0.06255765;704;-863.3166;
-0.06710602;871;-729.0042;
-0.06686705;994;-621.2255;
-0.05783848;945;-566.7297;
-0.06311763;737;-551.2469;
-0.0642321;515;-532.3326;
-0.06654517;429;-481.7298;
-0.06865116;534;-410.0637;
-0.06403776;780;-357.6227;
-0.06371848;1040;-359.9352;
-0.06076288;1170;-409.5497;
-0.05793952;1086;-456.5244;
-0.06680156;827;-462.033;
-0.06466153;572;-438.7305;
-0.05853221;517;-423.5368;
-0.06118528;679;-431.0961;
-0.06440077;878;-451.5334;
-0.06171774;953;-474.7594;
-0.05564747;926;-496.6376;
-0.04932353;941;-506.9045;
-0.05675675;1096;-485.9646;
-0.06284994;1335;-428.4167;
-0.06052688;1473;-364.9579;
-0.06928517;1407;-338.1608;
-0.07756215;1267;-350.8299;
-0.08440998;1255;-361.3477;
-0.08431454;1423;-331.8866;
-0.08448301;1669;-263.0503;
-0.08680407;1881;-185.6208;
-0.1005147;2006;-132.7888;
-0.1047444;2006;-110.5392;
-0.09495111;1832;-90.05824;
-0.09996357;1503;-40.09484;
-0.1001145;1256;39.65602;
-0.1077441;1388;126.2616;
-0.09355988;1856;199.4492;
-0.08491337;2241;249.5609;
-0.08072823;2224;275.6042;
-0.07853086;1903;290.8907;
-0.08229263;1586;323.1159;
-0.09267239;1499;393.8393;
-0.07502018;1667;489.9402;
-0.0584675;1882;564.1581;
-0.06284614;1891;579.6315;
-0.04117477;1680;551.4117;
-0.0323512;1483;526.1874;
-0.05067954;1471;530.4568;
-0.0410386;1595;553.5899;
-0.01999021;1711;568.211;
0.009037151;1753;553.7179;
0.00619929;1720;516.8201;
0.04129954;1577;493.093;
0.04622333;1325;509.3579;
0.05585063;1177;546.987;
0.07953997;1415;559.4085;
0.2038978;1974;516.7753;
0.2038978;2375;424.0402;
0.2038978;2250;308.1095;
0.2038978;1753;198.9664;
0.2038978;1354;117.1683;
0.2025881;1341;71.74408;
0.2020685;1588;54.29334;
0.2003324;1753;32.95713;
0.1993152;1682;-28.84521;
0.1982981;1549;-132.595;
0.1950663;1603;-240.4437;
0.1865432;1857;-313.8791;
0.1805785;2138;-347.0612;
0.1746138;2319;-367.1509;
0.1677951;2389;-409.8095;
0.1614217;2361;-481.336;
0.1483242;2201;-545.4056;
0.1362953;1919;-566.2458;
0.1227932;1683;-552.4313;
0.1087031;1724;-537.9813;
0.09363598;2039;-539.208;
0.08067812;2328;-551.3979;
0.06837791;2351;-567.6583;
0.05200338;2189;-581.3776;
0.03944121;2080;-576.0418;
0.02851593;2141;-529.0352;
0.01389797;2307;-437.0274;
;2413;-333.5193;
;2368;-262.2048;
;2243;-225.5949;
;2140;-183.2565;
;2042;-103.2957;
;1929;1.9536;
;1909;90.05163;
;2065;126.6462;
;2247;120.5811;
;2177;121.3205;
;1821;165.9331;
;1516;239.2695;
;1596;300.5532;
;1969;328.0542;
;2243;324.8675;
;2210;304.7188;
;2004;286.6393;
;1859;293.4667;
;1867;338.1412;
;1952;403.0027;
;1958;441.1219;
;1815;420.9339;
;1646;367.0914;
;1622;336.5096;
;1744;359.1296;
;1874;419.8391;
;1936;480.345;
;1964;508.8718;
;1970;508.8841;
;1868;520.3456;
;1601;576.5792;
;1333;668.8505;
;1345;764.4616;
;1662;839.3656;
;1958;884.663;
;1934;906.2498;
;1640;932.2427;
;1341;1001.059;
;1243;1125.857;
;1332;1273.734;
;1412;1389.469;
;1340;1445.519;
;1207;1468.619;
;1172;1510.179;
;1203;1593.915;
;1192;1697.331;
;1168;1778.22;
;1232;1812.835;
;1347;1817.816;
;1364;1835.786;
;1201;1890.631;
;961;1959.944;
;870;2003.846;
;1008;2009.619;
;1160;1992.995;
;1060;1969.988;
;767;1943.454;
;593;1910.406;
;708;1870.144;
;968;1820.921;
;1109;1752.265;
;1041;1653.308;
;896;1531.351;
;790;1410.68;
;714;1308.198;
;671;1218.376;
;724;1118.56;
;863;985.1478;
;976;816.9995;
;952;646.7724;
;764;508.5347;
;551;394.5597;
;549;263.4149;
;793;89.98347;
;1009;-111.336;
;958;-307.361;
;745;-473.7072;
;626;-601.059;
;701;-690.9879;
;869;-757.6483;
;935;-829.5612;
;774;-932.1583;
;499;-1060.96;
;359;-1182.817;
;460;-1271.781;
;677;-1336.368;
;863;-1408.093;
;984;-1506.616;
;1029;-1615.677;
;915;-1698.477;
;623;-1738.952;
;380;-1758.549;
;479;-1788.352;
;875;-1837.027;
;1186;-1892.282;
;1151;-1939.859;
;893;-1972.409;
;712;-1982.997;
;794;-1963.19;
;1085;-1919.698;
;1331;-1885.371;
;1308;-1890.261;
;1077;-1923.209;
;888;-1944.203;
;846;-1928.981;
;854;-1886.056;
;849;-1837.546;
;906;-1800.913;
;1051;-1775.483;
;1109;-1740.8;
;884;-1673.907;
;512;-1573.873;
;391;-1463.69;
;661;-1373.83;
;990;-1318.137;
;1023;-1282.652;
;791;-1239.288;
;565;-1171.653;
;536;-1082.005;
;696;-987.4766;
;871;-921.5134;
;889;-915.2056;
;768;-958.4026;
;650;-997.9608;
;612;-987.7181;
;646;-929.8387;
;749;-866.6153;
;917;-841.1572;
;1047;-857.1156;
;977;-874.3104;
;698;-854.5673;
;468;-804.7349;
;571;-759.9888;
;952;-743.2167;
;1253;-752.9028;
;1248;-776.5059;
;1034;-802.233;
;833;-819.0361;
;781;-812.6921;
;873;-775.9974;
;955;-731.9169;
;873;-723.5665;
;702;-761.3206;
;662;-801.9658;
;819;-797.8124;
;1046;-750.7947;
;1218;-707.2736;
;1310;-712.6143;
;1311;-768.7059;
;1160;-833.3663;
;830;-866.9458;
;507;-872.3337;
;493;-878.0961;
;840;-901.0514;
;1214;-940.8893;
;1277;-992.3335;
;1036;-1044.361;
;762;-1081.528;
;701;-1095.802;
;873;-1095.87;
;1058;-1105.399;
;1031;-1144.99;
;851;-1205.783;
;742;-1252.034;
;764;-1257.483;
;809;-1230.104;
;840;-1202.607;
;921;-1206.771;
;1037;-1244.538;
;1014;-1282.27;
;727;-1288.303;
;352;-1268.055;
;240;-1246.954;
;485;-1241.851;
;773;-1262.641;
;797;-1312.559;
;604;-1371.401;
;469;-1399.439;
;584;-1367.284;
;888;-1280.183;
;1105;-1175.715;
;1015;-1091.661;
;730;-1024.845;
;549;-929.0143;
;591;-754.6304;
;758;-485.4807;
;941;-149.8303;
;1097;199.2066;
;1175;539.3228;
;1065;917.2735;
;763;1405.586;
;530;2027.944;
;677;2750.014;
;1127;3531.115;
;1446;4360.707;
;1356;5256.879;
;1000;6247.255;
;686;7350.893;
;615;8567.847;
;782;9874.73;
;980;11227.58;
;997;12586.7;
;849;13947.33;
;715;15333.49;
;685;16759.99;
;743;18210.73;
;893;19643.68;
;1113;21008.78;
;1237;22282.95;
;1078;23487.62;
;715;24645.64;
;500;25727.07;
;675;26665.92;
;1078;27421.1;
;1314;27987.94;
;1212;28363.34;
;974;28532.6;
;903;28489.21;
;1091;28246.45;
;1368;27815.9;
;1470;27181.58;
;1303;26315.1;
;1056;25220.4;
;975;23939.83;
;1061;22511.99;
;1140;20943.82;
;1168;19225.06;
;1246;17349.62;
;1395;15335.94;
;1474;13238.05;
;1371;11118.72;
;1203;9004.048;
;1207;6886.165;
;1419;4762.692;
;1605;2651.435;
;1556;579.0903;
;1328;-1422.026;
;1137;-3313.72;
;1153;-5062.625;
;1369;-6659.624;
;1580;-8127.004;
;1561;-9493.779;
;1342;-10755.51;
;1186;-11875.11;
;1266;-12825.82;
;1474;-13616;
;1594;-14272.18;
;1543;-14819.92;
;1391;-15269.87;
;1197;-15607.75;
;962;-15813.17;
;759;-15896.72;
;757;-15900.1;
;1000;-15858.41;
;1269;-15781.76;
;1302;-15670.07;
;1102;-15523.92;
;912;-15336.26;
;923;-15092.82;
;1065;-14794.95;
;1103;-14476.46;
;951;-14183.49;
;761;-13933.06;
;691;-13703.02;
;727;-13462.48;
;786;-13203.81;
;857;-12946.44;
;940;-12721.91;
;973;-12547.06;
;864;-12402.59;
;619;-12249.22;
;435;-12076.45;
;538;-11916.07;
;877;-11802.08;
;1131;-11735.85;
;1091;-11694.56;
;854;-11649.97;
;641;-11574.65;
;567;-11448.84;
;626;-11279.29;
;709;-11103.38;
;696;-10955.96;
;563;-10825.98;
;412;-10663.92;
;363;-10434.43;
;463;-10146.26;
;636;-9831.829;
;757;-9513.652;
;767;-9184.69;
;683;-8809.127;
;527;-8354.391;
;395;-7828.983;
;507;-7276.168;
;918;-6731.168;
;1303;-6199.631;
;1284;-5671.989;
;892;-5138.068;
;515;-4584.762;
;459;-3997.678;
;689;-3382.847;
;924;-2779.204;
;953;-2231.681;
;839;-1749.591;
;761;-1305.166;
;758;-870.48;
;772;-443.9278;
;801;-46.19147;
;888;295.7452;
;1006;569.5569;
;1013;791.021;
;785;988.055;
;428;1169.476;
;271;1321.795;
;482;1429.561;
;794;1487.52;
;829;1499.241;
;560;1479.094;
;310;1450.808;
;358;1436.176;
;677;1437.174;
;973;1426.594;
;990;1367.029;
;793;1253.616;
;639;1124.812;
;628;1021.013;
;660;948.0146;
;675;886.4127;
;729;819.2417;
;820;750.0237;
;829;702.2375;
;667;692.5339;
;443;703.3151;
;391;696.6937;
;569;654.6249;
;754;592.4923;
;719;536.649;
;488;502.1769;
;256;495.5605;
;203;524.2287;
;366;583.1912;
;558;636.9294;
;547;648.0162;
;361;626.7393;
;221;620.0638;
;211;653.5956;
;275;713.125;
;420;770.7444;
;667;805.439;
;877;814.6915;
;821;820.8914;
;454;848.9453;
;57;894.7986;
;0;934.5125;
;327;955.041;
;688;960.5608;
;744;962.0685;
;479;971.7352;
;128;998.8694;
;-11;1047.439;
;207;1112.657;
;575;1173.718;
;703;1204.945;
;486;1207.763;
;193;1215.407;
;86;1253.023;
;150;1313.527;
;236;1373.307;
;274;1413.59;
;280;1432.214;
;231;1451.781;
;86;1503.348;
;-48;1591.514;
;67;1689.246;
;487;1770.489;
;947;1833.097;
;1166;1889.128;
;1150;1945.808;
;1113;2000.654;
;1259;2052.255;
;1644;2105.065;
;2088;2153.655;
;2341;2176.137;
;2417;2164.058;
;2590;2147.039;
;3022;2163.102;
;3587;2212.929;
;4147;2259.607;
;4741;2267.82;
;5414;2237.109;
;6034;2203.993;
;6411;2205.453;
;6600;2239.24;
;6898;2270.585;
;7447;2273.952;
;8011;2251.083;
;8309;2218.365;
;8374;2193.74;
;8432;2194.095;
;8604;2231.427;
;8859;2301.355;
;9037;2371.328;
;8954;2397.41;
;8603;2373.253;
;8179;2349.091;
;7830;2379.378;
;7529;2465.315;
;7207;2563.231;
;6847;2634.868;
;6423;2676.683;
;5853;2709.275;
;5076;2747.258;
;4229;2784.52;
;3606;2810.402;
;3324;2823.744;
;3142;2821.173;
;2769;2792.103;
;2208;2739.553;
;1682;2691.542;
;1348;2679.361;
;1201;2705.517;
;1099;2731.611;
;885;2706.188;
;570;2619.149;
;327;2517.353;
;270;2455.514;
;333;2443.465;
;420;2446.57;
;532;2423.047;
;662;2361.122;
;671;2287.611;
;434;2236.008;
;99;2207.237;
;1;2172.901;
;260;2109.072;
;612;2014.091;
;732;1904.849;
;569;1808.482;
;323;1746.966;
;202;1721.603;
;283;1711.254;
;470;1681.97;
;557;1606.514;
;449;1487.365;
;315;1353.458;
;362;1229.711;
;572;1115.559;
;777;988.9807;
;894;825.6546;
;927;624.2722;
;842;415.8244;
;601;234.4593;
;355;78.79749;
;391;-83.63841;
;752;-277.7584;
;1095;-499.0606;
;1111;-726.9753;
;885;-947.8987;
;701;-1159.704;
;696;-1353.878;
;805;-1515.15;
;873;-1652.526;
;765;-1807.352;
;504;-2009.624;
;266;-2240.271;
;189;-2452.322;
;253;-2618.411;
;376;-2748.257;
;519;-2872.206;
;636;-3009.7;
;604;-3145.751;
;342;-3248.356;
;18;-3311.244;
;-54;-3361.428;
;213;-3424.773;
;561;-3502.994;
;707;-3583.637;
;628;-3654.478;
;498;-3703.478;
