Результат свертки 1 файлаКолесников Алексей_ЭКГ_07_11_20е4це16.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;2852;5.560299;
-0.02122877;2186;-26.84991;
-0.02578321;1510;-36.6531;
-0.02969806;1261;7.407977;
-0.02920786;1358;105.2956;
-0.03152617;1622;200.5372;
-0.03581784;1996;202.0742;
-0.04093812;2389;84.1286;
-0.04635295;2570;-55.44783;
-0.05216198;2392;-93.24229;
-0.05685086;2047;-8.77051;
-0.06011757;1906;124.98;
-0.05858566;2060;234.5208;
-0.05842378;2251;286.8438;
-0.06065361;2201;282.2828;
-0.05845338;1856;244.8628;
-0.06100743;1479;209.6905;
-0.0608493;1564;202.6582;
-0.06255765;2290;224.6483;
-0.06710602;3064;249.6336;
-0.06686705;3114;251.0926;
-0.05783848;2455;235.8644;
-0.06311763;1767;239.0939;
-0.0642321;1501;291.2244;
-0.06654517;1595;389.9044;
-0.06865116;1862;477.9854;
-0.06403776;2228;465.3062;
-0.06371848;2605;326.3288;
-0.06076288;2777;159.1163;
-0.05793952;2589;88.80943;
-0.06680156;2224;137.6788;
-0.06466153;2066;233.4787;
-0.05853221;2224;301.949;
-0.06118528;2417;309.3507;
-0.06440077;2338;255.4393;
-0.06171774;1955;166.3374;
-0.05564747;1565;79.44877;
-0.04932353;1663;20.69757;
-0.05675675;2407;-9.768577;
-0.06284994;3196;-36.51203;
-0.06052688;3254;-84.3791;
-0.06928517;2587;-146.1722;
-0.07756215;1879;-186.003;
-0.08440998;1590;-172.2631;
-0.08431454;1651;-106.5422;
-0.08448301;1872;-43.72635;
-0.08680407;2196;-73.05717;
-0.1005147;2550;-224.2474;
-0.1047444;2721;-404.8969;
-0.09495111;2543;-488.6689;
-0.09996357;2166;-447.9212;
-0.1001145;1952;-353.2418;
-0.1077441;2041;-281.1146;
-0.09355988;2209;-266.456;
-0.08491337;2160;-308.5204;
-0.08072823;1819;-382.6476;
-0.07853086;1433;-454.0449;
-0.08229263;1490;-497.8477;
-0.09267239;2179;-513.4183;
-0.07502018;2932;-526.3985;
-0.0584675;2975;-563.2668;
-0.06284614;2295;-618.2932;
-0.04117477;1558;-656.1331;
-0.0323512;1225;-643.472;
-0.05067954;1254;-577.0246;
-0.0410386;1477;-509.0393;
-0.01999021;1825;-531.8638;
0.009037151;2193;-679.1776;
0.00619929;2354;-857.8718;
0.04129954;2151;-939.2142;
0.04622333;1751;-895.5613;
0.05585063;1522;-797.2439;
0.07953997;1599;-718.4536;
0.2038978;1748;-693.5103;
0.2038978;1682;-723.5576;
0.2038978;1332;-784.6131;
0.2038978;943;-841.5934;
0.2038978;998;-869.6248;
0.2025881;1692;-866.416;
0.2020685;2450;-853.1448;
0.2003324;2479;-854.9062;
0.1993152;1766;-868.9892;
0.1982981;1003;-862.6808;
0.1950663;670;-802.1915;
0.1865432;707;-684.7235;
0.1805785;924;-563.7079;
0.1746138;1254;-530.237;
0.1677951;1607;-618.2675;
0.1614217;1760;-739.7766;
0.1483242;1545;-769.1277;
0.1362953;1122;-674.9099;
0.1227932;879;-523.1716;
0.1087031;960;-388.8716;
0.09363598;1115;-308.8422;
0.08067812;1035;-285.9039;
0.06837791;657;-296.9515;
0.05200338;239;-306.6952;
0.03944121;266;-289.1942;
0.02851593;946;-242.7579;
0.01389797;1724;-190.8538;
;1801;-158.9838;
;1134;-142.7451;
;401;-108.8315;
;86;-25.09014;
;140;112.1718;
;374;252.9284;
;722;306.572;
;1095;236.3662;
;1269;129.8392;
;1080;115.1628;
;690;225.0886;
;476;392.1371;
;579;540.2691;
;751;633.8864;
;691;672.3142;
;338;679.6619;
;-69;689.8972;
;-53;727.8279;
;608;795.5128;
;1384;869.8879;
;1480;923.9426;
;831;959.1127;
;95;1006.165;
;-234;1096.7;
;-193;1234.668;
;37;1370.048;
;382;1411.922;
;756;1322.773;
;945;1190.612;
;779;1144.763;
;409;1219.566;
;207;1348.414;
;314;1454.536;
;492;1500.329;
;451;1482.699;
;133;1424.453;
;-234;1360.66;
;-199;1318.633;
;463;1303.268;
;1251;1293.444;
;1379;1262.677;
;761;1213.433;
;46;1179.321;
;-262;1194.268;
;-191;1262.889;
;72;1336.023;
;453;1322.542;
;862;1180.47;
;1076;992.6233;
;924;888.8245;
;561;908.466;
;367;987.826;
;492;1049.382;
;697;1053.001;
;681;993.5148;
;373;893.0529;
;0;787.5303;
;24;704.1028;
;685;645.3907;
;1493;588.5347;
;1650;507.4781;
;1053;405.3081;
;335;315.2022;
;-4;269.1766;
;13;271.7133;
;216;274.8888;
;549;189.0073;
;935;-26.44832;
;1150;-286.0662;
;1004;-456.6317;
;640;-498.1326;
;427;-476.2458;
;517;-469.2051;
;686;-516.04;
;643;-622.0611;
;307;-765.9527;
;-106;-911.8936;
;-114;-1031.199;
;546;-1118.55;
;1375;-1194.31;
;1545;-1284.202;
;935;-1386.753;
;198;-1469.893;
;-137;-1500.014;
;-95;-1470.522;
;132;-1430.157;
;476;-1471.687;
;872;-1639.242;
;1098;-1849.249;
;953;-1969.151;
;571;-1959.154;
;345;-1885.503;
;449;-1827.14;
;646;-1823.788;
;627;-1879.314;
;312;-1970.153;
;-75;-2059.099;
;-65;-2119.007;
;597;-2147.231;
;1427;-2167.012;
;1610;-2204.396;
;1015;-2257.136;
;280;-2292.553;
;-64;-2278.421;
;-21;-2209.301;
;217;-2131.336;
;574;-2132.934;
;968;-2257.104;
;1192;-2422.838;
;1064;-2498.964;
;701;-2443.934;
;471;-2322.718;
;555;-2215.289;
;737;-2160.838;
;703;-2160.127;
;364;-2188.155;
;-53;-2209.261;
;-82;-2197.93;
;549;-2150.94;
;1378;-2089.743;
;1585;-2040.972;
;1000;-2005.586;
;243;-1953.764;
;-131;-1853.337;
;-110;-1696.529;
;108;-1527.293;
;435;-1435.209;
;815;-1467.942;
;1047;-1547.887;
;929;-1542.054;
;569;-1404.99;
;350;-1200.226;
;458;-1008.441;
;670;-870.8558;
;668;-792.6943;
;347;-752.9221;
;-90;-715.262;
;-162;-650.7423;
;444;-554.7585;
;1280;-450.1119;
;1498;-366.4199;
;914;-305.4699;
;164;-235.9838;
;-201;-122.5264;
;-191;42.76386;
;1;214.7816;
;312;303.4035;
;688;261.5908;
;927;163.9454;
;823;140.1248;
;467;235.7694;
;218;390.6818;
;279;526.5573;
;461;602.1204;
;454;611.1116;
;138;573.9574;
;-287;526.9608;
;-338;499.652;
;282;497.7587;
;1132;498.5014;
;1385;472.4235;
;838;417.8966;
;91;366.7867;
;-298;354.7295;
;-298;389.908;
;-93;428.993;
;236;383.7347;
;622;206.0851;
;867;-30.11982;
;777;-191.7685;
;443;-226.0162;
;221;-188.0942;
;306;-156.311;
;506;-174.3957;
;518;-247.7258;
;229;-349.3372;
;-183;-434.3418;
;-249;-466.9868;
;356;-438.5232;
;1212;-366.6273;
;1479;-274.5002;
;941;-157.5464;
;206;22.34331;
;-160;308.3749;
;-141;718.9638;
;61;1220.464;
;367;1731.918;
;728;2208.761;
;961;2727.877;
;859;3427.769;
;504;4365.043;
;263;5482.747;
;347;6697.698;
;566;7964.308;
;603;9275.572;
;334;10648.91;
;-57;12110.58;
;-101;13677.08;
;520;15343.17;
;1391;17078.29;
;1670;18839.56;
;1137;20602.39;
;394;22370.89;
;20;24154.37;
;51;25939.26;
;286;27660.6;
;637;29205.96;
;1043;30498.08;
;1314;31581.27;
;1239;32562.98;
;889;33473.88;
;632;34236.86;
;693;34752.68;
;888;34960.08;
;892;34836.32;
;578;34388.06;
;132;33643.83;
;22;32636.3;
;587;31381.74;
;1447;29869.54;
;1756;28082.32;
;1249;26037.78;
;495;23796.04;
;84;21422.24;
;75;18952.07;
;281;16369.1;
;614;13612.28;
;1011;10659.9;
;1279;7616.361;
;1209;4653.765;
;877;1864.15;
;640;-777.5887;
;708;-3326.031;
;901;-5801.199;
;911;-8187.214;
;630;-10442.32;
;225;-12512.67;
;145;-14356.39;
;723;-15961.45;
;1575;-17345.8;
;1849;-18535.47;
;1280;-19532.37;
;471;-20311.55;
;31;-20848.21;
;7;-21144.14;
;200;-21251.02;
;530;-21270.21;
;935;-21273.54;
;1203;-21213.78;
;1106;-20976.97;
;723;-20523.34;
;432;-19921.56;
;462;-19266.65;
;634;-18620.57;
;630;-18008.25;
;322;-17423.29;
;-128;-16840.97;
;-249;-16241.93;
;311;-15627.14;
;1172;-15020.99;
;1467;-14457.37;
;925;-13947.2;
;145;-13466.98;
;-268;-12984.16;
;-276;-12487.28;
;-82;-12011.5;
;227;-11640.94;
;598;-11431.1;
;839;-11316.82;
;747;-11160.44;
;393;-10896.54;
;135;-10573.4;
;185;-10269.1;
;372;-10024.68;
;387;-9840.947;
;104;-9690.82;
;-321;-9534.509;
;-437;-9338.964;
;108;-9091.007;
;955;-8802.11;
;1254;-8496.917;
;719;-8180.281;
;-73;-7825.672;
;-504;-7399.22;
;-511;-6888.404;
;-308;-6328.056;
;-11;-5804.938;
;328;-5382.094;
;544;-5005.625;
;442;-4548.176;
;76;-3951.672;
;-205;-3270.47;
;-163;-2590.012;
;50;-1963.07;
;107;-1408.016;
;-148;-915.7513;
;-570;-456.6335;
;-698;-0.09465761;
;-159;463.5589;
;711;913.1016;
;1058;1313.873;
;568;1655.112;
;-198;1962.648;
;-621;2271.672;
;-631;2594.48;
;-427;2894.456;
;-103;3086.382;
;288;3112.776;
;556;3033.66;
;488;2982.981;
;145;3027.722;
;-118;3122.537;
;-61;3190.116;
;151;3187.656;
;197;3108.748;
;-72;2973.719;
;-496;2820.746;
;-624;2684.909;
;-87;2578.316;
;783;2485.16;
;1153;2379.229;
;701;2255.634;
;-38;2141.897;
;-453;2073.835;
;-463;2067.103;
;-253;2088.29;
;83;2052.263;
;490;1896.842;
;776;1676.349;
;720;1522.741;
;373;1504.864;
;100;1576.834;
;150;1655.317;
;364;1688.98;
;411;1666.078;
;141;1604.519;
;-284;1538.53;
;-420;1498.63;
;99;1494.792;
;954;1510.339;
;1312;1514.731;
;840;1497.893;
;60;1485.692;
;-406;1516.416;
;-452;1606.617;
;-250;1723.032;
;92;1779.504;
;486;1711.086;
;738;1568.522;
;648;1483.573;
;287;1526.512;
;0;1651.733;
;30;1776.512;
;228;1852.295;
;268;1868.788;
;-11;1841.027;
;-480;1800.724;
;-689;1778.993;
;-249;1789.056;
;551;1817.908;
;880;1839.17;
;379;1844.565;
;-422;1857.806;
;-882;1913.014;
;-892;2026.196;
;-661;2167.839;
;-316;2255.544;
;101;2222.873;
;439;2116.486;
;486;2066.166;
;256;2144.299;
;81;2309.099;
;244;2478.125;
;639;2599.281;
;949;2659.304;
;1000;2675.309;
;912;2683.505;
;1121;2716.647;
;2005;2784.341;
;3281;2867.892;
;4122;2936.899;
;4162;2982.141;
;3905;3029.592;
;3983;3116.79;
;4519;3260.509;
;5328;3426.874;
;6292;3528.459;
;7349;3498.661;
;8293;3388.228;
;8860;3330.399;
;9062;3398.343;
;9259;3548.627;
;9717;3697.105;
;10251;3793.042;
;10502;3825.996;
;10339;3812.794;
;9941;3785.978;
;9749;3776.916;
;10131;3798.128;
;10790;3834.045;
;10873;3854.109;
;9977;3848.73;
;8622;3843.565;
;7499;3873.891;
;6758;3954.163;
;6217;4053.462;
;5770;4089.593;
;5381;3996.464;
;4894;3821.464;
;4096;3696.436;
;3033;3695.979;
;2060;3777.758;
;1446;3859.268;
;1065;3889.828;
;615;3855.936;
;-58;3771.87;
;-835;3671.933;
;-1297;3590.021;
;-1041;3539.291;
;-323;3504.222;
;9;3455.14;
;-451;3381.31;
;-1215;3305.323;
;-1657;3260.534;
;-1662;3263.585;
;-1407;3288.335;
;-996;3255.843;
;-497;3098.331;
;-97;2858.962;
;-18;2667.823;
;-239;2601.834;
;-437;2622.668;
;-344;2648.955;
;-68;2627.483;
;84;2541.768;
;-59;2403.686;
;-393;2246.172;
;-509;2102.935;
;9;1988.851;
;931;1889.875;
;1426;1777.161;
;1071;1640.744;
;349;1504.818;
;-80;1403.725;
;-76;1354.518;
;163;1331.382;
;506;1254.421;
;909;1053.391;
