–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ÓÎÂÒÌËÍÓ‚ ÌÂÈÓËefwqÌÚÂÙÂÈÒ_› √_01_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1075;-1711.006;
-0.02122877;1022;-1613.426;
-0.02578321;965;-1514.581;
-0.02969806;932;-1424.94;
-0.02920786;945;-1351.216;
-0.03152617;990;-1291.684;
-0.03581784;1040;-1236.267;
-0.04093812;1079;-1174.554;
-0.04635295;1112;-1103.223;
-0.05216198;1137;-1025.989;
-0.05685086;1129;-946.8147;
-0.06011757;1073;-867.1389;
-0.05858566;995;-787.9412;
-0.05842378;943;-712.9531;
-0.06065361;955;-646.1985;
-0.05845338;1037;-588.8948;
-0.06100743;1159;-538.332;
-0.0608493;1255;-491.0577;
-0.06255765;1283;-444.4966;
-0.06710602;1254;-395.3189;
-0.06686705;1205;-339.6829;
-0.05783848;1164;-278.0095;
-0.06311763;1148;-217.2574;
-0.0642321;1165;-166.9609;
-0.06654517;1205;-131.8574;
-0.06865116;1255;-108.5332;
-0.06403776;1307;-89.43381;
-0.06371848;1348;-67.92293;
-0.06076288;1375;-41.21557;
-0.05793952;1403;-9.927404;
-0.06680156;1429;23.04523;
-0.06466153;1424;54.49724;
-0.05853221;1372;82.72569;
-0.06118528;1312;106.914;
-0.06440077;1307;126.6898;
-0.06171774;1371;142.4789;
-0.05564747;1461;155.5259;
-0.04932353;1522;167.4171;
-0.05675675;1529;180.6262;
-0.06284994;1494;198.7593;
-0.06052688;1440;225.9629;
-0.06928517;1399;263.2936;
-0.07756215;1389;304.5794;
-0.08440998;1403;338.7395;
-0.08431454;1420;358.447;
-0.08448301;1437;366.0707;
-0.08680407;1462;370.8667;
-0.1005147;1497;381.6229;
-0.1047444;1531;400.6301;
-0.09495111;1558;423.5703;
-0.09996357;1568;445.1335;
-0.1001145;1541;463.6824;
-0.1077441;1478;479.7763;
-0.09355988;1410;492.8958;
-0.08491337;1390;501.9526;
-0.08072823;1435;506.2832;
-0.07853086;1514;505.9369;
-0.08229263;1578;500.6826;
-0.09267239;1600;491.1257;
-0.07502018;1585;479.3797;
-0.0584675;1550;469.2716;
-0.06284614;1501;463.0776;
-0.04117477;1460;457.9085;
-0.0323512;1451;446.5156;
-0.05067954;1485;423.627;
-0.0410386;1546;390.7199;
-0.01999021;1605;355.0137;
0.009037151;1640;323.695;
0.00619929;1649;300.3778;
0.04129954;1650;283.821;
0.04622333;1648;270.9116;
0.05585063;1623;258.5056;
0.07953997;1560;243.9554;
