Результат свертки 1 файлаКолесников нейроинтерфейс_ЭКГыеуц_01_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1786;-292.2362;
-0.02122877;1768;-309.4928;
-0.02578321;1789;-328.2069;
-0.02969806;1808;-352.8817;
-0.02920786;1796;-384.9723;
-0.03152617;1758;-420.114;
-0.03581784;1716;-450.5189;
-0.04093812;1693;-473.0564;
-0.04635295;1695;-493.0225;
-0.05216198;1701;-517.8223;
-0.05685086;1682;-548.6603;
-0.06011757;1630;-580.2636;
-0.05858566;1567;-607.7264;
-0.05842378;1520;-629.3066;
-0.06065361;1496;-646.1932;
-0.05845338;1487;-661.0824;
-0.06100743;1486;-678.332;
-0.0608493;1483;-700.1968;
-0.06255765;1460;-722.1979;
-0.06710602;1424;-735.3077;
-0.06686705;1405;-735.7612;
-0.05783848;1413;-729.0756;
-0.06311763;1420;-723.0309;
-0.0642321;1393;-720.1702;
-0.06654517;1332;-717.3431;
-0.06865116;1253;-710.504;
-0.06403776;1186;-698.1834;
-0.06371848;1161;-683.5248;
-0.06076288;1182;-670.0807;
-0.05793952;1214;-657.1509;
-0.06680156;1210;-641.5406;
-0.06466153;1157;-622.2593;
-0.05853221;1081;-600.7598;
-0.06118528;1016;-577.1403;
-0.06440077;971;-551.3223;
-0.06171774;944;-526.0963;
-0.05564747;937;-506.4494;
-0.04932353;944;-492.8199;
-0.05675675;943;-479.2298;
-0.06284994;917;-459.2839;
-0.06052688;875;-433.3462;
-0.06928517;839;-407.1704;
-0.07756215;815;-385.6061;
-0.08440998;797;-369.1203;
-0.08431454;775;-355.8404;
-0.08448301;741;-344.3028;
-0.08680407;705;-334.5663;
-0.1005147;689;-327.3015;
-0.1047444;702;-324.0493;
-0.09495111;724;-325.2614;
-0.09996357;721;-328.7771;
-0.1001145;684;-329.5055;
-0.1077441;633;-323.9715;
-0.09355988;588;-313.3552;
-0.08491337;565;-304.0994;
-0.08072823;572;-303.5909;
-0.07853086;602;-315.4435;
-0.08229263;621;-335.2931;
-0.09267239;601;-354.5582;
-0.07502018;556;-368.2153;
-0.0584675;526;-376.9391;
-0.06284614;519;-383.9727;
-0.04117477;516;-392.2022;
-0.0323512;502;-403.2003;
-0.05067954;475;-416.0766;
-0.0410386;442;-427.9901;
-0.01999021;419;-437.2192;
0.009037151;429;-444.9127;
0.00619929;471;-453.6098;
0.04129954;507;-464.0461;
0.04622333;505;-472.9727;
0.05585063;471;-475.1606;
0.07953997;425;-468.7122;
0.2038978;383;-455.7425;
0.2038978;367;-439.9447;
0.2038978;399;-425.542;
0.2038978;460;-416.2033;
0.2038978;484;-411.8399;
0.2025881;440;-406.9565;
0.2020685;375;-394.468;
0.2003324;356;-370.425;
0.1993152;386;-336.5339;
0.1982981;420;-300.3406;
0.1950663;426;-270.0772;
0.1865432;409;-248.6859;
0.1805785;377;-231.918;
0.1746138;344;-214.045;
0.1677951;348;-194.8182;
0.1614217;399;-179.4376;
0.1483242;446;-171.7952;
0.1362953;433;-170.7882;
0.1227932;377;-171.344;
0.1087031;330;-168.9312;
0.09363598;313;-161.9796;
0.08067812;322;-152.6378;
0.06837791;355;-147.0105;
0.05200338;404;-151.5719;
0.03944121;432;-167.0909;
0.02851593;419;-187.1942;
0.01389797;392;-204.3754;
;399;-215.8935;
;442;-225.1374;
;479;-236.4218;
;473;-250.9624;
;431;-265.7175;
;389;-275.0161;
;390;-275.3967;
;448;-267.9543;
;526;-256.3404;
;575;-242.6129;
;581;-224.485;
;554;-197.7147;
;513;-158.662;
;490;-106.4623;
;508;-45.14473;
;552;17.66833;
;585;76.43993;
;593;133.3647;
;588;196.7284;
;578;273.2723;
;558;362.0743;
;531;456.0653;
;517;548.7029;
;527;638.3637;
;547;728.4561;
;549;823.5172;
;535;925.6448;
;537;1031.189;
;574;1132.639;
;615;1224.614;
;615;1307.414;
;571;1384.666;
;525;1459.721;
;507;1534.658;
;516;1607.527;
;541;1672.226;
;569;1723.372;
;577;1761.662;
;556;1793.624;
;536;1825.323;
;546;1858.605;
;574;1890.404;
;588;1915.209;
;578;1928.53;
;553;1930.386;
;520;1923.6;
;495;1913.781;
;503;1906.337;
;550;1902.392;
;599;1896.152;
;606;1881.425;
;574;1857.135;
;542;1827.776;
;536;1798.732;
;549;1773.233;
;573;1747.934;
;597;1715.999;
;602;1674.978;
;572;1629.895;
;524;1585.848;
;503;1543.573;
;531;1498.992;
;580;1447.043;
;602;1383.37;
;577;1307.739;
;525;1223.207;
;485;1133.399;
;486;1038.673;
;522;937.361;
;558;827.8254;
;562;712.0624;
;533;594.2278;
;492;477.1476;
;463;360.1671;
;458;240.9171;
;482;116.3543;
;524;-14.35198;
;549;-147.0343;
;530;-275.1306;
;487;-395.0581;
;468;-507.6679;
;492;-614.4482;
;530;-717.1815;
;543;-817.8635;
;524;-916.5893;
;484;-1009.149;
;445;-1090.928;
;425;-1161.84;
;442;-1224.087;
;483;-1278.008;
;498;-1322.995;
;454;-1362.266;
;383;-1399.872;
;344;-1436.535;
;350;-1470.74;
;371;-1502.233;
;378;-1533.271;
;372;-1566.258;
;363;-1601.226;
;363;-1635.424;
;365;-1665.812;
;357;-1692.246;
;345;-1718.324;
;341;-1750.471;
;346;-1793.593;
;340;-1844.753;
;324;-1894.732;
;326;-1938.288;
;365;-1979.361;
;409;-2024.931;
;411;-2076.779;
;371;-2131.273;
;332;-2182.261;
;324;-2224.042;
;344;-2254.719;
;371;-2278.608;
;392;-2303.627;
;401;-2332.466;
;401;-2358.466;
;399;-2373.016;
;410;-2373.596;
;426;-2364.011;
;424;-2350.352;
;389;-2337.177;
;339;-2323.782;
;302;-2303.588;
;301;-2269.066;
;343;-2219.52;
;414;-2161.915;
;468;-2104.087;
;467;-2048.647;
;420;-1992.428;
;362;-1931.263;
;326;-1861.666;
;323;-1781.605;
;346;-1695.748;
;374;-1614.264;
;387;-1541.713;
;383;-1471.786;
;372;-1395.941;
;364;-1312.517;
;359;-1226.64;
;347;-1145.259;
;325;-1073.875;
;301;-1012.67;
;279;-955.4775;
;267;-895.1335;
;283;-830.8336;
;331;-768.0795;
;380;-712.8147;
;384;-666.5734;
;329;-625.8495;
;242;-585.2523;
;170;-541.3185;
;157;-496.5928;
;202;-457.7606;
;268;-429.1927;
;304;-409.2873;
;293;-391.6785;
;273;-370.5786;
;280;-346.2918;
;309;-324.6516;
;334;-310.2053;
;333;-304.1932;
;307;-306.6128;
;268;-315.2491;
;236;-324.1499;
;242;-330.014;
;298;-337.6189;
;373;-353.7127;
;417;-379.3719;
;412;-410.8461;
;375;-444.0748;
;342;-476.0651;
;330;-506.0494;
;338;-536.2888;
;352;-569.0794;
;350;-602.4149;
;327;-628.9383;
;298;-638.8634;
;283;-624.0817;
;285;-581.7908;
;282;-514.4746;
;261;-424.739;
;220;-308.3213;
;174;-153.482;
;155;53.71748;
;184;323.3018;
;251;658.6699;
;306;1058.453;
;310;1523.911;
;268;2063.554;
;220;2689.601;
;205;3410.257;
;226;4226.593;
;262;5134.075;
;284;6127.37;
;283;7206.091;
;268;8374.808;
;268;9637.099;
;304;10988.61;
;366;12416.72;
;430;13904.59;
;475;15436.7;
;492;17000.95;
;475;18586.62;
;450;20179.81;
;459;21762.44;
;514;23311.48;
;586;24800.73;
;629;26205.35;
;634;27506.67;
;616;28690.21;
;603;29740.51;
;617;30638;
;661;31358.69;
;718;31878.01;
;769;32176.85;
;785;32244.79;
;757;32077.05;
;713;31669.71;
;707;31016.1;
;746;30108.51;
;795;28944.43;
;813;27531.41;
;791;25886.65;
;746;24034.79;
;722;22003.88;
;738;19818.38;
;770;17497.1;
;778;15059.22;
;759;12529.36;
;738;9935.922;
;739;7309.655;
;758;4681.586;
;787;2080.35;
;816;-468.749;
;840;-2940.856;
;852;-5310.466;
;858;-7552.517;
;864;-9644.847;
;874;-11570.06;
;877;-13318.24;
;866;-14885.2;
;845;-16268.37;
;823;-17462.95;
;810;-18464.02;
;819;-19272.24;
;845;-19896.93;
;854;-20351.11;
;824;-20645.67;
;766;-20789.06;
;710;-20791.12;
;667;-20664.94;
;645;-20428.46;
;644;-20102.46;
;650;-19705.96;
;630;-19251.32;
;571;-18745.2;
;503;-18193.66;
;445;-17607.34;
;392;-17001.95;
;347;-16394.93;
;342;-15799.09;
;376;-15220.58;
;406;-14661.89;
;403;-14125.49;
;377;-13615.59;
;364;-13137.7;
;371;-12696.61;
;379;-12293.42;
;373;-11924.35;
;353;-11582.57;
;333;-11262.66;
;327;-10963.77;
;357;-10689.85;
;418;-10445.33;
;457;-10226.65;
;434;-10020.83;
;376;-9812.465;
;351;-9591.938;
;379;-9356.552;
;414;-9107.912;
;412;-8848.801;
;368;-8580.037;
;299;-8296.63;
;226;-7989.401;
;179;-7652.469;
;188;-7286.708;
;230;-6897.061;
;242;-6486.728;
;197;-6055.748;
;120;-5603.528;
;55;-5130.861;
;32;-4640.826;
;50;-4138.641;
;81;-3630.996;
;86;-3123.303;
;43;-2617.652;
;-25;-2114.547;
;-70;-1617.355;
;-67;-1133.088;
;-29;-669.0243;
;9;-230.7992;
;25;178.7464;
;5;559.9689;
;-47;914.5502;
;-80;1241.124;
;-52;1535.141;
;10;1792.423;
;43;2011.871;
;25;2194.5;
;-14;2342.783;
;-37;2460.378;
;-28;2550.134;
;9;2612.44;
;50;2645.897;
;62;2650.195;
;36;2630.296;
;8;2595.247;
;10;2552.129;
;36;2501.775;
;63;2442.3;
;74;2373.188;
;63;2296.084;
;31;2214.972;
;6;2136.226;
;17;2063.48;
;61;1993.042;
;109;1918.82;
;123;1840.544;
;95;1764.313;
;52;1696.578;
;24;1641.054;
;19;1596.954;
;40;1558.015;
;86;1516.536;
;122;1470.239;
;103;1423.501;
;43;1382.479;
;1;1349.759;
;5;1323.148;
;34;1298.236;
;60;1271.753;
;76;1244.105;
;79;1218.047;
;69;1196.473;
;65;1180.55;
;84;1168.118;
;115;1155.521;
;128;1141.291;
;104;1127.684;
;51;1117.954;
;4;1114.094;
;0;1114.896;
;41;1115.448;
;84;1110.694;
;85;1100.864;
;33;1091.826;
;-53;1090.29;
;-137;1099.698;
;-178;1118.511;
;-178;1140.156;
;-184;1157.38;
;-234;1168.409;
;-313;1177.6;
;-370;1190.2;
;-367;1207.112;
;-313;1224.391;
;-249;1237.269;
;-200;1245.809;
;-172;1255.716;
;-149;1273.099;
;-103;1299.369;
;-3;1330.146;
;159;1358.633;
;361;1380.104;
;576;1395.951;
;797;1412.084;
;1029;1432.956;
;1295;1458.172;
;1615;1484.024;
;1991;1506.815;
;2392;1525.49;
;2784;1542.301;
;3161;1560.225;
;3547;1580.788;
;3985;1603.711;
;4491;1626.693;
;5041;1646.354;
;5592;1662.557;
;6115;1679.468;
;6614;1700.545;
;7120;1725.882;
;7647;1753.728;
;8169;1779.861;
;8643;1798.452;
;9030;1808.472;
;9291;1816.526;
;9411;1830.381;
;9430;1852.139;
;9408;1879.202;
;9363;1906.776;
;9270;1930.986;
;9105;1951.453;
;8845;1972.489;
;8478;1998.812;
;8011;2031.189;
;7476;2064.895;
;6903;2095.123;
;6298;2121.695;
;5645;2149.152;
;4944;2182.768;
;4219;2224.797;
;3512;2272.542;
;2852;2319.128;
;2246;2357.377;
;1674;2385.369;
;1124;2407.84;
;619;2430.669;
;198;2456.602;
;-134;2484.742;
;-411;2511.608;
;-661;2533.35;
;-880;2546.55;
;-1050;2551.058;
;-1148;2549.616;
;-1166;2544.594;
;-1122;2534.844;
;-1064;2517.317;
;-1035;2491.186;
;-1040;2459.148;
;-1046;2424.65;
;-1015;2389.817;
;-928;2355.542;
;-797;2320.351;
;-650;2279.661;
;-515;2229.189;
;-414;2169.906;
;-345;2107.28;
;-285;2047.053;
;-210;1991.088;
;-120;1936.622;
;-36;1878.87;
;20;1816.794;
;51;1756.911;
;87;1706.315;
;165;1665.27;
;294;1628.117;
;423;1589.695;
;493;1547.836;
;490;1504.938;
;449;1467.201;
;411;1437.982;
;404;1412.696;
;444;1381.928;
;521;1339.851;
;590;1288.475;
;608;1236.437;
;585;1191.789;
;560;1154.398;
;556;1116.729;
;564;1072.557;
;574;1020.586;
;586;963.1215;
;593;903.3511;
;590;844.0602;
;583;784.8391;
;591;720.8915;
;617;644.8134;
;634;554.0226;
;622;453.1923;
;595;350.432;
;585;250.0579;
;601;151.053;
;633;49.45892;
;663;-58.59853;
;675;-174.0421;
;661;-293.4006;
;633;-412.3687;
;614;-529.0901;
;620;-644.2807;
;649;-760.0514;
;685;-879.0544;
;705;-1002.853;
;697;-1129.635;
;673;-1254.638;
;660;-1374.025;
;679;-1489.035;
;730;-1604.537;
;779;-1722.206;
;793;-1838.378;
;770;-1948.861;
;740;-2051.705;
;726;-2147.036;
;731;-2237.511;
;751;-2327.847;
;770;-2419.713;
;770;-2510.306;
;762;-2595.099;
;780;-2671.46;
;830;-2739.473;
;872;-2802.707;
;871;-2867.257;
;834;-2935.709;
;780;-3005.779;
;733;-3072.815;
;727;-3134.388;
;777;-3192.848;
;854;-3254.391;
;908;-3321.902;
;913;-3390.637;
;888;-3453.513;
;866;-3508.11;
;866;-3556.264;
;890;-3601.366;
;922;-3649.558;
;945;-3706.135;
;946;-3767.789;
;928;-3824.026;
;915;-3868.073;
;924;-3901.906;
;949;-3931.675;
;967;-3962.121;
;965;-3994.654;
;943;-4025.689;
;921;-4048.1;
;930;-4057.949;
;974;-4058.067;
;1021;-4054.012;
;1034;-4048.29;
;1001;-4040.683;
;938;-4028.959;
;878;-4008.053;
;863;-3972.585;
;906;-3923.451;
;972;-3869.371;
;1013;-3819.422;
;1015;-3774.591;
;1006;-3728.652;
;1015;-3675.488;
;1045;-3614.31;
;1072;-3549.417;
;1073;-3486.452;
;1048;-3427.532;
;1013;-3369.765;
;997;-3308.608;
;1019;-3242.705;
;1072;-3174.628;
;1122;-3108;
;1142;-3044.888;
;1136;-2984.042;
;1123;-2921.656;
;1120;-2854.288;
;1133;-2780.897;
;1159;-2704.53;
;1186;-2632.261;
;1202;-2568.799;
;1198;-2508.981;
;1175;-2441.6;
;1160;-2361.668;
;1180;-2275.442;
;1220;-2192.594;
;1244;-2116.763;
;1244;-2044.854;
;1233;-1971.308;
;1224;-1891.323;
;1239;-1804.875;
;1291;-1717.229;
;1357;-1632.889;
;1391;-1550.915;
;1375;-1466.883;
;1339;-1378.433;
;1318;-1286.927;
;1330;-1196.818;
;1363;-1113.169;
;1399;-1039.454;
;1419;-974.068;
;1416;-909.5289;
;1402;-838.2896;
;1407;-760.1054;
;1438;-681.3201;
;1475;-607.0574;
;1493;-539.1982;
;1480;-479.11;
;1447;-426.0171;
;1421;-375.2215;
;1432;-322.6747;
;1492;-270.1689;
;1574;-222.2785;
;1630;-180.5472;
;1640;-142.6938;
;1614;-105.8399;
;1576;-67.57643;
;1554;-28.75984;
;1566;6.08104;
;1619;31.71135;
;1684;47.54795;
;1726;59.01385;
;1741;73.22116;
;1755;93.67802;
;1785;118.844;
;1816;143.8055;
;1832;162.8489;
;1834;174.0638;
;1826;181.1999;
;1809;190.7514;
;1798;206.602;
;1823;225.8673;
;1886;241.4813;
;1947;251.6849;
;1971;262.796;
;1952;281.5816;
;1916;307.526;
;1899;335.1003;
;1917;359.3869;
;1945;375.9549;
;1934;382.766;
;1884;384.7635;
;1837;391.009;
;1824;405.2961;
;1839;423.6967;
;1867;439.9653;
;1886;449.322;
;1869;450.3206;
;1828;445.25;
;1808;439.7036;
;1842;436.4915;
;1910;432.2557;
;1961;421.7218;
;1961;403.1427;
;1921;378.3553;
;1878;351.7379;
;1859;327.6467;
;1866;307.7666;
;1894;288.5652;
;1927;262.3401;
;1948;224.0249;
;1940;177.8955;
;1915;134.2321;
;1911;100.1655;
;1960;73.10593;
;2033;45.45047;
;2075;12.66451;
;2059;-24.54866;
;2005;-62.76463;
;1944;-96.98376;
;1898;-124.093;
;1884;-146.0115;
;1899;-168.3756;
;1917;-195.2071;
;1916;-225.6126;
;1892;-256.1631;
;1862;-283.2538;
;1843;-303.996;
;1838;-319.5243;
;1842;-334.882;
;1843;-353.9604;
;1828;-374.8304;
;1790;-391.8164;
;1749;-401.0031;
;1734;-404.3726;
;1737;-406.8566;
;1726;-414.2774;
;1690;-430.1972;
;1637;-453.4008;
;1585;-477.2722;
;1552;-493.8311;
;1548;-501.029;
;1559;-505.7905;
;1562;-516.2904;
;1537;-533.7516;
;1482;-552.8427;
;1415;-568.8962;
;1366;-582.3582;
;1362;-597.5004;
;1386;-619.4761;
;1403;-650.5074;
;1381;-683.7552;
;1323;-706.6212;
;1269;-713.1404;
;1257;-710.4123;
;1274;-710.7839;
;1271;-721.6428;
;1233;-742.6269;
;1182;-766.389;
;1134;-781.8171;
;1096;-783.1965;
;1093;-776.8455;
;1132;-774.3873;
;1161;-781.1169;
;1130;-790.7524;
;1057;-792.4875;
;993;-780.9664;
;960;-760.2004;
;949;-739.2639;
;955;-725.675;
;958;-720.4929;
;928;-717.9234;
;865;-708.8224;
;805;;
;779;;
;776;;
;779;;
;771;;
;727;;
;641;;
;556;;
;532;;
;576;;
;632;;
;646;;
;614;;
;567;;
;536;;
;534;;
;546;;
;548;;
;533;;
;516;;
;511;;
;516;;
;525;;
;530;;
;524;;
;500;;
;459;;
;429;;
;449;;
;507;;
;531;;
;478;;
;389;;
;340;;
;358;;
;403;;
;431;;
;428;;
;393;;
;350;;
;331;;
;337;;
;348;;
;351;;
;352;;
;355;;
;364;;
;382;;
;419;;
;463;;
