Результат свертки 1 файлаКревшич Константин Дыцехательный_ЭКГ_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;462;-530.3843;
-0.02122877;217;-291.0966;
-0.02578321;-65;-46.85039;
-0.02969806;-168;173.261;
-0.02920786;-60;359.7193;
-0.03152617;160;526.1874;
-0.03581784;430;690.4714;
-0.04093812;723;858.6826;
-0.04635295;980;1031.925;
-0.05216198;1127;1219.865;
-0.05685086;1137;1433.284;
-0.06011757;1047;1667.697;
-0.05858566;921;1903.937;
-0.05842378;840;2121.561;
-0.06065361;894;2305.617;
-0.05845338;1124;2447.243;
-0.06100743;1450;2548.208;
-0.0608493;1731;2623.356;
-0.06255765;1902;2694.558;
-0.06710602;1983;2776.56;
-0.06686705;1966;2868.036;
-0.05783848;1837;2953.803;
-0.06311763;1665;3012.669;
-0.0642321;1563;3023.799;
-0.06654517;1590;2976.535;
-0.06865116;1734;2879.402;
-0.06403776;1959;2751.016;
-0.06371848;2218;2604.775;
-0.06076288;2441;2448.661;
-0.05793952;2549;2293.712;
-0.06680156;2513;2146.224;
-0.06466153;2370;1997.285;
-0.05853221;2194;1829.226;
-0.06118528;2041;1631.697;
-0.06440077;1973;1404.699;
-0.06171774;2051;1151.373;
-0.05564747;2256;875.5386;
-0.04932353;2475;585.5193;
-0.05675675;2637;296.1293;
-0.06284994;2737;24.90405;
-0.06052688;2734;-214.3051;
-0.06928517;2562;-416.8237;
-0.07756215;2276;-593.6379;
-0.08440998;2056;-771.202;
-0.08431454;2018;-972.855;
-0.08448301;2131;-1197.111;
-0.08680407;2296;-1421.172;
-0.1005147;2441;-1621.91;
-0.1047444;2500;-1784.838;
-0.09495111;2412;-1899.284;
-0.09996357;2192;-1962.698;
-0.1001145;1967;-1987.2;
-0.1077441;1845;-1991.018;
-0.09355988;1819;-1988.737;
-0.08491337;1868;-1992.524;
-0.08072823;2025;-2009.825;
-0.07853086;2246;-2031.986;
-0.08229263;2389;-2036.405;
-0.09267239;2376;-2003.407;
-0.07502018;2251;-1925.9;
-0.0584675;2044;-1802.822;
-0.06284614;1757;-1635.671;
-0.04117477;1473;-1438.215;
-0.0323512;1311;-1239.46;
-0.05067954;1294;-1066.779;
-0.0410386;1376;-925.7281;
