–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ Â‚¯Ë˜ ÕÂÈÓËÌfafeÚÂÙÂÈÒ_› √_02_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-30;-1632.398;
-0.02122877;-39;-1653.362;
-0.02578321;-50;-1667.98;
-0.02969806;-70;-1677.904;
-0.02920786;-91;-1681.913;
-0.03152617;-103;-1677.777;
-0.03581784;-94;-1666.161;
-0.04093812;-71;-1648.871;
-0.04635295;-48;-1627.223;
-0.05216198;-41;-1600.701;
-0.05685086;-51;-1569.54;
-0.06011757;-69;-1534.329;
-0.05858566;-85;-1495.5;
-0.05842378;-89;-1452.998;
-0.06065361;-79;-1408.02;
-0.05845338;-61;-1363.073;
-0.06100743;-49;-1320.427;
-0.0608493;-39;-1279.595;
-0.06255765;-24;-1238.429;
-0.06710602;-12;-1195.768;
-0.06686705;-15;-1152.385;
-0.05783848;-23;-1109.559;
-0.06311763;-21;-1068.853;
-0.0642321;-12;-1031.338;
-0.06654517;-8;-996.7253;
-0.06865116;-6;-964.4214;
-0.06403776;6;-935.0027;
-0.06371848;24;-908.6136;
-0.06076288;46;-883.7163;
-0.05793952;66;-859.0404;
-0.06680156;79;-836.0377;
-0.06466153;76;-816.0443;
-0.05853221;63;-798.016;
-0.06118528;54;-780.2642;
-0.06440077;52;-762.9771;
-0.06171774;50;-748.8481;
-0.05564747;46;-739.7216;
-0.04932353;36;-734.1601;
-0.05675675;17;-728.3976;
-0.06284994;4;-720.1125;
-0.06052688;12;-709.8718;
-0.06928517;35;-699.8568;
-0.07756215;45;-691.3851;
-0.08440998;30;-683.579;
-0.08431454;8;-674.575;
-0.08448301;-8;-663.5342;
-0.08680407;-17;-651.1099;
-0.1005147;-16;-637.1064;
-0.1047444;-5;-620.9827;
-0.09495111;3;-603.1763;
-0.09996357;-7;-583.7926;
-0.1001145;-25;-562.448;
-0.1077441;-34;-538.9741;
-0.09355988;-34;-513.8587;
-0.08491337;-33;-487.6761;
-0.08072823;-31;-460.4463;
-0.07853086;-22;-431.4464;
-0.08229263;-11;-398.9282;
-0.09267239;-5;-360.3445;
-0.07502018;-6;-314.8848;
-0.0584675;-4;-264.4831;
