–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ Â‚¯Ë˜ ÕÂÈÓËÌÚafaÂÙÂÈÒ_› √_02_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-61;-363.1084;
-0.02122877;-72;-340.4238;
-0.02578321;-110;-318.9285;
-0.02969806;-140;-285.0871;
-0.02920786;-142;-236.6732;
-0.03152617;-117;-186.3724;
-0.03581784;-86;-150.164;
-0.04093812;-73;-132.9725;
-0.04635295;-91;-128.2622;
-0.05216198;-113;-125.7864;
-0.05685086;-98;-117.7499;
-0.06011757;-51;-99.72145;
-0.05858566;-18;-74.94809;
-0.05842378;-49;-56.25277;
-0.06065361;-150;-57.14915;
-0.05845338;-279;-75.83785;
-0.06100743;-363;-94.26064;
-0.0608493;-362;-98.50879;
-0.06255765;-299;-92.55632;
-0.06710602;-238;-84.73859;
-0.06686705;-217;-74.04665;
-0.05783848;-243;-61.52509;
-0.06311763;-316;-57.13241;
-0.0642321;-409;-63.35466;
-0.06654517;-439;-68.34377;
-0.06865116;-349;-63.50722;
-0.06403776;-211;-51.61298;
-0.06371848;-139;-36.21614;
-0.06076288;-160;-17.922;
-0.05793952;-216;1.359399;
-0.06680156;-245;23.0802;
-0.06466153;-199;57.85354;
-0.05853221;-83;116.0106;
-0.06118528;3;192.7964;
-0.06440077;-21;270.435;
-0.06171774;-97;333.0367;
-0.05564747;-112;377.1011;
-0.04932353;-44;407.6595;
-0.05675675;45;427.7315;
-0.06284994;110;437.3396;
-0.06052688;134;440.9294;
-0.06928517;101;447.3716;
-0.07756215;16;459.8336;
-0.08440998;-58;474.1055;
-0.08431454;-81;485.2058;
-0.08448301;-91;488.1203;
-0.08680407;-129;474.4342;
-0.1005147;-171;438.1057;
-0.1047444;-167;380.2288;
-0.09495111;-115;306.6643;
-0.09996357;-60;225.4179;
-0.1001145;-49;148.7327;
-0.1077441;-79;85.85455;
-0.09355988;-118;33.87101;
-0.08491337;-152;-19.05675;
-0.08072823;-184;-79.05386;
-0.07853086;-201;-140.6666;
-0.08229263;-187;-197.503;
-0.09267239;-146;-253.6261;
-0.07502018;-92;-317.5348;
-0.0584675;-56;-387.6254;
-0.06284614;-63;-451.9498;
-0.04117477;-95;-499.4941;
-0.0323512;-105;-524.5355;
-0.05067954;-92;-523.329;
-0.0410386;-108;-500.6881;
-0.01999021;-164;-475.9279;
0.009037151;-210;-468.6698;
0.00619929;-214;-478.873;
0.04129954;-199;-489.5469;
0.04622333;-192;-486.2478;
0.05585063;-194;-468.4954;
0.07953997;-186;-444.2603;
0.2038978;-159;-419.2086;
0.2038978;-142;-393.5939;
0.2038978;-162;-366.0498;
0.2038978;-209;-335.7242;
0.2038978;-229;-301.7202;
0.2025881;-187;-266.9203;
0.2020685;-100;-243.3419;
0.2003324;-22;-244.3586;
0.1993152;7;-267.4393;
0.1982981;-11;-292.5634;
0.1950663;-36;-299.75;
0.1865432;-35;-285.7657;
0.1805785;-31;-262.2924;
0.1746138;-58;-242.6436;
0.1677951;-100;-231.3974;
0.1614217;-108;-226.2601;
0.1483242;-57;-225.5603;
0.1362953;28;-230.8642;
0.1227932;102;-242.3971;
0.1087031;118;-258.3817;
0.09363598;52;-275.2045;
0.08067812;-64;-287.6115;
0.06837791;-159;-289.2582;
0.05200338;-194;-276.7917;
0.03944121;-193;-252.7097;
0.02851593;-182;-225.2261;
0.01389797;-155;-201.2377;
;-114;-181.7267;
;-80;-163.8044;
;-77;-145.4777;
;-101;-125.0603;
;-144;-101.2207;
;-191;-72.34977;
;-222;-32.71176;
;-228;22.78644;
;-242;84.99332;
;-297;134.0436;
;-361;164.2689;
;-363;192.0863;
;-296;235.3336;
;-221;295.3615;
;-218;361.446;
;-306;421.0066;
;-402;465.0313;
;-400;493.6167;
;-293;519.7027;
;-156;559.989;
;-61;615.2233;
;-50;664.3441;
;-122;684.4302;
;-200;676.5095;
;-217;663.6348;
;-195;665.6329;
;-165;683.1479;
;-95;705.4724;
;39;723.7499;
;180;738.0751;
;262;756.48;
;282;785.3915;
;271;821.8403;
;251;858.446;
;209;894.1792;
;121;935.3095;
;9;985.1133;
;-51;1040.563;
;-8;1098.516;
;81;1159.87;
;112;1225.326;
;57;1293.399;
;-19;1366.27;
;-60;1454.257;
;-101;1563.321;
;-188;1677.561;
;-260;1767.145;
;-220;1821.461;
;-97;1861.405;
;-13;1911.352;
;-8;1972.024;
;-25;2029.182;
;-39;2073.636;
;-72;2103.887;
