–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ Â‚¯Ë˜_› √_01_11_20efq16.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;3896;171.7088;
-0.02122877;3902;184.9227;
-0.02578321;3902;202.2413;
-0.02969806;3919;221.1354;
-0.02920786;3961;236.3717;
-0.03152617;4005;245.1888;
-0.03581784;4032;249.8712;
-0.04093812;4046;256.3189;
-0.04635295;4058;271.3658;
-0.05216198;4072;299.0633;
-0.05685086;4080;336.2262;
-0.06011757;4082;374.1129;
-0.05858566;4083;406.1227;
-0.05842378;4084;431.2438;
-0.06065361;4077;450.9471;
-0.05845338;4068;467.8518;
-0.06100743;4063;486.9572;
-0.0608493;4055;511.2807;
-0.06255765;4028;537.9433;
-0.06710602;3983;561.0762;
-0.06686705;3916;578.5144;
-0.05783848;3821;593.4756;
-0.06311763;3723;610.1024;
-0.0642321;3663;627.0038;
-0.06654517;3642;638.2297;
-0.06865116;3630;639.914;
-0.06403776;3606;634.8771;
-0.06371848;3550;629.4033;
-0.06076288;3450;627.7633;
-0.05793952;3323;629.7581;
-0.06680156;3213;633.5792;
-0.06466153;3141;638.287;
-0.05853221;3082;642.1684;
-0.06118528;2991;639.7945;
-0.06440077;2868;626.1616;
-0.06171774;2770;603.8657;
-0.05564747;2730;581.7588;
-0.04932353;2701;566.0408;
-0.05675675;2637;555.6649;
-0.06284994;2538;545.3501;
-0.06052688;2412;531.9319;
-0.06928517;2253;517.5471;
-0.07756215;2104;508.0134;
-0.08440998;2027;506.8768;
-0.08431454;2011;510.6642;
-0.08448301;1992;510.6627;
-0.08680407;1939;498.992;
-0.1005147;1860;474.7849;
-0.1047444;1763;444.7062;
-0.09495111;1659;419.6148;
-0.09996357;1564;406.0216;
-0.1001145;1481;400.0143;
-0.1077441;1392;389.8017;
-0.09355988;1292;367.2401;
-0.08491337;1203;335.3184;
-0.08072823;1155;303.1359;
-0.07853086;1145;276.3255;
-0.08229263;1135;253.1994;
-0.09267239;1093;228.7923;
-0.07502018;1022;199.9714;
-0.0584675;925;167.8677;
-0.06284614;794;136.5426;
-0.04117477;670;108.6069;
-0.0323512;630;81.16498;
-0.05067954;687;47.6394;
-0.0410386;762;6.134833;
-0.01999021;780;-38.14976;
0.009037151;740;-79.76162;
0.00619929;672;-117.4349;
0.04129954;596;-149.9586;
0.04622333;526;-176.0563;
0.05585063;474;-199.6922;
0.07953997;436;-227.8527;
0.2038978;401;-263.0158;
0.2038978;377;-302.9505;
0.2038978;387;-344.2811;
0.2038978;422;-382.2165;
0.2038978;443;-412.6512;
0.2025881;430;-435.7853;
0.2020685;399;-456.2341;
0.2003324;364;-476.8721;
0.1993152;309;-497.0369;
0.1982981;229;-515.0209;
0.1950663;158;-531.368;
0.1865432;139;-547.4929;
0.1805785;171;-564.2802;
0.1746138;198;-580.6122;
0.1677951;160;-594.1549;
0.1614217;70;-601.7366;
0.1483242;15;-601.1634;
0.1362953;39;-591.9803;
0.1227932;81;-577.3377;
0.1087031;65;-562.741;
0.09363598;7;-551.3589;
0.08067812;-20;-539.8211;
0.06837791;6;-522.3992;
0.05200338;45;-497.8105;
0.03944121;67;-469.7119;
0.02851593;88;-440.8362;
0.01389797;124;-411.0363;
;145;-379.046;
;121;-342.448;
;78;-299.7488;
;71;-254.8011;
;116;-211.7362;
;172;-167.7936;
;199;-117.8778;
;206;-63.61416;
;216;-9.119088;
;222;47.44438;
;204;111.7695;
;177;184.3906;
;180;260.8526;
;223;336.2981;
;272;408.4533;
;304;478.0565;
;319;548.7171;
;317;624.6663;
;301;708.6152;
;287;799.0146;
;281;892.7406;
;263;987.6859;
;228;1083.206;
;209;1177.374;
;234;1266.449;
;292;1348.174;
;344;1424.092;
;361;1497.303;
;339;1570.866;
;283;1646.886;
;218;1725.925;
;169;1804.47;
;144;1877.013;
;128;1939.803;
;127;1993.661;
;157;2041.478;
;211;2086.019;
;244;2129.186;
;234;2171.298;
;205;2211.048;
;176;2248.539;
;142;2286.945;
;111;2329.819;
;105;2375.259;
;139;2417.543;
;200;2454.709;
;261;2490.126;
;297;2526.242;
;304;2561.922;
;289;2598.673;
;269;2640.321;
;254;2687.344;
;241;2734.228;
;223;2775.765;
;213;2810.29;
;229;2838.503;
;268;2862.212;
;298;2883.018;
;296;2900.512;
;276;2912.413;
;258;2917.921;
;232;2918.227;
;190;2913.926;
;157;2899.565;
;164;2865.435;
;209;2805.966;
;259;2724.757;
;279;2629.67;
;259;2524.623;
;220;2411.232;
;198;2290.497;
;204;2160.189;
;216;2013.03;
;213;1844.509;
;205;1655.158;
;225;1448.792;
;277;1229.391;
;330;1001.134;
;357;766.5488;
;349;526.4301;
;303;282.4613;
;230;38.00226;
;174;-204.9581;
;170;-448.1052;
;209;-694.3206;
;268;-943.6132;
;330;-1192.23;
;368;-1434.737;
;344;-1666.904;
;275;-1883.263;
;228;-2078.653;
;245;-2254.963;
;295;-2423.452;
;321;-2590.691;
;312;-2748.798;
;310;-2885.562;
;339;-3001.042;
;379;-3102.865;
;400;-3193.698;
;398;-3269.379;
;387;-3326.152;
;380;-3363.441;
;366;-3385.134;
;333;-3399.043;
;306;-3411.369;
;335;-3420.694;
;420;-3422.149;
;495;-3415.021;
;506;-3402.697;
;467;-3384.905;
;425;-3358.129;
;404;-3322.888;
;394;-3286.175;
;377;-3253.447;
;337;-3224.433;
;282;-3197.722;
;258;-3171.354;
;307;-3140.514;
;417;-3100.361;
;515;-3054.038;
;542;-3010.194;
;487;-2973.655;
;392;-2940.778;
;320;-2906.846;
;318;-2872.189;
;379;-2840.097;
;445;-2810.879;
;471;-2780.413;
;457;-2743.646;
;433;-2696.103;
;415;-2635.819;
;401;-2566.872;
;392;-2499.201;
;388;-2441.426;
;390;-2393.988;
;408;-2350.177;
;446;-2301.025;
;470;-2241.182;
;449;-2171.748;
;407;-2097.123;
;381;-2019.649;
;357;-1938.834;
;313;-1855.762;
;285;-1774.411;
;312;-1700.003;
;371;-1634.608;
;412;-1574.381;
;411;-1513.044;
;378;-1447.641;
;337;-1378.53;
;305;-1305.844;
;299;-1230.861;
;311;-1159.066;
;316;-1095.745;
;300;-1040.208;
;287;-988.693;
;295;-939.5452;
;315;-893.3881;
;326;-850.4885;
;323;-810.8273;
