–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡Ã‡ÒÎÓ‚ ¿ÚÂÏËÈ_› sg√_01_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;466;-1937.922;
-0.02122877;478;-2132.236;
-0.02578321;322;-2329.086;
-0.02969806;120;-2525.389;
-0.02920786;54;-2716.086;
-0.03152617;192;-2900.159;
-0.03581784;441;-3087.336;
-0.04093812;641;-3285.231;
-0.04635295;699;-3483.286;
-0.05216198;649;-3664.354;
-0.05685086;585;-3827.705;
-0.06011757;533;-3989.143;
-0.05858566;485;-4160.821;
-0.05842378;477;-4339.568;
-0.06065361;526;-4511.794;
-0.05845338;555;-4663.89;
-0.06100743;522;-4791.572;
-0.0608493;515;-4902.541;
-0.06255765;619;-5007.719;
-0.06710602;764;-5107.893;
-0.06686705;803;-5195.619;
-0.05783848;680;-5267.349;
-0.06311763;502;-5326.497;
-0.0642321;426;-5375.818;
-0.06654517;460;-5414.187;
-0.06865116;472;-5441.438;
-0.06403776;407;-5460.003;
-0.06371848;332;-5471.005;
-0.06076288;267;-5469.314;
-0.05793952;193;-5448.271;
-0.06680156;176;-5411.4;
-0.06466153;264;-5372.592;
-0.05853221;342;-5339.797;
-0.06118528;283;-5304.568;
-0.06440077;151;-5254.517;
-0.06171774;90;-5186.327;
-0.05564747;144;-5102.266;
-0.04932353;266;-5003.36;
-0.05675675;395;-4892.864;
-0.06284994;482;-4776.797;
-0.06052688;507;-4658.381;
-0.06928517;493;-4538.478;
-0.07756215;454;-4420.628;
-0.08440998;409;-4308.52;
-0.08431454;394;-4200.524;
-0.08448301;425;-4093.372;
-0.08680407;456;-3985.261;
-0.1005147;454;-3870.479;
-0.1047444;447;-3740.43;
-0.09495111;479;-3592.78;
-0.09996357;545;-3435.989;
-0.1001145;599;-3282.867;
-0.1077441;607;-3144.674;
-0.09355988;576;-3023.813;
-0.08491337;542;-2912.121;
-0.08072823;537;-2799.567;
-0.07853086;565;-2683.835;
-0.08229263;595;-2567.597;
-0.09267239;602;-2453.894;
-0.07502018;599;-2347.481;
-0.0584675;609;-2251.203;
-0.06284614;621;-2158.642;
-0.04117477;616;-2061.228;
-0.0323512;606;-1962.223;
-0.05067954;616;-1872.496;
-0.0410386;655;-1793.471;
-0.01999021;724;-1718.76;
0.009037151;800;-1647.412;
0.00619929;847;-1584.643;
0.04129954;868;-1531.856;
0.04622333;902;-1485.731;
0.05585063;944;-1437.33;
0.07953997;944;-1375.571;
0.2038978;896;-1305.027;
0.2038978;805;-1251.285;
0.2038978;638;-1230.425;
0.2038978;460;-1225.766;
0.2038978;468;-1208.181;
0.2025881;716;-1165.304;
0.2020685;966;-1107.762;
0.2003324;1000;-1057.481;
0.1993152;873;-1027.917;
0.1982981;740;-1006.969;
0.1950663;680;-972.0925;
0.1865432;733;-918.2755;
0.1805785;866;-856.7136;
0.1746138;926;-798.8167;
0.1677951;832;-754.2282;
0.1614217;734;-726.7222;
0.1483242;807;-702.4738;
0.1362953;1027;-661.4587;
0.1227932;1244;-600.9944;
