–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ÃËÎÓ‚wew‡ÌÓ‚_› √_07_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1743;-2370.821;
-0.02122877;1356;-2364.699;
-0.02578321;743;-2359.486;
-0.02969806;409;-2317.025;
-0.02920786;409;-2222.172;
-0.03152617;586;-2102.306;
-0.03581784;868;-2026.001;
-0.04093812;1212;-2040.85;
-0.04635295;1443;-2101.859;
-0.05216198;1368;-2108.89;
-0.05685086;1047;-2019.039;
-0.06011757;810;-1876.154;
-0.05858566;887;-1743.894;
-0.05842378;1142;-1655.832;
-0.06065361;1265;-1616.587;
-0.05845338;1104;-1609.097;
-0.06100743;783;-1601.588;
-0.0608493;662;-1564.315;
-0.06255765;1014;-1489.665;
-0.06710602;1599;-1400.706;
-0.06686705;1822;-1333.052;
-0.05783848;1469;-1298.787;
-0.06311763;928;-1274.193;
-0.0642321;642;-1221.253;
-0.06654517;668;-1118.543;
-0.06865116;844;-992.3436;
-0.06403776;1080;-916.8399;
-0.06371848;1356;-941.8725;
-0.06076288;1545;-1018.813;
-0.05793952;1449;-1043.364;
-0.06680156;1103;-967.6254;
-0.06466153;853;-830.7242;
-0.05853221;943;-698.6741;
-0.06118528;1226;-614.3716;
-0.06440077;1389;-584.0168;
-0.06171774;1272;-581.7546;
-0.05564747;979;-571.601;
-0.04932353;853;-531.6979;
-0.05675675;1194;-462.0584;
-0.06284994;1787;-384.2106;
-0.06052688;2032;-327.8702;
-0.06928517;1693;-299.9031;
-0.07756215;1165;-272.2676;
-0.08440998;903;-209.6361;
-0.08431454;969;-98.90304;
-0.08448301;1191;32.13671;
-0.08680407;1449;118.2209;
-0.1005147;1707;113.5089;
-0.1047444;1863;58.76352;
-0.09495111;1758;47.76386;
-0.09996357;1414;122.765;
-0.1001145;1141;245.5017;
-0.1077441;1200;358.6097;
-0.09355988;1473;430.0152;
-0.08491337;1636;452.1138;
-0.08072823;1498;437.857;
-0.07853086;1145;416.8551;
-0.08229263;941;418.4342;
-0.09267239;1250;451.831;
-0.07502018;1893;498.5024;
-0.0584675;2223;527.6334;
-0.06284614;1944;528.4565;
-0.04117477;1429;524.0077;
-0.0323512;1125;552.8751;
-0.05067954;1082;638.7769;
-0.0410386;1190;758.3069;
-0.01999021;1417;837.637;
0.009037151;1711;819.5757;
0.00619929;1895;741.8004;
0.04129954;1797;702.1024;
0.04622333;1477;749.1262;
0.05585063;1245;849.5345;
0.07953997;1330;945.674;
0.2038978;1594;999.3463;
0.2038978;1699;999.7239;
0.2038978;1458;963.2178;
0.2038978;1015;921.7305;
0.2038978;795;900.7714;
0.2025881;1129;907.6049;
0.2020685;1770;924.1343;
0.2003324;2066;915.9948;
0.1993152;1751;868.1798;
0.1982981;1213;806.7643;
0.1950663;895;772.7387;
0.1865432;859;785.0953;
0.1805785;992;816.8865;
0.1746138;1248;797.5011;
0.1677951;1562;674.1559;
0.1614217;1738;487.9814;
0.1483242;1605;342.2546;
0.1362953;1270;288.8361;
0.1227932;1069;291.8907;
0.1087031;1189;292.5886;
0.09363598;1460;256.7167;
0.08067812;1575;172.8715;
0.06837791;1378;51.97373;
0.05200338;991;-71.6353;
0.03944121;807;-161.263;
0.02851593;1162;-204.0731;
0.01389797;1831;-221.3814;
;2174;-252.7284;
;1915;-316.7063;
;1413;-390.5365;
;1101;-432.8729;
;1060;-423.7114;
;1187;-389.1083;
;1443;-395.5013;
;1793;-490.8965;
;2059;-638.1522;
;2014;-742.0447;
;1685;-749.7389;
;1425;-691.2811;
;1502;-628.3271;
;1773;-604.0576;
;1901;-630.2239;
;1711;-687.9971;
;1323;-742.9254;
;1120;-771.2858;
;1440;-773.047;
;2082;-770.7253;
;2404;-791.6288;
;2103;-838.7207;
;1543;-882.5381;
;1179;-887.1304;
;1105;-838.269;
;1225;-762.3021;
;1481;-727.0353;
;1788;-783.0168;
;1954;-891.4261;
;1804;-953.3294;
;1405;-918.4824;
;1096;-822.1473;
;1132;-727.3692;
;1393;-673.56;
;1558;-668.0715;
;1436;-691.6072;
;1105;-713.0798;
;897;-708.792;
;1146;-672.0674;
;1698;-617.6951;
;1953;-574.1049;
;1615;-556.2311;
;1043;-546.1001;
;697;-506.6953;
;645;-414.2132;
;758;-289.7506;
;989;-202.3005;
;1303;-204.1184;
;1531;-256.0922;
;1474;-259.2971;
;1162;-165.0945;
;895;-9.576466;
;902;145.7537;
;1087;263.2148;
;1172;332.5294;
;992;365.7902;
;632;390.949;
;429;437.3041;
;704;519.2354;
;1293;622.6242;
;1583;712.5635;
;1268;770.9052;
;711;818.0962;
;396;889.9902;
;406;1004.903;
;578;1141.182;
;806;1233.769;
;1045;1228.289;
;1175;1156.84;
;1043;1114.137;
;703;1150.069;
;485;1231.734;
;614;1305.307;
;914;1341.838;
;1043;1334.467;
;852;1295.146;
;465;1254.755;
;236;1241.871;
;506;1260.785;
;1118;1289.323;
;1450;1299.303;
;1170;1284.151;
;625;1268.952;
;294;1290.399;
;270;1370.082;
;409;1487.582;
;640;1574.885;
;929;1572.781;
;1123;1510.312;
;1023;1483.528;
;671;1549.012;
;397;1678.045;
;450;1809.413;
;712;1903.098;
;872;1949.615;
;731;1964.288;
;366;1973.57;
;168;1998.372;
;508;2043.397;
;1181;2090.842;
;1509;2107.606;
;1176;2078.653;
;572;2023.919;
;204;1978.838;
;189;1965.592;
;396;1967.476;
;690;1918.842;
;968;1761.346;
;1109;1526.254;
;1002;1313.361;
;695;1177.852;
;452;1086.838;
;496;979.3417;
;731;820.5239;
;861;606.1801;
;710;356.278;
;351;103.364;
;124;-126.5242;
;374;-326.5583;
;971;-513.5892;
;1326;-719.2368;
;1112;-957.5881;
;643;-1203.777;
;352;-1413.846;
;320;-1561.354;
;441;-1665.499;
;680;-1794.082;
;1004;-2006.141;
;1243;-2271.044;
;1198;-2487.651;
;905;-2595.78;
;664;-2626.28;
;703;-2644.26;
;914;-2692.448;
;1015;-2782.093;
;831;-2897.694;
;439;-3005.194;
;205;-3074.514;
;494;-3100.199;
;1152;-3107.325;
;1536;-3132.748;
;1302;-3190.144;
;778;-3255.541;
;427;-3289.88;
;360;-3269.607;
;485;-3212.886;
;731;-3186.584;
;1034;-3250.008;
;1253;-3373.875;
;1216;-3460.186;
;919;-3451.689;
;653;-3376.883;
;708;-3293.732;
;1001;-3241.177;
;1183;-3235.985;
;1043;-3270.729;
;682;-3314.305;
;473;-3333.477;
;768;-3316.317;
;1414;-3278.652;
;1780;-3248.387;
;1517;-3238.071;
;963;-3231.208;
;603;-3195.844;
;536;-3109.755;
;640;-2988.785;
;869;-2895.886;
;1180;-2886.711;
;1380;-2933.022;
;1258;-2941.446;
;866;-2857.541;
;548;-2706.921;
;582;-2542.971;
;853;-2400.064;
;1020;-2287.928;
;876;-2192.676;
;523;-2083.419;
;312;-1930.834;
;565;-1723.587;
;1145;-1476.421;
;1477;-1221.884;
;1227;-975.6694;
;673;-710.4433;
;277;-377.8902;
;194;50.26355;
;336;556.3096;
;596;1075.844;
;882;1551.105;
;1075;2006.469;
;1050;2534.765;
;822;3196.663;
;636;3971.809;
;698;4805.779;
;904;5660.727;
;973;6521.819;
;758;7394.254;
;363;8300.919;
;129;9266.394;
;403;10295.63;
;1032;11360.89;
;1395;12415.41;
;1141;13432.35;
;590;14423.9;
;218;15420.08;
;154;16438.44;
;293;17454.67;
;547;18388.83;
;844;19160.8;
;1040;19776.19;
;972;20316.76;
;659;20834.78;
;379;21300.91;
;390;21649.79;
;635;21829.83;
;825;21815.27;
;735;21609.45;
;407;21235.22;
