Результат свертки 1 файлаМилованов Иван Айцкндреевич_ЭКГ_03_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;242;502.0497;
-0.02122877;249;654.8638;
-0.02578321;231;802.9391;
-0.02969806;204;937.6068;
-0.02920786;214;1056.576;
-0.03152617;308;1160.639;
-0.03581784;450;1254.334;
-0.04093812;549;1344.73;
-0.04635295;570;1436.432;
-0.05216198;558;1529.069;
-0.05685086;525;1621.483;
-0.06011757;435;1713.715;
-0.05858566;306;1803.357;
-0.05842378;222;1881.195;
-0.06065361;240;1937.191;
-0.05845338;332;1970.8;
-0.06100743;436;1990.22;
-0.0608493;507;2001.766;
-0.06255765;531;2008.503;
-0.06710602;510;2017.605;
-0.06686705;456;2035.61;
-0.05783848;392;2056.236;
-0.06311763;330;2064.399;
-0.0642321;272;2050.884;
-0.06654517;251;2016.922;
-0.06865116;313;1967.892;
-0.06403776;442;1910.201;
-0.06371848;547;1851.267;
-0.06076288;582;1796.53;
-0.05793952;577;1746.102;
-0.06680156;548;1699.131;
-0.06466153;469;1657.254;
-0.05853221;361;1619.645;
-0.06118528;297;1577.238;
-0.06440077;323;1519.51;
-0.06171774;414;1446.178;
-0.05564747;513;1364.948;
-0.04932353;581;1282.791;
-0.05675675;608;1204.978;
-0.06284994;595;1138.974;
-0.06052688;548;1088.928;
-0.06928517;484;1048.697;
-0.07756215;418;1006.33;
-0.08440998;363;953.913;
-0.08431454;345;890.2244;
-0.08448301;403;819.1097;
-0.08680407;517;746.7175;
-0.1005147;606;679.9034;
-0.1047444;627;622.7034;
-0.09495111;617;574.8337;
-0.09996357;590;534.4549;
-0.1001145;512;501.7334;
-0.1077441;395;475.5418;
-0.09355988;326;447.5146;
-0.08491337;354;406.4073;
-0.08072823;443;350.0187;
-0.07853086;533;286.9575;
-0.08229263;595;226.0338;
-0.09267239;619;172.4049;
-0.07502018;600;131.5283;
-0.0584675;549;106.9301;
-0.06284614;493;92.68364;
-0.04117477;441;76.26884;
-0.0323512;390;48.56174;
-0.05067954;367;8.05734;
-0.0410386;420;-41.11692;
-0.01999021;534;-91.49743;
0.009037151;630;-136.417;
0.00619929;664;-172.9504;
0.04129954;665;-201.3002;
0.04622333;640;-221.5546;
0.05585063;565;-231.895;
0.07953997;458;-233.1756;
0.2038978;399;-233.9896;
0.2038978;433;-246.3836;
0.2038978;530;-273.1565;
0.2038978;632;-306.3268;
0.2038978;705;-337.6984;
0.2025881;738;-362.9032;
0.2020685;731;-375.6253;
0.2003324;691;-371.3171;
0.1993152;640;-355.6034;
0.1982981;583;-340.971;
0.1950663;515;-335.2034;
0.1865432;478;-339.6595;
0.1805785;532;-352.1944;
0.1746138;657;-366.9756;
0.1677951;757;-376.1009;
0.1614217;787;-375.9308;
0.1483242;783;-367.8934;
0.1362953;761;-353.071;
0.1227932;688;-329.4731;
0.1087031;583;-298.5225;
0.09363598;529;-270.0255;
0.08067812;569;-255.1545;
0.06837791;664;-254.6629;
0.05200338;755;-259.8032;
0.03944121;814;-264.0081;
0.02851593;836;-265.0602;
0.01389797;817;-257.8695;
;768;-236.8774;
;714;-205.8798;
;669;-176.2656;
;630;-157.7475;
;612;-153.6121;
;656;-161.4107;
;761;-174.0411;
;857;-184.0276;
;891;-188.3905;
;878;-188.4881;
;842;-185.1125;
;771;-175.9237;
;668;-161.0373;
;597;-149.6775;
;611;-154.5715;
;694;-177.989;
;786;-210.2387;
;850;-242.6172;
;882;-271.8039;
;877;-292.6758;
;823;-299.24;
;738;-294.8817;
;661;-292.3142;
;604;-302.5271;
;577;-328.3149;
;612;-367.2307;
;704;-413.4098;
;791;-458.1041;
;827;-494.9126;
;831;-524.1673;
;803;-548.1604;
;714;-565.2183;
;580;-575.1516;
;487;-586.3314;
;492;-610.0701;
;571;-647.5453;
;656;-690.1855;
;703;-730.6841;
;704;-765.6675;
;672;-788.7694;
;615;-792.8235;
;540;-779.6842;
;458;-761.2664;
;384;-748.4775;
;349;-744.9749;
;390;-748.3485;
;493;-752.0643;
;583;-747.5524;
;615;-730.3154;
;608;-701.0827;
;564;-660.4446;
;447;-605.1401;
;287;-535.0834;
;192;-460.1241;
;213;-392.9027;
;306;-336.1987;
;406;-282.0118;
;477;-223.3854;
;500;-158.8077;
;478;-85.31963;
;424;2.869595;
;357;104.3381;
;281;207.4592;
;206;300.3427;
;170;379.2784;
;216;446.5953;
;331;507.7912;
;440;569.5522;
;494;636.2333;
;509;707.488;
;500;782.5751;
;444;863.1455;
;348;949.0986;
;288;1031.502;
;323;1097.935;
;432;1145.526;
;559;1182.49;
;665;1216.516;
;729;1250.903;
;743;1291.585;
;716;1345.24;
;676;1408.368;
;640;1469.411;
;611;1520.478;
;607;1559.808;
;669;1588.592;
;794;1611.301;
;913;1635.053;
;977;1665.468;
;1005;1704.615;
;1010;1752.493;
;953;1809.365;
;840;1872.763;
;768;1933.106;
;808;1978.072;
;927;2004.897;
;1043;2022.437;
;1116;2038.768;
;1147;2056.341;
;1134;2078.495;
;1078;2109.935;
;1009;2147.145;
;949;2178.482;
;894;2192.875;
;860;2185.458;
;891;2157.749;
;987;2115.778;
;1079;2066.946;
;1124;2015.85;
;1132;1962.981;
;1110;1906.46;
;1031;1845.143;
;908;1777.355;
;818;1694.946;
;816;1584.529;
;886;1441.28;
;976;1274.237;
