–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ÃËÎÓ‚‡ÌÓ‚ »‚‡Ì ¿Ì‰ÂÂ‚efwsË˜_› √_01_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1437;874.3632;
-0.02122877;1357;865.6418;
-0.02578321;1286;854.8738;
-0.02969806;1251;850.6214;
-0.02920786;1231;850.5333;
-0.03152617;1212;840.15;
-0.03581784;1203;806.1385;
-0.04093812;1212;749.5681;
-0.04635295;1233;678.4066;
-0.05216198;1252;594.311;
-0.05685086;1261;495.6937;
-0.06011757;1273;386.9565;
-0.05858566;1280;272.859;
-0.05842378;1247;150.2336;
-0.06065361;1146;17.81857;
-0.05845338;1023;-115.0211;
-0.06100743;968;-235.6562;
-0.0608493;1021;-341.9714;
-0.06255765;1123;-441.5114;
-0.06710602;1191;-539.4629;
-0.06686705;1209;-632.5455;
-0.05783848;1199;-713.345;
-0.06311763;1149;-776.287;
-0.0642321;1016;-820.5817;
-0.06654517;818;-853.5936;
-0.06865116;663;-888.5491;
-0.06403776;632;-933.2928;
-0.06371848;711;-981.9698;
-0.06076288;836;-1022.458;
-0.05793952;942;-1047.124;
-0.06680156;986;-1057.169;
-0.06466153;953;-1060.67;
-0.05853221;879;-1064.624;
-0.06118528;789;-1064.461;
-0.06440077;675;-1046.711;
-0.06171774;553;-1003.385;
-0.05564747;485;-940.9849;
-0.04932353;508;-877.2699;
-0.05675675;558;-827.3098;
-0.06284994;542;-790.1812;
-0.06052688;465;-752.2717;
-0.06928517;397;-705.5463;
-0.07756215;353;-652.6135;
-0.08440998;307;-596.0599;
-0.08431454;266;-536.0645;
-0.08448301;236;-477.7599;
-0.08680407;185;-427.3305;
-0.1005147;106;-382.4847;
-0.1047444;48;-335.0253;
-0.09495111;43;-279.7037;
-0.09996357;55;-216.8049;
-0.1001145;45;-150.1573;
-0.1077441;40;-83.55795;
-0.09355988;82;-17.6398;
-0.08491337;138;49.51578;
-0.08072823;128;117.3678;
-0.07853086;58;178.8875;
-0.08229263;29;222.6346;
-0.09267239;85;240.7836;
-0.07502018;169;236.8788;
-0.0584675;230;222.1529;
