Результат свертки 1 файлаМилованов Иван Андреевич_eweЭКГ_01_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-186;685.6638;
-0.02122877;-273;681.7423;
-0.02578321;-382;684.4255;
-0.02969806;-480;684.9725;
-0.02920786;-536;680.1442;
-0.03152617;-530;665.2241;
-0.03581784;-467;637.5093;
-0.04093812;-371;602.9797;
-0.04635295;-267;570.1311;
-0.05216198;-190;542.1723;
-0.05685086;-191;522.0977;
-0.06011757;-295;515.3536;
-0.05858566;-431;520.9355;
-0.05842378;-496;527.8414;
-0.06065361;-483;525.3968;
-0.05845338;-455;509.1402;
-0.06100743;-420;478.8356;
-0.0608493;-336;436.3144;
-0.06255765;-223;390.0195;
-0.06710602;-150;355.4097;
-0.06686705;-150;344.6613;
-0.05783848;-208;354.3358;
-0.06311763;-308;369.4297;
-0.0642321;-417;379.0501;
-0.06654517;-486;380.53;
-0.06865116;-476;370.481;
-0.06403776;-395;345.6597;
-0.06371848;-282;310.9593;
-0.06076288;-174;276.3263;
-0.05793952;-100;248.2629;
-0.06680156;-100;232.0529;
-0.06466153;-200;233.2089;
-0.05853221;-349;248.389;
-0.06118528;-445;263.5864;
-0.06440077;-453;266.7889;
-0.06171774;-424;255.6883;
-0.05564747;-382;231.4828;
-0.04932353;-302;195.6331;
-0.05675675;-195;155.1961;
-0.06284994;-117;123.6764;
-0.06052688;-97;108.6806;
-0.06928517;-116;104.2144;
-0.07756215;-169;99.34498;
-0.08440998;-253;90.86613;
-0.08431454;-322;79.76931;
-0.08448301;-313;62.21212;
-0.08680407;-222;33.32732;
-0.1005147;-88;-3.349321;
-0.1047444;49;-38.6238;
-0.09495111;152;-65.96663;
-0.09996357;164;-81.485;
-0.1001145;54;-82.42752;
-0.1077441;-104;-71.65498;
-0.09355988;-192;-59.88369;
-0.08491337;-178;-58.28364;
-0.08072823;-139;-70.59468;
-0.07853086;-104;-95.6856;
-0.08229263;-35;-130.395;
-0.09267239;62;-166.3631;
-0.07502018;117;-189.1897;
-0.0584675;94;-190.4479;
-0.06284614;23;-177.0716;
-0.04117477;-67;-163.2277;
-0.0323512;-166;-154.4434;
-0.05067954;-243;-149.7525;
-0.0410386;-262;-152.7931;
-0.01999021;-222;-169.0152;
0.009037151;-145;-195.7441;
0.00619929;-43;-224.0321;
0.04129954;61;-246.9287;
0.04622333;95;-259.6961;
0.05585063;-2;-258.6678;
0.07953997;-173;-245.9482;
0.2038978;-290;-232.8127;
0.2038978;-302;-231.6098;
0.2038978;-267;-247.1402;
0.2038978;-227;-276.5276;
0.2038978;-160;-314.2861;
0.2025881;-76;-351.6966;
0.2020685;-28;-375.0201;
0.2003324;-42;-375.1948;
0.1993152;-103;-359.705;
0.1982981;-202;-344.2857;
0.1950663;-320;-334.5182;
0.1865432;-400;-327.4818;
0.1805785;-395;-324.8867;
