Результат свертки 1 файлаМилованов Иван Андреевич_weweЭКГ_01_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;530;-177.5198;
-0.02122877;607;-215.12;
-0.02578321;727;-247.0774;
-0.02969806;800;-262.2281;
-0.02920786;777;-256.162;
-0.03152617;673;-237.0133;
-0.03581784;532;-217.8859;
-0.04093812;398;-203.6585;
-0.04635295;321;-195.0723;
-0.05216198;335;-198.4573;
-0.05685086;428;-219.1057;
-0.06011757;553;-249.5884;
-0.05858566;666;-275.7485;
-0.05842378;724;-288.1028;
-0.06065361;668;-281.542;
-0.05845338;480;-254.1658;
-0.06100743;254;-214.5654;
-0.0608493;121;-180.5591;
-0.06255765;96;-166.036;
-0.06710602;99;-172.8997;
-0.06686705;116;-195.8048;
-0.05783848;207;-227.4651;
-0.06311763;354;-256.1562;
-0.0642321;445;-266.1235;
-0.06654517;411;-250.78;
-0.06865116;279;-221.6106;
-0.06403776;108;-196.2514;
-0.06371848;-50;-180.7696;
-0.06076288;-147;-173.3774;
-0.05793952;-142;-176.8184;
-0.06680156;-42;-196.1122;
-0.06466153;102;-227.8441;
-0.05853221;228;-262.5903;
-0.06118528;288;-289.1716;
-0.06440077;245;-295.6777;
-0.06171774;88;-275.8765;
-0.05564747;-99;-239.9055;
-0.04932353;-191;-208.6815;
-0.05675675;-176;-197.4497;
-0.06284994;-142;-208.5901;
-0.06052688;-114;-238.7168;
-0.06928517;-42;-282.3123;
-0.07756215;58;-325.5932;
-0.08440998;99;-348.0183;
-0.08431454;42;-339.28;
-0.08448301;-77;-311.0207;
-0.08680407;-212;-283.1147;
-0.1005147;-337;-262.8288;
-0.1047444;-417;-248.2253;
-0.09495111;-415;-242.9454;
-0.09996357;-324;-252.6362;
-0.1001145;-190;-271.8572;
-0.1077441;-67;-287.8938;
-0.09355988;-3;-291.4399;
-0.08491337;-44;-278.1868;
-0.08072823;-204;-246.8364;
-0.07853086;-388;-203.7551;
-0.08229263;-465;-161.9348;
-0.09267239;-428;-132.6254;
-0.07502018;-381;-119.1977;
-0.0584675;-349;-121.3207;
-0.06284614;-258;-136.4343;
-0.04117477;-107;-153.331;
-0.0323512;-7;-152.6918;
-0.05067954;-30;-123.8516;
-0.0410386;-140;-78.04147;
-0.01999021;-276;-34.32519;
0.009037151;-400;1.423413;
0.00619929;-466;31.64831;
0.04129954;-438;51.63896;
0.04622333;-334;54.05622;
0.05585063;-205;42.03701;
0.07953997;-77;27.00311;
0.2038978;24;19.21268;
0.2038978;33;26.36567;
0.2038978;-101;52.22729;
0.2038978;-299;90.59261;
0.2038978;-412;125.7465;
0.2025881;-409;143.7137;
0.2020685;-375;141.1643;
0.2003324;-330;122.9267;
0.1993152;-212;95.80912;
0.1982981;-48;69.6255;
0.1950663;54;58.31622;
0.1865432;39;69.72409;
0.1805785;-61;94.70388;
0.1746138;-206;117.6298;
0.1677951;-348;133.9467;
0.1614217;-416;145.4503;
0.1483242;-377;147.0434;
0.1362953;-265;131.8831;
0.1227932;-143;105.0827;
0.1087031;-46;79.60191;
0.09363598;17;65.40798;
0.08067812;5;68.75681;
0.06837791;-118;92.88451;
0.05200338;-292;131.1792;
0.03944121;-388;167.3229;
0.02851593;-375;187.5343;
0.01389797;-327;187.3934;
;-273;169.8082;
;-177;141.6032;
;-50;115.6937;
;34;108.8325;
;28;128.9431;
;-49;164.8813;
;-165;196.5158;
;-276;215.2849;
;-333;223.9702;
;-299;222.5883;
;-189;207.2232;
;-48;181.3432;
;89;154.6324;
;192;136.5523;
;206;134.4357;
;87;152.2328;
;-95;183.8014;
;-201;213.9468;
;-190;228.0663;
;-144;219.5754;
;-102;190.2801;
;-17;148.5344;
;110;109.9732;
;192;93.53843;
;175;106.4626;
;79;134.5796;
;-53;158.6159;
;-185;173.6413;
;-266;183.9593;
;-256;186.6587;
;-157;174.2255;
;-15;148.3906;
;119;120.7172;
;210;103.5801;
;208;106.5145;
;76;133.1592;
;-119;176.222;
