Результат свертки 1 файлаМилованов Иван Андреевич_ЭКwewГ_01_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-44;-2335.576;
-0.02122877;-114;-2222.456;
-0.02578321;-191;-2095.06;
-0.02969806;-197;-1966.635;
-0.02920786;-98;-1850.313;
-0.03152617;53;-1750.865;
-0.03581784;180;-1661.066;
-0.04093812;270;-1564.537;
-0.04635295;361;-1449.197;
-0.05216198;484;-1317.935;
-0.05685086;598;-1183.684;
-0.06011757;637;-1054.416;
-0.05858566;591;-930.8222;
-0.05842378;527;-815.3975;
-0.06065361;508;-714.7907;
-0.05845338;547;-632.9464;
-0.06100743;636;-567.6031;
-0.0608493;752;-515.2009;
-0.06255765;847;-474.0892;
-0.06710602;866;-440.2964;
-0.06686705;810;-405.5305;
-0.05783848;740;-363.8693;
-0.06311763;711;-317.6464;
-0.0642321;720;-274.3671;
-0.06654517;724;-238.1865;
-0.06865116;703;-207.3218;
-0.06403776;700;-177.9389;
-0.06371848;771;-147.3364;
-0.06076288;904;-112.2521;
-0.05793952;1024;-68.761;
-0.06680156;1058;-16.56697;
-0.06466153;975;38.12058;
-0.05853221;807;86.01667;
-0.06118528;642;119.5854;
-0.06440077;572;137.679;
-0.06171774;629;148.6355;
-0.05564747;769;165.1546;
-0.04932353;922;191.9944;
-0.05675675;1027;223.7386;
-0.06284994;1059;254.5023;
-0.06052688;1049;285.0782;
-0.06928517;1051;317.9307;
-0.07756215;1094;349.5583;
-0.08440998;1150;372.269;
-0.08431454;1179;383.074;
-0.08448301;1188;386.3258;
-0.08680407;1222;384.407;
-0.1005147;1289;374.0434;
-0.1047444;1333;357.0875;
-0.09495111;1294;345.3731;
-0.09996357;1202;346.3987;
-0.1001145;1163;353.4952;
-0.1077441;1239;355.8486;
-0.09355988;1381;348.1399;
-0.08491337;1511;328.6599;
-0.08072823;1598;298.6513;
-0.07853086;1641;264.5695;
-0.08229263;1641;231.4493;
-0.09267239;1605;195.4388;
-0.07502018;1548;147.4914;
-0.0584675;1497;85.20413;
-0.06284614;1478;17.8168;
-0.04117477;1495;-39.92325;
-0.0323512;1510;-81.30564;
-0.05067954;1464;-112.8309;
-0.0410386;1342;-146.6192;
-0.01999021;1223;-187.1611;
0.009037151;1187;-228.217;
0.00619929;1187;-259.0598;
0.04129954;1084;-276.2772;
0.04622333;862;-288.5623;
0.05585063;680;-305.0089;
0.07953997;652;-321.1293;
0.2038978;699;-323.7009;
0.2038978;702;-307.2465;
0.2038978;674;-277.6471;
0.2038978;705;-242.8993;
0.2038978;804;-209.6033;
0.2025881;891;-183.7712;
0.2020685;902;-167.0858;
0.2003324;855;-154.119;
0.1993152;816;-137.6512;
0.1982981;822;-115.2423;
0.1950663;855;-92.81072;
