Результат свертки 1 файлаМилованов Иван Андреевич_ЭКГ_02_11_20sgs16.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;669;-244.0785;
-0.02122877;720;-225.5818;
-0.02578321;772;-208.8092;
-0.02969806;786;-195.4818;
-0.02920786;775;-184.5521;
-0.03152617;787;-171.5914;
-0.03581784;839;-150.0712;
-0.04093812;890;-119.9519;
-0.04635295;892;-90.67764;
-0.05216198;851;-69.65222;
-0.05685086;810;-50.45991;
-0.06011757;793;-21.09655;
-0.05858566;786;20.63716;
-0.05842378;782;66.33669;
-0.06065361;789;109.0734;
-0.05845338;805;150.2936;
-0.06100743;805;192.9721;
-0.0608493;767;235.687;
-0.06255765;714;276.9817;
-0.06710602;697;319.018;
-0.06686705;748;359.8316;
-0.05783848;841;393.0699;
-0.06311763;923;417.0313;
-0.0642321;963;437.2964;
-0.06654517;962;458.17;
-0.06865116;938;480.028;
-0.06403776;914;502.2914;
-0.06371848;910;522.2219;
-0.06076288;921;533.171;
-0.05793952;921;531.2433;
-0.06680156;900;521.8626;
-0.06466153;911;515.9657;
-0.05853221;1010;519.1251;
-0.06118528;1154;526.1008;
-0.06440077;1241;526.4131;
-0.06171774;1226;515.4883;
-0.05564747;1156;497.9349;
-0.04932353;1086;481.7392;
-0.05675675;1058;473.1669;
-0.06284994;1092;472.9265;
-0.06052688;1174;475.6152;
-0.06928517;1253;475.8859;
-0.07756215;1286;476.9199;
-0.08440998;1265;483.9044;
-0.08431454;1217;493.6784;
-0.08448301;1195;498.9417;
-0.08680407;1227;499.8883;
-0.1005147;1279;499.7955;
-0.1047444;1302;494.994;
-0.09495111;1278;481.959;
-0.09996357;1225;466.979;
-0.1001145;1179;460.66;
-0.1077441;1197;466.255;
-0.09355988;1289;478.8455;
-0.08491337;1372;489.5084;
-0.08072823;1364;490.4562;
-0.07853086;1280;480.5222;
-0.08229263;1196;466.1657;
-0.09267239;1161;454.4472;
-0.07502018;1178;444.9627;
-0.0584675;1222;430.2001;
-0.06284614;1258;403.3591;
-0.04117477;1253;366.8863;
-0.0323512;1214;332.6494;
-0.05067954;1207;311.9138;
-0.0410386;1296;305.0005;
-0.01999021;1429;302.645;
0.009037151;1486;294.3381;
0.00619929;1445;274.0354;
0.04129954;1397;242.9214;
0.04622333;1392;208.2592;
0.05585063;1381;179.2255;
0.07953997;1334;161.1909;
0.2038978;1289;150.4338;
0.2038978;1282;135.6155;
0.2038978;1303;109.2606;
0.2038978;1328;77.04697;
0.2038978;1341;50.52692;
0.2025881;1340;33.68787;
0.2020685;1344;21.70254;
0.2003324;1374;6.676762;
0.1993152;1408;-20.42961;
0.1982981;1393;-62.15815;
0.1950663;1313;-105.709;
0.1865432;1206;-133.1433;
0.1805785;1117;-140.6365;
0.1746138;1077;-139.9076;
0.1677951;1085;-143.1772;
0.1614217;1115;-156.0197;
0.1483242;1145;-179.0702;
0.1362953;1154;-206.5898;
0.1227932;1128;-226.925;
0.1087031;1094;-234.8932;
0.09363598;1112;-237.2852;
0.08067812;1170;-240.9075;
0.06837791;1167;-243.1334;
0.05200338;1061;-239.1265;
0.03944121;928;-230.2794;
0.02851593;854;-222.6404;
0.01389797;851;-220.6474;
;900;-224.0755;
;969;-226.9279;
;986;-222.7901;
;887;-212.4955;
;710;-203.9557;
;558;-200.7658;
;506;-199.6979;
;538;-199.3259;
;583;-202.7854;
;592;-211.0471;
;578;-220.3159;
;578;-227.5314;
;590;-231.4582;
;566;-230.5175;
;483;-225.3082;
;372;-221.9542;
;282;-226.4628;
;232;-238.7181;
;207;-253.142;
;194;-261.4221;
;195;-257.9557;
;208;-246.8149;
;219;-237.9816;
;217;-234.5552;
;202;-229.7332;
;177;-216.8692;
;136;-197.2631;
;85;-176.4937;
;42;-160.1039;
;22;-151.8405;
;26;-150.8016;
;38;-152.7984;
;40;-153.2193;
;35;-147.6886;
;37;-136.4557;
;32;-127.1804;
;-2;-128.004;
;-38;-136.6588;
;-31;-142.5215;
;34;-140.4327;
;134;-136.3487;
;205;-139.0852;
;181;-151.7605;
;71;-170.7595;
;-39;-190.633;
;-75;-207.3061;
;-56;-217.1965;
;-39;-218.7796;
;-37;-215.2215;
;-28;-213.433;
;-4;-216.1188;
;22;-217.8949;
;33;-210.8611;
;16;-194.0658;
;-21;-174.0941;
;-37;-156.3274;
;-12;-139.1734;
;-16;-119.3809;
;-92;-97.13812;
;-149;-72.66048;
;-76;-42.58829;
;83;-5.95137;
;184;33.4487;
;171;72.34273;
;105;112.7088;
;72;159.0442;
;96;212.8132;
;136;269.5978;
;152;321.7735;
;161;365.7944;
;187;407.2724;
;213;454.5823;
;207;509.9401;
;185;567.2338;
;175;619.7037;
;185;665.2526;
;191;704.239;
;161;737.2237;
;88;766.986;
;25;799.9693;
;35;838.1331;
;103;871.9269;
;137;887.9391;
;88;885.4561;
;12;876.5504;
;-17;868.7892;
;-7;856.6102;
;-20;831.5638;
;-50;794.5084;
;-44;752.6738;
;-4;712.9554;
;17;679.5619;
;26;655.3923;
;63;640.0171;
;123;626.7563;
;162;605.7975;
;163;574.3139;
;135;544.1193;
;95;530.5301;
;77;536.126;
;120;548.2987;
;212;556.1528;
;277;562.4442;
;254;579.9139;
;182;616.7133;
;155;668.8827;
;207;726.5247;
;275;781.7747;
;290;831.4014;
;258;875.593;
;212;918.7218;
;174;964.4413;
;147;1011.917;
;126;1055.441;
;95;1089.723;
;79;1112.822;
;116;1128.143;
;175;1140.828;
;185;1150.477;
;156;1149.56;
;173;1132.16;
;232;1097.987;
;245;1048.556;
;179;983.494;
;98;905.027;
;63;820.9967;
;91;739.1006;
;172;657.8607;
;264;568.8853;
;304;466.7744;
;268;353.3068;
;222;232.5267;
;251;106.9194;
;344;-20.24599;
;408;-144.0233;
;379;-261.1288;
;284;-373.045;
;195;-482.7218;
;154;-589.3904;
;164;-686.1564;
;213;-768.7606;
;279;-840.782;
;328;-907.5898;
;321;-968.1187;
;243;-1020.184;
;150;-1064.113;
;127;-1098.413;
;178;-1117.895;
;219;-1123.521;
;202;-1122.883;
;164;-1121.314;
;143;-1115.641;
;151;-1101.361;
;209;-1077.271;
;298;-1046.237;
;323;-1014.148;
;228;-989.6168;
;91;-978.0394;
;37;-976.5234;
;87;-976.5591;
;176;-974.8256;
;257;-975.6963;
;310;-981.4131;
;304;-986.904;
;244;-986.1137;
;182;-979.1486;
;145;-972.0844;
;114;-974.29;
;85;-993.7706;
;85;-1030.886;
;130;-1076.237;
;189;-1118.858;
;209;-1154.177;
;161;-1184.594;
;83;-1214.773;
;47;-1246.621;
;85;-1275.227;
;139;-1293.516;
;149;-1298.952;
;145;-1294.155;
;174;-1280.8;
;212;-1258.372;
;205;-1225.864;
;161;-1178.101;
;122;-1106.38;
;103;-1005.443;
;103;-876.1893;
;137;-718.7602;
;207;-531.7051;
;273;-313.9012;
;284;-64.11668;
;222;223.3687;
;134;555.4349;
;98;933.4531;
;122;1352.893;
;145;1811.668;
;131;2314.649;
;98;2865.399;
;69;3459.377;
;41;4089.502;
;31;4755.038;
;69;5454.932;
;138;6179.854;
;192;6917.806;
;199;7661.095;
;154;8402.466;
;95;9130.854;
;74;9836.244;
;106;10509.93;
;144;11141.32;
;141;11719.61;
;118;12238.54;
;125;12693.02;
;175;13072.65;
;235;13364.03;
;268;13556.72;
;266;13642.9;
;231;13615.02;
;172;13465.65;
;120;13191.68;
;97;12794.39;
;108;12277.02;
;127;11645.04;
;122;10906.47;
;83;10066.69;
;39;9126.084;
;30;8086.709;
;52;6958.552;
;66;5758.001;
;67;4506.117;
;80;3226.175;
;99;1937.574;
;89;652.86;
;68;-621.1737;
;80;-1881.518;
;123;-3123.244;
;146;-4332.435;
;116;-5489.555;
;68;-6579.706;
;57;-7594.594;
;99;-8529.822;
;163;-9382.889;
;198;-10148.51;
;190;-10816.2;
;156;-11376.47;
;131;-11830.62;
;128;-12189.8;
;139;-12465.98;
;161;-12664.9;
;184;-12786.27;
;186;-12827.25;
;141;-12787.83;
;85;-12673.11;
;96;-12493.99;
;195;-12264.48;
;298;-11994.87;
;330;-11687.78;
;328;-11341.08;
;359;-10955.5;
;420;-10537.5;
;454;-10096.01;
;451;-9640.283;
;432;-9180.735;
;396;-8726.261;
;331;-8280.179;
;267;-7838.223;
;274;-7393.568;
;369;-6947.153;
;478;-6510.482;
;491;-6095.275;
;395;-5704.524;
;279;-5333.416;
;235;-4975.365;
;258;-4625.995;
;276;-4286.293;
;241;-3964.042;
;179;-3665.784;
;139;-3387.766;
;129;-3120.498;
;146;-2857.785;
;191;-2599.619;
;249;-2348.728;
;280;-2107.176;
;285;-1873.075;
;293;-1642.23;
;318;-1413.371;
;341;-1188.966;
;356;-968.0861;
;369;-744.1818;
;383;-512.3181;
;394;-273.1621;
;412;-27.88385;
;446;222.0577;
;500;469.5336;
;561;704.6329;
;610;922.8643;
;622;1127.001;
;576;1322.407;
;491;1513.324;
;430;1701.958;
;436;1885.288;
;491;2054.789;
;556;2204.033;
;609;2334.325;
;639;2450.227;
;626;2554.877;
;568;2649.8;
;494;2733.358;
;447;2797.975;
;435;2837.985;
;429;2859.059;
;390;2871.425;
;336;2878.5;
;305;2877.818;
;294;2864.764;
;268;2833.423;
;243;2785.027;
;239;2732.206;
;221;2688.545;
;149;2654.199;
;74;2618.639;
;62;2573.731;
;97;2520.507;
;97;2465.422;
;44;2414.528;
;-10;2370.442;
;-21;2332.739;
;13;2297.006;
;85;2255.717;
;180;2203.666;
;256;2143.609;
;268;2085.49;
;235;2038.375;
;213;2000.975;
;203;1963.561;
;163;1920.279;
;84;1874.163;
;17;1830.912;
;19;1791.011;
;103;1750.767;
;219;1707.058;
;294;1660.654;
;290;1614.243;
;232;1567.14;
;161;1516.094;
;100;1463.442;
;63;1418.562;
;60;1385.706;
;61;1355.422;
;37;1316.367;
;0;1272.354;
;-16;1238.739;
;-10;1221.868;
;5;1212.849;
;37;1200.955;
;71;1183.932;
;77;1164.208;
;39;1143.625;
;-16;1124.35;
;-57;1109.835;
;-66;1103.098;
;-54;1104.191;
;-39;1108.483;
;-42;1111.584;
;-67;1116.139;
;-90;1129.802;
;-86;1154.987;
;-75;1185.573;
;-102;1212.635;
;-146;1231.876;
;-145;1247.808;
;-92;1270.286;
;-51;1303.391;
;-34;1340.987;
;12;1376.803;
;102;1410.264;
;196;1441.801;
;278;1472.005;
;379;1506.07;
;509;1547.179;
;659;1586.861;
;830;1612.838;
;1016;1625.661;
;1185;1639.538;
;1317;1666.118;
;1457;1704.029;
;1659;1742.899;
;1913;1773.4;
;2183;1792.013;
;2454;1801.397;
;2738;1808.302;
;3011;1819.948;
;3246;1839.449;
;3447;1864.39;
;3619;1888.306;
;3762;1903.789;
;3896;1908.384;
;4052;1909.046;
;4208;1916.518;
;4309;1934.38;
;4330;1956.632;
;4259;1975.104;
;4089;1986.233;
;3838;1993.423;
;3553;2004.51;
;3299;2025.099;
;3109;2052.984;
;2944;2081.162;
;2727;2104.183;
;2427;2118.213;
;2067;2122.853;
;1677;2126.948;
;1300;2142.491;
;973;2167.823;
;672;2188.704;
;346;2197.785;
;-13;2201.65;
;-343;2209.565;
;-588;2225.562;
;-753;2246.724;
;-871;2263.3;
;-969;2266.438;
;-1069;2258.305;
;-1182;2248.978;
;-1298;2245.892;
;-1383;2250.772;
;-1413;2259.378;
;-1403;2263.693;
;-1387;2259.835;
;-1395;2252.891;
;-1425;2247.897;
;-1455;2242.314;
;-1474;2230.892;
;-1471;2212.732;
;-1423;2190.877;
;-1325;2169.932;
;-1216;2153.823;
;-1172;2143.115;
;-1215;2135.394;
;-1260;2125.098;
;-1212;2103.891;
;-1085;2065.521;
;-956;2012.643;
;-866;1955.29;
;-814;1904.057;
;-794;1864.406;
;-781;1832.258;
;-716;1795.637;
;-585;1745.348;
;-455;1680.936;
;-378;1606.367;
;-337;1527.489;
;-288;1452.694;
;-226;1384.728;
;-171;1314.55;
;-132;1233.009;
;-86;1143.885;
;-11;1058.74;
;69;983.7375;
;99;915.7548;
;65;846.513;
;19;768.6385;
;6;681.449;
;3;592.1948;
;-10;510.0654;
;14;439.5168;
;105;377.5593;
;212;314.9672;
;269;241.3167;
;266;154.1237;
;230;59.61964;
;170;-34.12932;
;111;-123.4031;
;115;-208.4206;
;192;-292.5343;
;268;-378.5585;
;278;-466.7088;
;227;-555.1011;
;163;-643.1626;
;133;-731.1102;
;163;-820.5363;
;226;-917.2801;
;268;-1027.396;
;273;-1148.335;
;254;-1270.193;
;220;-1384.067;
;193;-1487.635;
;210;-1586.725;
;246;-1693.072;
;236;-1814.145;
;170;-1947.059;
;119;-2083.529;
;131;-2218.332;
;172;-2348;
;187;-2470.344;
;175;-2585.999;
;166;-2697.796;
;159;-2806.617;
;137;-2912.413;
;132;-3013.994;
;189;-3111.037;
;293;-3208.917;
;366;-3313.51;
;346;-3419.096;
;261;-3509.707;
;204;-3576.337;
;223;-3623.962;
;279;-3662.42;
;328;-3697.939;
;357;-3733.194;
;374;-3765.003;
;381;-3785.804;
;384;-3789.477;
;393;-3777.248;
;414;-3756.583;
;461;-3736.272;
;526;-3720.305;
;556;-3704.719;
;503;-3680.84;
;407;-3644.169;
;380;-3599.156;
;452;-3553.927;
;518;-3513.091;
;484;-3475.679;
;404;-3437.05;
;384;-3392.011;
;431;-3338.145;
;480;-3278.792;
;502;-3222.396;
;527;-3179.45;
;566;-3152.217;
;583;-3127.781;
;545;-3088.215;
