Результат свертки 1 файлаМилованов Иван Андреевич_ЭКГ_02_fg11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;825;-3415.495;
-0.02122877;814;-3348.088;
-0.02578321;842;-3287.258;
-0.02969806;875;-3224.275;
-0.02920786;881;-3148.671;
-0.03152617;869;-3061.822;
-0.03581784;873;-2970.995;
-0.04093812;893;-2875.907;
-0.04635295;911;-2775.258;
-0.05216198;928;-2674.736;
-0.05685086;935;-2574.836;
-0.06011757;909;-2466.462;
-0.05858566;882;-2348.035;
-0.05842378;935;-2229.19;
-0.06065361;1067;-2113.989;
-0.05845338;1173;-1994.816;
-0.06100743;1190;-1865.479;
-0.0608493;1164;-1728.572;
-0.06255765;1157;-1587.89;
-0.06710602;1159;-1443.727;
-0.06686705;1163;-1299.197;
-0.05783848;1202;-1166.058;
-0.06311763;1302;-1054.637;
-0.0642321;1404;-959.4839;
-0.06654517;1418;-863.3206;
-0.06865116;1331;-755.7083;
-0.06403776;1228;-638.8257;
-0.06371848;1204;-519.5051;
-0.06076288;1267;-406.0981;
-0.05793952;1347;-309.5928;
-0.06680156;1391;-238.167;
-0.06466153;1402;-189.1396;
-0.05853221;1421;-151.4481;
-0.06118528;1470;-115.5146;
-0.06440077;1542;-81.40697;
-0.06171774;1594;-56.41537;
-0.05564747;1576;-45.36745;
-0.04932353;1490;-45.31013;
-0.05675675;1385;-49.63425;
-0.06284994;1296;-54.17358;
-0.06052688;1235;-56.69834;
-0.06928517;1232;-58.56542;
-0.07756215;1308;-67.70161;
-0.08440998;1419;-92.36512;
-0.08431454;1478;-128.9592;
-0.08448301;1470;-163.9419;
-0.08680407;1462;-185.791;
-0.1005147;1485;-190.8455;
-0.1047444;1490;-183.5857;
-0.09495111;1443;-175.0551;
-0.09996357;1384;-175.0603;
-0.1001145;1372;-182.4827;
-0.1077441;1395;-188.5682;
-0.09355988;1405;-188.8571;
-0.08491337;1411;-186.7061;
-0.08072823;1488;-184.9282;
-0.07853086;1661;-180.9566;
-0.08229263;1815;-170.796;
-0.09267239;1834;-154.7045;
-0.07502018;1751;-137.7991;
-0.0584675;1698;-124.3785;
-0.06284614;1741;-115.3851;
-0.04117477;1825;-109.1774;
-0.0323512;1854;-105.1965;
-0.05067954;1807;-103.3656;
-0.0410386;1752;-101.6502;
-0.01999021;1737;-96.77231;
0.009037151;1725;-88.88351;
0.00619929;1673;-80.72061;
0.04129954;1623;-74.75224;
0.04622333;1632;-75.6246;
0.05585063;1683;-90.60455;
0.07953997;1717;-121.716;
0.2038978;1708;-162.279;
0.2038978;1665;-204.2883;
0.2038978;1600;-242.7296;
0.2038978;1531;-274.2054;
0.2038978;1477;-297.4131;
0.2025881;1432;-315.2884;
0.2020685;1393;-331.4512;
0.2003324;1388;-348.5357;
0.1993152;1437;-371.3759;
0.1982981;1507;-405.7672;
0.1950663;1546;-452.2254;
0.1865432;1525;-504.8273;
0.1805785;1472;-557.3603;
0.1746138;1452;-605.2031;
0.1677951;1501;-642.6224;
0.1614217;1590;-666.1855;
0.1483242;1668;-682.3527;
0.1362953;1706;-705.624;
0.1227932;1698;-744.6854;
0.1087031;1669;-795.6775;
0.09363598;1662;-847.4006;
0.08067812;1691;-888.4485;
0.06837791;1736;-912.3968;
0.05200338;1783;-921.0339;
0.03944121;1821;-920.8228;
0.02851593;1821;-916.4536;
0.01389797;1755;-912.3774;
;1664;-913.5948;
;1623;-918.3564;
;1659;-918.3714;
;1739;-913.1021;
;1804;-912.6599;
;1800;-920.238;
;1728;-924.2294;
;1650;-913.305;
;1625;-889.6111;
;1640;-865.09;
;1636;-852.5262;
;1594;-857.7946;
;1556;-873.7739;
;1556;-887.5283;
;1582;-893.0076;
;1594;-892.5573;
;1575;-889.0945;
;1536;-887.3887;
;1511;-894.9618;
;1537;-914.5886;
;1608;-940.1465;
;1645;-965.3151;
;1597;-990.4458;
;1569;-1018.835;
;1706;-1051.422;
;1958;-1084.468;
;2084;-1111.829;
;1947;-1131.251;
;1673;-1146.713;
;1470;-1162.406;
;1414;-1176.489;
;1460;-1184.521;
