Результат свертки 1 файлаМилованов Иван Андреевич_ЭКГ_03_11_2016sdgs.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-494;-1128.605;
-0.02122877;-464;-1022.339;
-0.02578321;-440;-931.1863;
-0.02969806;-391;-857.6555;
-0.02920786;-318;-791.2567;
-0.03152617;-266;-717.0751;
-0.03581784;-253;-629.4805;
-0.04093812;-264;-533.6923;
-0.04635295;-319;-433.8513;
-0.05216198;-457;-327.6233;
-0.05685086;-619;-212.3771;
-0.06011757;-679;-95.16072;
-0.05858566;-596;7.961318;
-0.05842378;-438;86.44299;
-0.06065361;-293;145.8729;
-0.05845338;-214;198.8333;
-0.06100743;-213;251.9342;
-0.0608493;-268;307.2011;
-0.06255765;-346;365.874;
-0.06710602;-436;422.7148;
-0.06686705;-519;465.6668;
-0.05783848;-572;486.6282;
-0.06311763;-577;487.8187;
-0.0642321;-502;476.6733;
-0.06654517;-349;460.3;
-0.06865116;-195;443.9181;
-0.06403776;-124;430.8916;
-0.06371848;-137;421.9812;
-0.06076288;-188;417.0059;
-0.05793952;-262;416.3676;
-0.06680156;-353;417.5092;
-0.06466153;-415;412.3421;
-0.05853221;-405;393.5265;
-0.06118528;-339;363.7145;
-0.06440077;-290;331.8223;
-0.06171774;-317;301.7;
-0.05564747;-387;274.1734;
-0.04932353;-425;256.0499;
-0.05675675;-385;254.5658;
-0.06284994;-306;264.7448;
-0.06052688;-275;269.8277;
-0.06928517;-337;256.6423;
-0.07756215;-448;226.9178;
-0.08440998;-504;196.0584;
-0.08431454;-468;180.5346;
-0.08448301;-414;185.3864;
-0.08680407;-401;201.5567;
-0.1005147;-404;216.5642;
-0.1047444;-396;224.6143;
-0.09495111;-413;228.9072;
-0.09996357;-470;235.1301;
-0.1001145;-504;240.9908;
-0.1077441;-454;235.2607;
-0.09355988;-341;211.3398;
-0.08491337;-240;174.8955;
-0.08072823;-204;136.963;
-0.07853086;-239;105.8133;
-0.08229263;-311;85.74084;
-0.09267239;-384;74.54812;
-0.07502018;-431;63.27755;
-0.0584675;-453;43.89551;
-0.06284614;-468;15.1102;
-0.04117477;-463;-24.22665;
-0.0323512;-386;-76.11787;
-0.05067954;-249;-134.667;
-0.0410386;-159;-185.9018;
-0.01999021;-171;-220.1703;
0.009037151;-208;-237.8635;
0.00619929;-207;-245.9396;
0.04129954;-229;-252.1731;
0.04622333;-329;-263.7659;
0.05585063;-448;-284.6628;
0.07953997;-496;-311.2439;
0.2038978;-446;-331.7101;
0.2038978;-332;-333.1049;
0.2038978;-228;-312.1905;
0.2038978;-197;-274.292;
0.2038978;-247;-220.8773;
0.2025881;-327;-147.3505;
0.2020685;-391;-54.34335;
0.2003324;-413;45.83275;
0.1993152;-404;134.9431;
0.1982981;-385;198.8628;
0.1950663;-360;235.0382;
0.1865432;-317;255.9416;
0.1805785;-269;280.5525;
0.1746138;-249;318.0348;
0.1677951;-257;362.4781;
0.1614217;-294;404.3255;
0.1483242;-389;441.0779;
0.1362953;-527;472.4807;
0.1227932;-622;491.4397;
0.1087031;-596;488.3535;
0.09363598;-468;462.1266;
0.08067812;-321;418.0082;
0.06837791;-239;359.3262;
0.05200338;-262;290.0367;
0.03944121;-366;220.8323;
0.02851593;-486;160.9314;
0.01389797;-566;107.4314;
;-578;50.94856;
;-545;-11.89216;
;-511;-78.88634;
;-481;-147.3504;
;-439;-212.3488;
;-409;-264.8746;
;-426;-299.4346;
;-459;-317.2059;
;-473;-319.0304;
;-498;-301.2478;
;-543;-265.2638;
;-558;-224.4663;
;-504;-192.3276;
;-410;-167.7088;
;-339;-141.8153;
;-328;-112.7201;
;-383;-83.47211;
;-481;-52.27828;
;-589;-16.34187;
;-664;20.42281;
;-681;51.78819;
;-668;75.2561;
;-667;90.29082;
;-671;96.15714;
;-652;93.85606;
;-628;87.04794;
;-632;80.99287;
;-648;81.26955;
;-672;90.12196;
;-757;105.2498;
;-920;121.949;
;-1067;133.8839;
;-1102;134.3241;
;-1039;124.8212;
;-952;118.6116;
;-894;126.8269;
;-883;146.921;
;-927;174.3943;
;-1010;215.8015;
;-1080;278.1291;
;-1101;354.9193;
;-1112;433.9648;
;-1170;510.0582;
;-1260;582.9814;
;-1326;652.805;
;-1347;722.3804;
;-1332;799.3939;
;-1291;888.1952;
;-1258;987.6964;
;-1274;1096.287;
;-1307;1211.785;
;-1282;1324.85;
;-1195;1423.587;
;-1138;1508.052;
;-1167;1590.337;
;-1203;1678.051;
;-1165;1770.725;
;-1094;1872.392;
;-1084;1990.7;
;-1127;2123.176;
;-1142;2256.313;
;-1128;2377.947;
;-1127;2483.029;
;-1106;2572.193;
;-1003;2651.268;
;-870;2727.676;
;-810;2805.988;
;-846;2887.797;
;-944;2974.516;
;-1118;3065.21;
;-1366;3155.537;
;-1579;3237.882;
;-1633;3303.778;
;-1509;3350.475;
;-1293;3381.783;
;-1106;3401.48;
;-1040;3413.677;
;-1096;3428.284;
;-1206;3454.385;
;-1307;3488.113;
;-1383;3518.25;
;-1435;3538.425;
;-1449;3548.718;
;-1387;3551.554;
;-1244;3552.161;
;-1086;3555.311;
;-997;3562.702;
;-993;3575.643;
;-1032;3596.494;
;-1080;3626.148;
;-1117;3661.716;
;-1112;3696.136;
;-1050;3721.081;
;-956;3734.592;
;-870;3740.213;
;-821;3740.411;
;-829;3736.923;
;-893;3736.77;
;-980;3747.174;
;-1044;3764.095;
;-1077;3773.488;
;-1113;3762.302;
;-1149;3727.013;
;-1135;3673.671;
;-1063;3612.504;
;-998;3549.789;
;-974;3484.048;
;-954;3409.722;
;-945;3324.858;
;-1016;3235.267;
;-1165;3147.243;
;-1277;3057.456;
;-1244;2954.913;
;-1096;2834.066;
;-957;2699.434;
;-928;2559.024;
;-1007;2419.382;
;-1116;2288.769;
;-1178;2173.689;
;-1178;2069.34;
;-1148;1963.394;
;-1126;1847.75;
;-1119;1720.433;
;-1086;1579.868;
;-1005;1428.412;
;-936;1276.075;
;-941;1133.607;
;-1002;1003.579;
;-1057;881.9976;
;-1088;763.8237;
;-1109;646.1528;
;-1125;526.0474;
;-1127;400.2104;
;-1102;270.028;
;-1033;143.5021;
;-945;26.65849;
;-910;-82.52157;
;-960;-185.463;
;-1045;-277.9958;
;-1106;-358.4653;
;-1126;-434.3347;
;-1119;-514.3162;
;-1079;-601.6089;
;-1004;-694.74;
;-939;-787.9332;
;-946;-870.4967;
;-1033;-934.4857;
;-1130;-981.5557;
;-1198;-1017.801;
;-1278;-1045.78;
;-1394;-1066.98;
;-1492;-1087.346;
;-1494;-1113.532;
;-1381;-1144.857;
;-1202;-1174.827;
;-1030;-1200.69;
;-947;-1223.698;
;-993;-1240.139;
;-1121;-1242.506;
;-1238;-1231.145;
;-1296;-1214.623;
;-1316;-1200.127;
;-1298;-1189.934;
;-1193;-1183.963;
;-1009;-1178.65;
;-846;-1166.678;
;-762;-1143.78;
;-718;-1113.261;
;-688;-1080.983;
;-714;-1048.923;
;-800;-1016.49;
;-869;-985.9299;
;-868;-961.6504;
;-834;-944.2877;
;-813;-931.6504;
;-810;-923.8947;
;-832;-918.4617;
;-902;-903.2888;
;-1003;-865.2142;
;-1099;-806.01;
;-1195;-738.2229;
;-1319;-669.7186;
;-1430;-598.0406;
;-1436;-514.8494;
;-1338;-409.101;
;-1243;-270.1591;
;-1210;-91.7688;
;-1200;127.7588;
;-1189;390.4567;
;-1213;701.7156;
;-1268;1065.581;
;-1292;1479.804;
;-1254;1938.345;
;-1172;2439.856;
;-1078;2988.774;
;-990;3587.796;
;-916;4236.516;
;-864;4938.376;
;-850;5698.925;
;-893;6515.524;
;-969;7375.372;
;-1026;8264.773;
;-1035;9175.142;
;-993;10099.75;
;-914;11031.46;
;-851;11966.3;
;-868;12901.36;
;-952;13827.41;
;-1022;14728.06;
;-1067;15589.04;
;-1158;16400.05;
;-1296;17146.9;
;-1376;17811.34;
;-1339;18382.86;
;-1247;18858.97;
;-1173;19233.01;
;-1121;19493;
;-1069;19633.41;
;-1046;19656.15;
;-1070;19558.8;
;-1119;19329.58;
;-1161;18956.98;
;-1169;18436.52;
;-1103;17768.67;
;-956;16956.89;
;-808;16009.45;
;-735;14937.06;
;-716;13747.58;
;-714;12448.35;
;-765;11056.09;
;-884;9594.265;
;-987;8076.294;
;-983;6502.323;
;-872;4877.643;
;-718;3223.663;
;-584;1566.104;
;-511;-76.77086;
;-508;-1689.307;
;-558;-3255.893;
;-627;-4766.604;
;-691;-6213.881;
;-734;-7584.984;
;-741;-8863.974;
;-685;-10038.53;
;-564;-11099.87;
;-441;-12040.41;
;-357;-12854.48;
;-286;-13538.93;
;-230;-14092.29;
;-247;-14513.27;
;-337;-14805.11;
;-395;-14979.66;
;-364;-15053.1;
;-286;-15031.83;
;-216;-14909.72;
;-161;-14683.92;
;-116;-14364.75;
;-89;-13965.01;
;-90;-13490.37;
;-119;-12950.13;
;-165;-12366.41;
;-219;-11765.7;
;-254;-11161.77;
;-232;-10555.86;
;-157;-9945.362;
;-88;-9329.917;
;-42;-8713.063;
;12;-8106.111;
;62;-7524.319;
;39;-6977.239;
;-68;-6466.613;
;-162;-5995.368;
;-146;-5571.31;
;-16;-5198.331;
;146;-4870.757;
;256;-4579.119;
;291;-4315.87;
;286;-4073.43;
;286;-3846.568;
;299;-3638.845;
;298;-3459.373;
;263;-3309.426;
;223;-3177.172;
;233;-3048.845;
;303;-2918.686;
;382;-2786.083;
;426;-2646.858;
;435;-2492.246;
;420;-2315.679;
;357;-2116.394;
;243;-1896.785;
;141;-1663.895;
;106;-1427.519;
;136;-1188.799;
;210;-936.7497;
;314;-663.9617;
;398;-376.6186;
;404;-83.14211;
;330;217.4451;
;233;526.7687;
;169;838.2097;
;151;1140.603;
;155;1425.855;
;182;1690.838;
;242;1937.757;
;295;2170.551;
;287;2388.995;
;233;2588.061;
;194;2763.031;
;167;2914.138;
;113;3043.099;
;44;3146.802;
;23;3218.742;
;63;3257.916;
;115;3270.521;
;139;3261.571;
;129;3235.12;
;79;3200.317;
;-9;3166.355;
;-100;3127.628;
;-158;3065.936;
;-184;2970.955;
;-186;2851.643;
;-153;2727.897;
;-85;2614.242;
;-25;2514.384;
;-6;2428.125;
;3;2356.805;
;25;2299.231;
;16;2250.413;
;-56;2206.686;
;-138;2168.395;
;-176;2136.797;
;-170;2113.754;
;-141;2101.834;
;-103;2099.474;
;-82;2104.223;
;-112;2122.054;
;-181;2162.802;
;-235;2222.758;
;-251;2285.16;
;-260;2337.665;
;-278;2379.275;
;-267;2413.008;
;-208;2443.093;
;-144;2477.224;
;-100;2520.194;
;-51;2567.586;
;-11;2608.605;
;-46;2636.562;
;-158;2653.939;
;-233;2664.798;
;-198;2664.563;
;-96;2645.468;
;0;2609.019;
;59;2563.398;
;78;2514.056;
;51;2465.06;
;-16;2421.374;
;-94;2381.693;
;-166;2338.109;
;-238;2286.597;
;-301;2227.462;
;-325;2160.109;
;-304;2087.289;
;-278;2019.306;
;-271;1965.073;
;-255;1924.446;
;-216;1892.807;
;-204;1868.24;
;-251;1852.116;
;-304;1842.143;
;-281;1828.828;
;-164;1804;
;-2;1771.683;
;162;1742.925;
;325;1723.446;
;478;1715.629;
;608;1723.663;
;732;1746.91;
;887;1775.949;
;1079;1802.101;
;1302;1821.777;
;1575;1833.629;
;1903;1839.193;
;2227;1844.963;
;2499;1857.263;
;2752;1876.321;
;3026;1899.703;
;3284;1925.662;
;3478;1953.307;
;3643;1980.417;
;3863;2002.645;
;4156;2014.985;
;4473;2017.202;
;4770;2014.207;
;5035;2009.78;
;5258;2006.694;
;5424;2007.187;
;5541;2008.703;
;5612;2003.806;
;5592;1988.073;
;5463;1963.684;
;5309;1933.328;
;5226;1898.401;
;5182;1861.956;
;5072;1827.974;
;4870;1798.198;
;4624;1772.936;
;4338;1751.915;
;3993;1733.844;
;3622;1714.715;
;3262;1688.292;
;2912;1653.104;
;2550;1617.213;
;2173;1591.42;
;1788;1579.683;
;1396;1580.624;
;1003;1591.88;
;622;1608.116;
;267;1620.339;
;-70;1622.803;
;-371;1615.353;
;-587;1599.316;
;-704;1578.169;
;-800;1560.433;
;-959;1554.103;
;-1157;1558.628;
;-1323;1569.267;
;-1452;1585.783;
;-1587;1609.693;
;-1690;1633.983;
;-1669;1644.417;
;-1508;1634.13;
;-1317;1609.574;
;-1197;1579.613;
;-1160;1547.895;
;-1160;1520.986;
;-1150;1510.331;
;-1078;1518.14;
;-922;1529.922;
;-722;1528.545;
;-533;1507.973;
;-355;1473.159;
;-161;1434.203;
;30;1398.867;
;173;1367.423;
;265;1334.795;
;340;1299.779;
;400;1266.367;
;443;1237.26;
;502;1205.809;
;606;1161.006;
;726;1099.702;
;800;1031.406;
;817;965.7791;
;817;904.9805;
;825;851.2173;
;812;811.3729;
;745;784.56;
;646;758.7134;
;558;724.7564;
;498;684.4354;
;491;641.741;
;549;599.3579;
;617;562.3165;
;625;537.0954;
;596;526.8616;
;592;533.1978;
;598;558.1786;
;551;599.7269;
;474;647.4236;
;453;687.8095;
;526;714.6819;
;641;732.4709;
;730;747.8067;
;765;764.1017;
;761;784.8411;
;754;813.7033;
;761;846.9051;
;778;872.8799;
;787;882.6926;
;795;875.1843;
;836;852.0541;
;910;816.3235;
;960;773.5309;
;953;728.3047;
;931;679.7857;
;911;622.6162;
;851;555.1576;
;748;481.1166;
;699;401.7699;
;783;310.6934;
;938;204.5503;
;1039;90.41187;
;1029;-23.68415;
;956;-137.9283;
;877;-252.1402;
;793;-358.2728;
;704;-451.6071;
;656;-539.7462;
;682;-634.6621;
;747;-741.9497;
;798;-859.481;
;825;-977.9956;
;835;-1085.788;
;840;-1176.068;
;872;-1251.716;
;923;-1318.105;
;919;-1375.873;
;825;-1424.349;
;736;-1469.318;
;759;-1520.145;
;877;-1577.971;
;1003;-1634.354;
;1090;-1683.969;
;1136;-1728.546;
;1138;-1764.713;
;1110;-1779.842;
;1085;-1767.649;
;1099;-1737.417;
;1152;-1702.218;
;1211;-1666.123;
;1273;-1627.93;
;1365;-1589.513;
;1466;-1553.859;
;1515;-1518.697;
;1510;-1479.089;
;1496;-1432.689;
;1472;-1380.405;
;1416;-1325.166;
;1361;-1274.593;
;1357;-1238.324;
;1395;-1218.875;
;1450;-1207.174;
;1510;-1193.376;
;1543;-1175.343;
;1507;-1153.974;
;1411;-1127.81;
;1317;-1098.413;
;1267;-1074.16;
;1248;-1064.123;
;1228;-1070.487;
;1231;-1090.418;
;1309;-1118.908;
;1441;-1147.282;
;1539;-1164.661;
;1557;-1165.728;
;1525;-1153.163;
;1461;-1130.762;
;1370;-1097.95;
;1297;-1059.038;
;1290;-1030.002;
;1343;-1023.338;
;1433;-1030.018;
;1544;-1030.159;
;1640;-1014.768;
;1671;-985.8919;
;1624;-944.0962;
;1546;-891.075;
;1481;-836.2889;
;1441;-790.3557;
;1416;-757.7103;
;1412;-738.2081;
;1451;-728.1157;
;1534;-720.3525;
;1619;-709.3995;
;1660;-694.9493;
;1657;-677.3516;
;1623;-655.2475;
;1582;-628.9847;
;1572;-607.0084;
;1607;-599.4857;
;1668;-605.3336;
;1726;-611.8919;
;1775;-612.4936;
;1807;-613.6397;
;1815;-620.0841;
;1807;-624.4293;
;1794;-618.7691;
;1784;-605.3218;
;1777;-592.1716;
;1772;-587.0433;
;1784;-593.586;
;1832;-607.6626;
;1891;-617.8738;
;1907;-613.6247;
;1869;-591.3744;
;1811;-556.0369;
;1750;-516.1768;
;1689;-477.2615;
;1659;-440.1716;
;1695;-408.2254;
;1783;-387.2544;
;1885;-376.7188;
;1972;-369.0821;
;2019;-358.1358;
;1998;-339.2763;
;1917;-306.215;
;1837;-259.4847;
;1794;-211.1359;
;1764;-175.0757;
;1731;-157.2481;
;1749;-156.9521;
;1868;-168.4453;
;2029;-181.7512;
;2129;-189.4174;
;2158;-192.3641;
;2166;-195.6044;
;2125;-200.9997;
;1987;-207.9378;
;1825;-221.7879;
;1779;-254.7193;
;1874;-312.0175;
;2010;-382.5946;
;2091;-451.3057;
;2097;-513.8762;
;2067;-570.8354;
;2034;-615.6415;
;2012;-641.9988;
;1993;-655.955;
;1972;-671.6187;
;1953;-699.4959;
;1977;-741.1068;
;2064;-788.6604;
;2158;-828.2144;
;2184;-849.3986;
;2159;-852.972;
;2142;-845.7161;
;2123;-832.2446;
;2052;-815.3961;
;1971;-799.1512;
;1966;-785.8125;
;2044;-772.4199;
;2143;-755.3538;
;2221;-737.1927;
;2260;-724.8022;
;2248;-717.1035;
;2191;-703.5635;
;2109;-677.2296;
;2004;-646.989;
;1875;-626.2847;
;1770;-618.5477;
;1764;-617.3854;
;1869;-618.482;
;2001;-621.0414;
;2076;-624.8721;
;2100;-630.8331;
;2099;-642.5129;
;2052;-659.9531;
;1955;-677.7738;
;1879;-694.9063;
;1896;-718.7488;
;1990;-754.6743;
;2099;-797.5003;
;2189;-839.2578;
;2243;-877.6897;
;2250;-912.0499;
