–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡œÓÔÓ‚ Õ.¿._› √_07_11_2016sgsg.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2607;614.5784;
-0.02122877;2472;501.5567;
-0.02578321;2255;430.3109;
-0.02969806;2245;370.3291;
-0.02920786;2529;295.1245;
-0.03152617;2817;196.0817;
-0.03581784;2796;80.96002;
-0.04093812;2514;-30.68266;
-0.04635295;2319;-120.708;
-0.05216198;2478;-183.2422;
-0.05685086;2868;-227.825;
-0.06011757;3090;-276.7299;
-0.05858566;2956;-349.8385;
-0.05842378;2692;-439.232;
-0.06065361;2581;-510.2847;
-0.05845338;2626;-535.9601;
-0.06100743;2681;-525.5129;
-0.0608493;2724;-519.0142;
-0.06255765;2811;-553.5416;
-0.06710602;2903;-623.1573;
-0.06686705;2857;-680.8381;
-0.05783848;2612;-691.6538;
-0.06311763;2324;-671.564;
-0.0642321;2248;-657.4741;
-0.06654517;2422;-662.0766;
-0.06865116;2565;-673.5886;
-0.06403776;2411;-684.0413;
-0.06371848;2017;-696.7156;
-0.06076288;1706;-712.5856;
-0.05793952;1741;-720.461;
-0.06680156;2048;-709.9379;
-0.06466153;2270;-690.1554;
-0.05853221;2156;-685.098;
-0.06118528;1834;-704.311;
-0.06440077;1586;-727.21;
-0.06171774;1473;-720.377;
-0.05564747;1395;-672.7989;
-0.04932353;1359;-615.9171;
-0.05675675;1443;-597.5521;
-0.06284994;1582;-624.5521;
-0.06052688;1575;-649.2753;
-0.06928517;1347;-627.0457;
-0.07756215;1090;-564.5253;
-0.08440998;1082;-496.8629;
-0.08431454;1343;-443.8512;
-0.08448301;1561;-404.3023;
-0.08680407;1436;-371.5304;
-0.1005147;1023;-337.9053;
-0.1047444;687;-294.7806;
-0.09495111;723;-237.8995;
-0.09996357;1051;-174.8654;
-0.1001145;1292;-126.351;
-0.1077441;1203;-110.4481;
-0.09355988;946;-121.2561;
-0.08491337;814;-129.4075;
-0.08072823;836;-108.9201;
-0.07853086;860;-62.53662;
-0.08229263;856;-24.01754;
-0.09267239;920;-30.75526;
-0.07502018;1050;-81.35677;
-0.0584675;1096;-130.3235;
-0.06284614;948;-138.9174;
-0.04117477;721;-116.8189;
-0.0323512;660;-100.0401;
-0.05067954;832;-108.2902;
-0.0410386;1011;-138.6011;
-0.01999021;961;-180.2044;
0.009037151;711;-221.8657;
0.00619929;509;-250.844;
0.04129954;582;-254.6389;
0.04622333;883;-231.2442;
0.05585063;1075;-200.9078;
0.07953997;887;-192.5725;
0.2038978;465;-211.5592;
0.2038978;178;-229.5674;
0.2038978;169;-212.2738;
0.2038978;311;-155.1635;
0.2038978;491;-96.08131;
0.2025881;685;-83.31008;
0.2020685;828;-119.8297;
0.2003324;787;-152.8971;
0.1993152;529;-134.9728;
0.1982981;234;-77.75822;
0.1950663;175;-29.5903;
0.1865432;406;-19.72313;
0.1805785;684;-39.85029;
0.1746138;733;-67.61398;
0.1677951;546;-92.52631;
0.1614217;377;-116.0403;
0.1483242;483;-137.1995;
0.1362953;831;-155.8338;
0.1227932;1083;-187.9123;
0.1087031;983;-253.3651;
0.09363598;668;-342.2154;
0.08067812;445;-413.7992;
0.06837791;401;-438.3829;
0.05200338;424;-429.1895;
