–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡œÓÔÓ‚ Õ.¿._› √_sgs07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2284;45.67634;
-0.02122877;2025;77.96199;
-0.02578321;1685;147.5995;
-0.02969806;1506;219.1778;
-0.02920786;1626;271.0347;
-0.03152617;1856;307.4392;
-0.03581784;1882;341.532;
-0.04093812;1630;382.8729;
-0.04635295;1302;438.6848;
-0.05216198;1158;516.2068;
-0.05685086;1258;618.2501;
-0.06011757;1391;727.9106;
-0.05858566;1326;810.2947;
-0.05842378;1101;846.0657;
-0.06065361;932;856.4263;
-0.05845338;914;879.2556;
-0.06100743;958;929.303;
-0.0608493;986;987.1351;
-0.06255765;1024;1018.521;
-0.06710602;1098;1005.846;
-0.06686705;1101;970.3558;
-0.05783848;892;951.0125;
-0.06311763;537;958.2099;
-0.0642321;340;964.1451;
-0.06654517;482;937.4543;
-0.06865116;761;867.1678;
-0.06403776;851;759.1539;
-0.06371848;696;629.3431;
-0.06076288;503;503.4899;
-0.05793952;455;408.2996;
-0.06680156;555;351.4295;
-0.06466153;640;307.0466;
-0.05853221;563;233.8049;
-0.06118528;386;117.3771;
-0.06440077;307;-11.32097;
-0.06171774;378;-109.5102;
-0.05564747;465;-166.286;
-0.04932353;486;-211.2865;
-0.05675675;488;-283.7859;
-0.06284994;497;-390.8476;
-0.06052688;436;-494.2973;
-0.06928517;239;-548.9869;
-0.07756215;16;-549.3726;
-0.08440998;5;-527.9776;
-0.08431454;287;-518.1512;
-0.08448301;626;-531.0359;
-0.08680407;707;-555.0709;
-0.1005147;480;-565.9756;
-0.1047444;186;-542.2902;
-0.09495111;81;-479.5251;
-0.09996357;183;-391.6368;
-0.1001145;280;-305.9592;
