Результат свертки 1 файлаПопов Николай Нейроинтерфейс_ЭКукауйГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1797;1225.102;
-0.02122877;1835;1221.992;
-0.02578321;1827;1218.712;
-0.02969806;1790;1219.762;
-0.02920786;1765;1226.041;
-0.03152617;1774;1233.314;
-0.03581784;1808;1236.133;
-0.04093812;1856;1231.192;
-0.04635295;1896;1218.64;
-0.05216198;1915;1201.387;
-0.05685086;1919;1183.987;
-0.06011757;1924;1168.382;
-0.05858566;1937;1152.059;
-0.05842378;1956;1130.748;
-0.06065361;1973;1102.452;
-0.05845338;1977;1067.044;
-0.06100743;1967;1025.641;
-0.0608493;1962;979.8843;
-0.06255765;1970;930.2071;
-0.06710602;1993;874.9862;
-0.06686705;2027;812.4929;
-0.05783848;2054;743.0526;
-0.06311763;2056;668.9157;
-0.0642321;2032;593.1437;
-0.06654517;2007;518.2092;
-0.06865116;2002;444.0778;
-0.06403776;2018;368.3312;
-0.06371848;2042;289.3445;
-0.06076288;2065;207.3384;
-0.05793952;2075;125.0276;
-0.06680156;2071;48.51698;
-0.06466153;2060;-15.37575;
-0.05853221;2060;-67.13412;
-0.06118528;2073;-115.7167;
-0.06440077;2086;-168.3772;
-0.06171774;2087;-221.4507;
-0.05564747;2084;-266.5382;
-0.04932353;2089;-301.6102;
-0.05675675;2100;-331.5579;
-0.06284994;2115;-358.6572;
-0.06052688;2137;-378.7736;
-0.06928517;2153;-388.2455;
-0.07756215;2142;-389.4828;
-0.08440998;2109;-386.2489;
-0.08431454;2071;-376.8426;
-0.08448301;2026;-357.9063;
-0.08680407;1974;-332.1773;
-0.1005147;1942;-308.0195;
-0.1047444;1945;-291.0663;
-0.09495111;1942;-278.8514;
-0.09996357;1888;-265.1891;
-0.1001145;1806;-246.4024;
-0.1077441;1754;-224.0378;
-0.09355988;1751;-201.8106;
-0.08491337;1746;-182.9411;
-0.08072823;1686;-168.3407;
-0.07853086;1592;-157.9473;
-0.08229263;1526;-150.9783;
-0.09267239;1506;-146.6367;
-0.07502018;1486;-144.3587;
-0.0584675;1435;-145.173;
-0.06284614;1380;-151.5918;
-0.04117477;1347;-164.8189;
-0.0323512;1324;-181.239;
-0.05067954;1291;-195.0947;
-0.0410386;1253;-204.972;
-0.01999021;1227;-216.1232;
0.009037151;1217;-234.3859;
0.00619929;1212;-259.9056;
0.04129954;1197;-288.437;
0.04622333;1168;-316.2764;
0.05585063;1135;-341.2242;
0.07953997;1117;-362.1555;
0.2038978;1115;-379.7704;
0.2038978;1102;-396.4722;
0.2038978;1062;-414.8923;
0.2038978;1008;-434.8055;
0.2038978;965;-453.9441;
0.2025881;943;-470.1444;
0.2020685;943;-484.5721;
0.2003324;961;-500.2345;
0.1993152;970;-518.0887;
0.1982981;938;-535.3839;
0.1950663;878;-548.4904;
0.1865432;824;-555.5025;
0.1805785;792;-556.8625;
0.1746138;770;-555.8208;
0.1677951;753;-557.117;
0.1614217;739;-563.8688;
0.1483242;722;-573.9827;
0.1362953;697;-582.4598;
0.1227932;678;-586.5238;
0.1087031;672;-587.8688;
0.09363598;677;-589.7897;
0.08067812;670;-594.606;
0.06837791;637;-602.8872;
0.05200338;585;-613.3369;
0.03944121;543;-623.6493;
0.02851593;534;-632.8262;
0.01389797;557;-642.452;
;584;-655.3062;
;588;-672.7917;
;566;-693.8785;
;535;-715.9528;
;514;-737.3163;
;507;-758.3563;
;511;-779.9151;
;520;-803.069;
;536;-830.2875;
;547;-860.9623;
;543;-889.9763;
;525;-914.1707;
;509;-936.1314;
;502;-957.7332;
;488;-976.5652;
;454;-991.6199;
;416;-1007.2;
;403;-1025.22;
;424;-1039.307;
;464;-1043.085;
;503;-1038.581;
;519;-1033.015;
;508;-1028.051;
;475;-1016.545;
;421;-991.6682;
;366;-956.3693;
;351;-918.8272;
;389;-882.327;
;423;-842.5627;
;403;-794.767;
;364;-738.0253;
;374;-672.4321;
;431;-598.6703;
;470;-518.1511;
;458;-431.6919;
;430;-339.2978;
;421;-240.411;
;427;-133.7967;
;425;-17.75665;
;432;107.4495;
;472;239.6794;
;532;377.8328;
;564;524.4585;
;559;682.6979;
;550;852.1288;
;564;1028.664;
;596;1208.663;
;632;1390.417;
;662;1572.639;
;677;1753.746;
;680;1935.427;
;688;2121.54;
;713;2312.582;
;749;2503.131;
;776;2686.466;
;775;2860.017;
;752;3024.059;
;737;3178.801;
;747;3323.193;
;779;3457.286;
;817;3580.5;
;840;3691.462;
;835;3789.866;
;809;3879.096;
;785;3963.717;
;780;4043.76;
;790;4113.588;
;800;4167.017;
;807;4204.081;
;806;4229.946;
;802;4250.752;
;801;4269.288;
;811;4285.967;
;828;4299.021;
;832;4307.563;
;812;4312.931;
;781;4318.083;
;766;4323.933;
;780;4329.789;
;820;4333.925;
;867;4333.524;
;896;4324.637;
;890;4307.434;
;864;4285.568;
;845;4261.17;
;846;4229.483;
;860;4184.199;
;882;4121.691;
;904;4043.632;
;916;3952.984;
;919;3851.548;
;924;3739.235;
;938;3618.663;
;958;3492.375;
;975;3356.373;
;977;3201.713;
;959;3026.499;
;933;2838.51;
;921;2644.967;
;929;2443.949;
;949;2230.039;
;954;2002.82;
;918;1768.419;
;845;1532.038;
;788;1293.665;
;796;1050.192;
;846;801.246;
;866;547.0195;
;836;284.8344;
;804;12.04152;
;806;-267.3543;
;805;-544.9396;
;758;-816.1722;
;698;-1083.745;
;686;-1353.747;
;713;-1629.239;
;708;-1907.211;
;655;-2180.66;
;619;-2446.173;
;653;-2705.726;
;728;-2960.67;
;775;-3208.262;
;775;-3445.083;
;752;-3670.908;
;732;-3884.916;
;721;-4084.621;
;727;-4268.468;
;750;-4439.938;
;777;-4602.544;
;791;-4754.043;
;795;-4886.59;
;801;-4994.854;
;813;-5081.754;
;827;-5154.173;
;839;-5215.556;
;839;-5265.186;
;821;-5301.855;
;793;-5325.825;
;781;-5337.338;
;799;-5337.482;
;832;-5328.916;
;853;-5313.796;
;844;-5291.294;
;808;-5258.867;
;765;-5215.753;
;737;-5164.888;
;726;-5109.935;
;730;-5053.667;
;742;-4996.903;
;757;-4937.796;
;760;-4872.23;
;752;-4797.738;
;749;-4717.088;
;759;-4634.717;
;766;-4552.621;
;746;-4471.34;
;703;-4391.916;
;664;-4314.376;
;654;-4237.414;
;676;-4161.074;
;715;-4088.364;
;742;-4021.815;
;739;-3960.388;
;713;-3901.044;
;688;-3843.358;
;677;-3791.117;
;678;-3748.598;
;682;-3716.763;
;682;-3694.884;
;674;-3681.989;
;661;-3673.438;
;650;-3662.376;
;649;-3646.38;
;658;-3631.194;
;665;-3622.381;
;658;-3616.994;
;639;-3606.582;
;623;-3587.006;
;612;-3559.159;
;609;-3522.335;
;627;-3469.278;
;647;-3391.004;
;640;-3283.042;
;615;-3142.896;
;600;-2963.423;
;589;-2735.378;
;564;-2454.222;
;545;-2120.665;
;568;-1734.324;
;605;-1290.388;
;586;-780.3247;
;520;-196.3996;
;486;465.4142;
;519;1204.334;
;555;2017.171;
;522;2901.777;
;445;3857.972;
;410;4885.438;
;438;5981.869;
;471;7142.592;
;463;8360.535;
;439;9624.77;
;435;10923.65;
;439;12249.85;
;435;13596.92;
;429;14951.45;
;435;16292.23;
;454;17597.78;
;470;18851.88;
;477;20043.37;
;475;21161.81;
;472;22192.93;
;476;23118.28;
;491;23919.43;
;510;24581.17;
;516;25090.19;
;505;25437.9;
;495;25621.51;
;507;25640.05;
;548;25488.92;
;599;25164.22;
;636;24668.14;
;642;24008;
;627;23190.56;
;612;22222.59;
;616;21113.88;
;652;19876.62;
;713;18524.15;
;788;17073.99;
;856;15548.55;
;912;13971;
;959;12361.88;
;1015;10738.96;
;1083;9119.123;
;1147;7517.666;
;1189;5947.212;
;1210;4418.666;
;1239;2944.192;
;1297;1537.588;
;1384;210.9208;
;1470;-1027.687;
;1532;-2173.901;
;1562;-3224.973;
;1568;-4179.806;
;1559;-5037.854;
;1553;-5800.452;
;1553;-6472.041;
;1552;-7060.013;
;1539;-7573.36;
;1520;-8019.555;
;1500;-8401.818;
;1486;-8723.595;
;1490;-8993.94;
;1525;-9222.787;
;1562;-9414.898;
;1574;-9574.161;
;1566;-9710.185;
;1581;-9832.55;
;1631;-9942.214;
;1700;-10037.22;
;1762;-10122.21;
;1813;-10206.28;
;1855;-10292.91;
;1880;-10378.2;
;1867;-10457.82;
;1834;-10534.13;
;1843;-10613.17;
;1922;-10696.67;
;2011;-10779.71;
;2039;-10856.48;
;2013;-10924.94;
;1996;-10984.63;
;2005;-11033.74;
;1998;-11069.65;
;1945;-11090.57;
;1877;-11095.81;
;1832;-11085.05;
;1806;-11056.12;
;1766;-11003.99;
;1722;-10923.66;
;1712;-10814.46;
;1732;-10678.27;
;1728;-10515.81;
;1671;-10326.35;
;1595;-10109.52;
;1545;-9865.835;
;1534;-9595.76;
;1544;-9301.055;
;1549;-8984.829;
;1524;-8649.3;
;1476;-8294.343;
;1431;-7920.435;
;1400;-7530.038;
;1370;-7128.068;
;1324;-6720.388;
;1270;-6311.276;
;1211;-5902.132;
;1147;-5493.707;
;1078;-5088.177;
;1025;-4688.561;
;994;-4297.633;
;961;-3918.877;
;893;-3556.385;
;789;-3211.829;
;690;-2883.981;
;628;-2571.697;
;597;-2277.962;
;573;-2008.095;
;541;-1763.948;
;507;-1541.703;
;475;-1335.805;
;451;-1143.915;
;438;-966.6244;
;428;-805.2159;
;412;-660.0651;
;382;-530.8849;
;348;-416.7603;
;325;-315.3702;
;313;-223.353;
;313;-139.0104;
;322;-63.19254;
;325;2.500715;
;303;58.43551;
;258;108.1419;
;222;156.6232;
;210;207.1528;
;214;257.8676;
;223;303.0882;
;231;339.6481;
;229;370.2475;
;212;399.6497;
;189;430.424;
;179;463.8213;
;182;500.5262;
;182;538.0135;
;166;570.4969;
;143;596.3102;
;133;621.4932;
;141;652.6193;
;159;689.1245;
;184;725.4399;
;208;758.7339;
;197;793.2422;
;140;834.3698;
;75;881.5545;
;60;930.9554;
;92;982.8442;
;112;1039.361;
;92;1098.051;
;73;1154.991;
;87;1211.279;
;102;1270.446;
;68;1332.717;
;0;1396.671;
;-43;1461.014;
;-58;1524.532;
;-108;1587.812;
;-208;1653.428;
;-297;1721.546;
;-323;1788.767;
;-307;1852.311;
;-301;1911.944;
;-332;1968.795;
;-387;2024.956;
;-450;2082.614;
;-505;2142.491;
;-527;2202.531;
;-511;2259.037;
;-480;2308.5;
;-455;2351.823;
;-429;2394.471;
;-384;2440.319;
;-316;2487.864;
;-224;2534.17;
;-115;2579.353;
;-1;2625.209;
;122;2672.281;
;274;2719.613;
;478;2766.161;
;736;2811.677;
;1033;2855.913;
;1338;2899.138;
;1630;2942.272;
;1929;2986.903;
;2272;3034.188;
;2667;3083.59;
;3090;3133.168;
;3531;3180.219;
;3976;3222.749;
;4402;3260.577;
;4791;3296.395;
;5161;3333.843;
;5532;3375.076;
;5896;3418.294;
;6233;3460.177;
;6539;3497.729;
;6813;3529.49;
;7044;3555.986;
;7222;3578.977;
;7346;3599.499;
;7401;3616.75;
;7369;3629.866;
;7250;3638.969;
;7059;3645.555;
;6819;3651.814;
;6539;3659.129;
;6230;3666.057;
;5909;3668.803;
;5589;3663.727;
;5258;3650.075;
;4895;3632.477;
;4502;3617.77;
;4099;3608.168;
;3712;3598.509;
;3346;3582.656;
;3000;3559.618;
;2674;3533.185;
;2383;3507.179;
;2142;3482.385;
;1951;3456.667;
;1809;3429.028;
;1703;3400.091;
;1606;3369.622;
;1516;3336.885;
;1456;3305.457;
;1420;3280.715;
;1378;3260.942;
;1338;3236.63;
;1339;3201.6;
;1372;3159.108;
;1373;3116.639;
;1325;3079.048;
;1286;3046.264;
;1297;3014.718;
;1312;2981.32;
;1269;2946.144;
;1183;2910.101;
;1123;2872.354;
;1114;2832.609;
;1109;2791.87;
;1063;2749.078;
;994;2701.043;
;941;2647.183;
;902;2591.146;
;853;2536.926;
;793;2484.116;
;747;2428.211;
;729;2364.677;
;730;2292.52;
;730;2213.929;
;713;2131.757;
;677;2047.41;
;644;1960.787;
;632;1870.552;
;641;1774.587;
;655;1670.469;
;655;1557.366;
;642;1436.931;
;631;1311.16;
;640;1179.917;
;661;1041.922;
;667;897.1161;
;650;746.2721;
;637;589.8386;
;640;428.4053;
;644;262.9173;
;642;92.87843;
;647;-84.66289;
;663;-272.4858;
;673;-469.8444;
;663;-671.3427;
;645;-871.496;
;640;-1069.102;
;651;-1266.749;
;667;-1466.633;
;674;-1669.713;
;666;-1875.711;
;646;-2083.069;
;637;-2289.11;
;657;-2492.758;
;695;-2695.455;
;721;-2898.701;
;716;-3101.628;
;694;-3300.582;
;674;-3490.839;
;664;-3670.461;
;665;-3842.4;
;680;-4010.975;
;710;-4177.877;
;739;-4341.471;
;749;-4498.102;
;745;-4644.291;
;746;-4779.498;
;767;-4904.338;
;799;-5017.759;
;817;-5119.508;
;807;-5214.358;
;780;-5306.388;
;768;-5391.228;
;791;-5461.621;
;833;-5518.966;
;862;-5571.169;
;867;-5620.535;
;857;-5659.542;
;833;-5680;
;801;-5683.087;
;792;-5677.816;
;828;-5671.339;
;875;-5663.015;
;880;-5648.919;
;845;-5627.358;
;819;-5598.104;
;827;-5558.666;
;845;-5506.37;
;835;-5443.767;
;807;-5378.345;
;802;-5313.956;
;819;-5245.629;
;815;-5166.016;
;790;-5076.581;
;795;-4986.035;
;841;-4897.797;
;883;-4804.878;
;893;-4700.061;
;892;-4585.187;
;898;-4466.422;
;909;-4344.11;
;921;-4214.716;
;932;-4079.898;
;940;-3946.499;
;949;-3817.29;
;969;-3687.616;
;1006;-3551.645;
;1055;-3409.17;
;1095;-3265.112;
;1102;-3124.205;
;1085;-2986.574;
;1072;-2848.829;
;1087;-2710.05;
;1128;-2572.037;
;1181;-2436.158;
;1227;-2302.193;
;1251;-2170.916;
;1255;-2043.432;
;1249;-1919.266;
;1246;-1796.42;
;1251;-1674.523;
;1265;-1557.201;
;1287;-1448.832;
;1314;-1349.068;
;1344;-1251.604;
;1370;-1151.352;
;1390;-1049.476;
;1402;-950.008;
;1413;-854.1239;
;1427;-760.9445;
;1437;-669.965;
;1441;-582.0285;
;1448;-497.3303;
;1478;-415.6863;
;1529;-336.9832;
;1580;-261.1879;
;1606;-187.5126;
;1604;-114.3319;
;1591;-40.14712;
;1591;34.33199;
;1612;105.2735;
;1653;168.2759;
;1704;222.1077;
;1747;269.2353;
;1774;313.93;
;1792;359.1379;
;1814;404.8551;
;1840;449.0561;
;1865;490.0606;
;1884;526.1218;
;1891;555.2519;
;1886;576.9028;
;1883;593.5999;
;1903;607.5262;
;1955;618.2849;
;2018;624.2982;
;2048;626.2204;
;2029;626.882;
;1996;629.1924;
;1997;632.6828;
;2037;633.4813;
;2084;628.1605;
;2112;615.9889;
;2125;599.4901;
;2136;583.1614;
;2149;571.5144;
;2151;565.4424;
;2152;561.9095;
;2176;557.2396;
;2218;550.3453;
;2230;541.7245;
;2194;532.1278;
;2168;521.9197;
;2209;510.2936;
;2291;497.7137;
;2347;486.2095;
;2355;478.2426;
