Результат свертки 1 файлаПопов Николай Нейроинтерфейсsdgs_ЭКГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1648;364.9652;
-0.02122877;1499;399.6098;
-0.02578321;1358;448.3035;
-0.02969806;1320;515.1978;
-0.02920786;1399;575.3303;
-0.03152617;1539;607.4894;
-0.03581784;1696;612.9004;
-0.04093812;1830;607.6785;
-0.04635295;1858;612.8427;
-0.05216198;1720;644.7516;
-0.05685086;1542;699.4033;
-0.06011757;1538;753.843;
-0.05858566;1701;787.924;
-0.05842378;1792;798.1667;
-0.06065361;1707;790.5718;
-0.05845338;1627;771.4655;
-0.06100743;1721;750.1446;
-0.0608493;1924;742.2195;
-0.06255765;2081;754.8662;
-0.06710602;2125;772.2014;
-0.06686705;2055;771.1589;
-0.05783848;1908;755.5273;
-0.06311763;1775;751.0583;
-0.0642321;1745;764.7946;
-0.06654517;1836;774.433;
-0.06865116;2001;759.8826;
-0.06403776;2187;722.366;
-0.06371848;2333;676.6862;
-0.06076288;2348;643.4233;
-0.05793952;2182;641.1053;
-0.06680156;1968;669.5154;
-0.06466153;1929;705.5652;
-0.05853221;2071;725.3026;
-0.06118528;2154;722.6461;
-0.06440077;2053;703.8999;
-0.06171774;1944;676.4808;
-0.05564747;2009;650.2642;
-0.04932353;2192;642.2965;
-0.05675675;2328;660.4896;
-0.06284994;2334;686.5836;
-0.06052688;2215;693.8491;
-0.06928517;2021;685.0368;
-0.07756215;1848;686.7709;
-0.08440998;1790;707.6732;
-0.08431454;1861;725.6226;
-0.08448301;2003;717.3837;
-0.08680407;2156;681.3501;
-0.1005147;2273;632.716;
-0.1047444;2276;594.4685;
-0.09495111;2112;584.8444;
-0.09996357;1908;601.4713;
-0.1001145;1884;622.2927;
-0.1077441;2043;625.3231;
-0.09355988;2138;604.4623;
-0.08491337;2047;564.2549;
-0.08072823;1941;511.8606;
-0.07853086;1995;458.8186;
-0.08229263;2166;422.8419;
-0.09267239;2317;411.674;
-0.07502018;2368;406.976;
-0.0584675;2297;382.6208;
-0.06284614;2135;342.7616;
-0.04117477;1984;316.1261;
-0.0323512;1939;312.7101;
-0.05067954;2012;309.4055;
-0.0410386;2147;282.3636;
-0.01999021;2288;229.8997;
0.009037151;2394;167.1634;
0.00619929;2392;116.6066;
0.04129954;2229;97.58292;
0.04622333;2009;109.815;
0.05585063;1949;130.5747;
0.07953997;2069;135.8926;
0.2038978;2130;118.7857;
0.2038978;2008;84.97285;
0.2038978;1874;41.67667;
0.2038978;1909;-0.7057511;
0.2038978;2071;-25.51315;
0.2025881;2204;-25.32731;
0.2020685;2223;-17.91563;
0.2003324;2120;-27.80245;
0.1993152;1932;-50.1716;
0.1982981;1755;-57.69085;
0.1950663;1686;-42.7626;
0.1865432;1740;-28.70634;
0.1805785;1860;-38.69556;
0.1746138;1998;-74.10094;
0.1677951;2110;-119.8564;
0.1614217;2108;-152.7435;
0.1483242;1934;-153.3315;
0.1362953;1709;-123.9558;
0.1227932;1653;-89.58044;
0.1087031;1776;-74.17752;
0.09363598;1833;-83.26537;
0.08067812;1695;-110.1409;
0.06837791;1541;-146.9945;
0.05200338;1562;-184.6957;
0.03944121;1708;-208.709;
0.02851593;1816;-211.5585;
0.01389797;1800;-209.1667;
;1662;-224.6033;
;1457;-254.2943;
;1279;-272.4345;
;1209;-272.3996;
;1251;-278.2128;
;1346;-313.7687;
;1451;-380.9481;
;1542;-464.6154;
;1542;-541.3944;
;1371;-591.3978;
;1130;-615.4579;
;1055;-636.1661;
;1177;-676.7465;
;1252;-743.6759;
;1132;-830.2957;
;989;-928.7007;
;1019;-1028.861;
;1174;-1113.735;
;1295;-1172.364;
;1306;-1220.694;
;1205;-1284.018;
;1024;-1358.278;
;845;-1413.322;
;766;-1438.104;
;818;-1454.753;
;954;-1486.148;
;1110;-1533.215;
;1238;-1580.162;
;1256;-1603.144;
;1108;-1580.649;
;900;-1513.208;
;850;-1424.111;
;985;-1336.67;
;1073;-1256.505;
;970;-1178.4;
;837;-1097.405;
;878;-1004.933;
;1059;-884.4737;
;1215;-726.4045;
;1245;-547.3293;
;1150;-373.839;
;975;-205.6366;
;801;-16.20065;
;727;203.7944;
;791;430.2799;
;943;636.5483;
;1116;818.0543;
;1251;988.2592;
;1271;1168.288;
;1117;1377.451;
;895;1615.901;
;834;1861.226;
;974;2088.575;
;1079;2290.56;
;997;2472.926;
;879;2642.499;
;927;2808.776;
;1111;2988.047;
;1268;3189.135;
;1309;3395.303;
;1235;3581.404;
;1081;3749.867;
;928;3928.595;
;862;4127.646;
;912;4324.628;
;1036;4494.712;
;1184;4635.262;
;1321;4761.141;
;1359;4894.166;
;1224;5053.194;
;1010;5237.692;
;939;5424.723;
;1057;5588.874;
;1138;5720.816;
;1040;5822.825;
;921;5898.635;
;976;5954.755;
;1165;6006.695;
;1323;6065.238;
;1361;6117.245;
;1283;6137.266;
;1130;6124.484;
;986;6103.763;
;935;6085.122;
;994;6048.035;
;1121;5969.941;
;1273;5848.145;
;1408;5694.441;
;1446;5529.702;
;1316;5375.278;
;1114;5234.642;
;1054;5087.047;
;1191;4909.412;
;1306;4694.901;
;1235;4449.803;
;1117;4183.13;
;1148;3906.987;
;1308;3638.531;
;1447;3387.596;
;1482;3139.645;
;1406;2868.286;
;1243;2572.541;
;1070;2279.11;
;991;2001.313;
;1041;1719.133;
;1170;1407.828;
;1319;1063.297;
;1446;699.0077;
;1478;337.9129;
;1335;2.417283;
;1111;-305.4627;
;1037;-607.8715;
;1176;-929.1144;
;1300;-1275.959;
;1234;-1642.506;
;1111;-2021.453;
;1140;-2403.1;
;1319;-2770.377;
;1487;-3110.127;
;1539;-3433.219;
;1465;-3764.764;
;1312;-4106.894;
;1163;-4433.909;
;1093;-4733.312;
;1137;-5023.979;
;1265;-5327.722;
;1432;-5644.584;
;1577;-5959.047;
;1604;-6248.146;
;1452;-6490.818;
;1225;-6684.496;
;1153;-6850.178;
;1291;-7011.029;
;1404;-7174.843;
;1318;-7337.548;
;1166;-7493.85;
;1171;-7634.588;
;1329;-7740.714;
;1485;-7797.819;
;1536;-7818.688;
;1463;-7832.283;
;1300;-7843.09;
;1128;-7826.87;
;1047;-7771.43;
;1089;-7697.259;
;1210;-7629.248;
;1360;-7572.102;
;1501;-7512.806;
;1547;-7430.128;
;1412;-7304.724;
;1188;-7137.202;
;1109;-6951.148;
;1238;-6772.824;
;1344;-6612.225;
;1256;-6466.927;
;1118;-6331.458;
;1141;-6197.66;
;1313;-6049.715;
;1471;-5877.717;
;1516;-5696.549;
;1432;-5533.833;
;1258;-5393.043;
;1089;-5250.712;
;1023;-5095.673;
;1085;-4947.523;
;1221;-4830.841;
;1374;-4751.209;
;1500;-4698.012;
;1530;-4650.177;
;1395;-4586.273;
;1174;-4501.39;
;1089;-4415.377;
;1200;-4352.719;
;1296;-4322.598;
;1207;-4318.478;
;1068;-4331.327;
;1090;-4349.204;
;1266;-4353.566;
;1440;-4329.713;
;1501;-4287.549;
;1431;-4249.994;
;1267;-4216.417;
;1094;-4156.752;
;1008;-4052.603;
;1046;-3917.503;
;1174;-3771.584;
;1331;-3615.245;
;1470;-3431.043;
;1508;-3191.744;
;1366;-2870.476;
;1126;-2460.219;
;1030;-1978.858;
;1148;-1448.038;
;1250;-871.9202;
;1151;-241.5122;
;985;452.1656;
;977;1215.894;
;1121;2061.678;
;1255;2997.274;
;1275;4007.621;
;1168;5062.828;
;967;6155.32;
;768;7305.178;
;667;8519.255;
;689;9769.142;
;788;11020.28;
;921;12258.58;
;1056;13485.35;
;1102;14705.17;
;968;15920.89;
;732;17118.48;
;636;18261.16;
;761;19307.88;
;886;20236.89;
;814;21041.16;
;670;21714.63;
;689;22251.39;
;883;22654.42;
;1089;22924.94;
;1191;23043.16;
;1172;22977.49;
;1061;22722.85;
;937;22307.27;
;896;21751.61;
;979;21043.59;
;1145;20161.27;
;1339;19103.27;
;1523;17890.72;
;1619;16558.88;
;1543;15146.92;
;1369;13679.83;
;1325;12159.56;
;1487;10581.19;
;1643;8953.055;
;1605;7298.378;
;1498;5644.608;
