–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡“Ûı‡˜Â‚ ¿Ì‰ÂÈ_› √ÛÍˆÛ_28_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;362;-5.630089;
-0.02122877;387;54.13762;
-0.02578321;420;107.5625;
-0.02969806;464;157.4624;
-0.02920786;527;206.7721;
-0.03152617;593;256.1729;
-0.03581784;637;305.6448;
-0.04093812;651;355.4996;
-0.04635295;654;405.1511;
-0.05216198;659;452.7701;
-0.05685086;669;498.2188;
-0.06011757;689;540.7808;
-0.05858566;721;578.1097;
-0.05842378;765;608.6591;
-0.06065361;812;635.1124;
-0.05845338;857;660.3906;
-0.06100743;891;685.9769;
-0.0608493;916;711.1523;
-0.06255765;932;735.5199;
-0.06710602;941;758.6343;
-0.06686705;950;780.5209;
-0.05783848;963;800.4791;
-0.06311763;987;816.9639;
-0.0642321;1025;829.2304;
-0.06654517;1068;839.4578;
-0.06865116;1098;850.0182;
-0.06403776;1109;860.6802;
-0.06371848;1110;870.0229;
-0.06076288;1114;877.3574;
-0.05793952;1128;883.0616;
-0.06680156;1147;887.1254;
-0.06466153;1169;889.228;
-0.05853221;1195;889.1318;
-0.06118528;1223;886.6395;
-0.06440077;1255;882.8002;
-0.06171774;1289;879.3752;
-0.05564747;1316;877.4134;
-0.04932353;1331;876.7806;
-0.05675675;1332;877.0054;
-0.06284994;1328;877.1636;
-0.06052688;1329;875.0981;
-0.06928517;1341;868.2333;
-0.07756215;1356;855.6829;
-0.08440998;1372;840.0166;
-0.08431454;1391;824.7126;
-0.08448301;1410;811.8456;
-0.08680407;1423;800.7881;
-0.1005147;1428;790.147;
-0.1047444;1421;779.3998;
-0.09495111;1406;768.4304;
-0.09996357;1390;756.7928;
-0.1001145;1379;744.2529;
-0.1077441;1375;730.1194;
-0.09355988;1382;714.0243;
-0.08491337;1399;696.8515;
-0.08072823;1414;680.0396;
-0.07853086;1415;664.5918;
-0.08229263;1399;650.7554;
-0.09267239;1374;638.2281;
-0.07502018;1357;626.9877;
-0.0584675;1352;617.1547;
-0.06284614;1348;607.4614;
-0.04117477;1341;594.854;
-0.0323512;1346;577.7316;
-0.05067954;1361;558.1119;
-0.0410386;1365;540.2485;
-0.01999021;1341;527.1779;
0.009037151;1306;519.6283;
0.00619929;1276;515.3488;
0.04129954;1249;510.5527;
0.04622333;1220;502.3931;
0.05585063;1197;490.527;
0.07953997;1191;475.7437;
0.2038978;1196;459.3921;
0.2038978;1200;443.4509;
0.2038978;1194;428.7241;
0.2038978;1174;415.0758;
0.2038978;1140;402.5576;
0.2025881;1089;392.4043;
0.2020685;1029;384.4221;
0.2003324;979;376.389;
0.1993152;948;366.088;
0.1982981;929;352.79;
0.1950663;912;336.9369;
0.1865432;898;319.7343;
0.1805785;881;302.6918;
0.1746138;847;285.9913;
0.1677951;796;269.1098;
0.1614217;750;252.3382;
0.1483242;724;236.3065;
0.1362953;704;220.3504;
0.1227932;676;202.9277;
0.1087031;643;183.5348;
0.09363598;618;162.8021;
0.08067812;607;141.6442;
0.06837791;605;120.0504;
0.05200338;601;97.966;
0.03944121;577;76.16685;
0.02851593;531;55.94139;
0.01389797;480;37.31973;
;449;19.64701;
;444;2.37495;
;445;-15.48607;
;438;-34.22371;
;423;-52.23351;
;399;-66.87065;
;362;-76.90857;
;325;-83.12311;
;302;-87.82298;
;288;-92.28011;
;267;-96.22408;
;236;-98.47772;
;211;-98.45604;
;204;-95.67828;
;204;-89.68436;
;194;-80.6126;
;175;-68.94012;
;150;-54.03604;
;115;-35.51284;
;75;-14.51518;
;47;7.520997;
;36;30.4756;
;29;54.87115;
;17;80.75275;
;8;107.6463;
;12;136.8301;
