Результат свертки 1 файлаЦулая Александр Миоинтерфейс_ЭКГ_08_sdfgs11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1999;-7064.677;
-0.02122877;2112;-6968.276;
-0.02578321;1923;-6809.709;
-0.02969806;1456;-6593.122;
-0.02920786;1016;-6352.727;
-0.03152617;935;-6135.807;
-0.03581784;1127;-5969.006;
-0.04093812;1236;-5846.215;
-0.04635295;1213;-5747.321;
-0.05216198;1338;-5655.238;
-0.05685086;1682;-5548.166;
-0.06011757;1970;-5395.134;
-0.05858566;1975;-5186.185;
-0.05842378;1722;-4957.828;
-0.06065361;1366;-4754.784;
-0.05845338;1071;-4579.602;
-0.06100743;975;-4413.385;
-0.0608493;1126;-4266.145;
-0.06255765;1456;-4163.818;
-0.06710602;1854;-4105.086;
-0.06686705;2230;-4060.876;
-0.05783848;2460;-3996.622;
-0.06311763;2382;-3883.365;
-0.0642321;1992;-3717.979;
-0.06654517;1597;-3539.603;
-0.06865116;1518;-3403.892;
-0.06403776;1677;-3337.707;
-0.06371848;1768;-3330.89;
-0.06076288;1771;-3360.828;
-0.05793952;1932;-3408.498;
-0.06680156;2285;-3449.154;
-0.06466153;2572;-3449.806;
-0.05853221;2588;-3395.874;
-0.06118528;2335;-3315.504;
-0.06440077;1933;-3246.327;
-0.06171774;1568;-3188.784;
-0.05564747;1424;-3125.976;
-0.04932353;1567;-3072.751;
-0.05675675;1897;-3060.548;
-0.06284994;2248;-3086.158;
-0.06052688;2513;-3109.641;
-0.06928517;2629;-3089.647;
-0.07756215;2502;-3001.893;
-0.08440998;2104;-2846.583;
-0.08431454;1687;-2656.436;
-0.08448301;1581;-2480.441;
-0.08680407;1752;-2349.434;
-0.1005147;1874;-2262.653;
-0.1047444;1867;-2204.209;
-0.09495111;1979;-2155.019;
-0.09996357;2288;-2086.788;
-0.1001145;2541;-1965.819;
-0.1077441;2520;-1786.7;
-0.09355988;2246;-1589.463;
-0.08491337;1878;-1415.341;
-0.08072823;1571;-1257.769;
-0.07853086;1445;-1092.349;
-0.08229263;1561;-934.353;
-0.09267239;1886;-823.3601;
-0.07502018;2293;-764.0154;
-0.0584675;2638;-720.4534;
-0.06284614;2803;-652.5794;
-0.04117477;2670;-535.4438;
-0.0323512;2240;-365.6481;
-0.05067954;1810;-170.1089;
-0.0410386;1719;4.853091;
-0.01999021;1897;125.0825;
0.009037151;2005;187.3683;
0.00619929;2011;209.6064;
0.04129954;2183;214.8238;
0.04622333;2556;230.213;
0.05585063;2854;286.2858;
0.07953997;2891;391.4076;
0.2038978;2702;512.851;
0.2038978;2394;610.543;
0.2038978;2088;682.9681;
0.2038978;1932;747.2343;
0.2038978;2020;792.7823;
0.2025881;2316;793.2723;
0.2020685;2688;750.5632;
0.2003324;2994;694.8278;
0.1993152;3127;656.9047;
0.1982981;2990;659.4418;
0.1950663;2609;711.9156;
0.1865432;2270;794.967;
0.1805785;2286;864.7524;
0.1746138;2562;885.6646;
0.1677951;2733;852.8171;
0.1614217;2734;782.5276;
0.1483242;2844;694.6912;
0.1362953;3162;615.4197;
0.1227932;3457;576.9633;
0.1087031;3514;589.3894;
0.09363598;3337;618.9838;
0.08067812;3042;627.269;
0.06837791;2778;618.6658;
0.05200338;2695;617.2844;
0.03944121;2868;613.9271;
0.02851593;3238;577.3716;
0.01389797;3660;501.7923;
;4007;412.674;
;4187;344.1811;
;4086;323.3099;
;3683;355.8236;
;3241;414.4504;
;3113;456.499;
;3273;453.2058;
;3403;400.5612;
;3432;311.3272;
;3599;208.0804;
;3960;120.6491;
;4249;80.40622;
;4247;96.70138;
;3979;137.7087;
;3582;163.0991;
;3213;170.209;
;3035;178.6926;
;3130;180.4414;
;3432;148.381;
;3810;82.08037;
;4163;12.68417;
;4376;-24.47419;
;4269;-3.862339;
;3808;78.92808;
;3311;194.6811;
;3174;296.4068;
;3359;353.8166;
;3488;365.6259;
;3449;348.0246;
;3512;324.0069;
;3810;324.7207;
;4101;384.5707;
;4102;512.4211;
;3789;672.019;
;3316;818.9133;
;2870;952.1477;
;2605;1092.688;
;2606;1228.258;
;2839;1324.482;
;3171;1380.61;
;3452;1432.993;
;3554;1518.878;
;3358;1659.855;
;2872;1854.891;
;2373;2072.093;
;2185;2264.817;
;2263;2405.142;
;2284;2493.437;
;2184;2543.154;
;2227;2570.894;
;2509;2603.318;
;2774;2675.521;
;2772;2797.459;
;2498;2932.705;
;2082;3036.755;
;1677;3109.947;
;1432;3176.742;
;1440;3230.58;
;1659;3242.458;
;1945;3208.395;
;2144;3156.731;
;2165;3123.88;
;1957;3141.766;
;1564;3221.974;
;1215;3338.316;
;1148;3439.442;
;1274;3486.681;
;1300;3474.885;
;1207;3424.259;
;1269;3362.459;
;1568;3319.141;
