Результат свертки 1 файлаЦулая Александр Миоинтерфейс_ЭКГ_08dfgd_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1087;1748.383;
-0.02122877;1152;1718.909;
-0.02578321;1150;1684.085;
-0.02969806;1094;1652.77;
-0.02920786;1037;1624.148;
-0.03152617;1029;1588.058;
-0.03581784;1068;1533.169;
-0.04093812;1105;1455.216;
-0.04635295;1105;1358.426;
-0.05216198;1078;1251.072;
-0.05685086;1071;1142.052;
-0.06011757;1099;1038.755;
-0.05858566;1126;943.9009;
-0.05842378;1114;853.9006;
-0.06065361;1072;764.4796;
-0.05845338;1029;676.7311;
-0.06100743;1000;594.2415;
-0.0608493;992;517.6353;
-0.06255765;1012;442.8748;
-0.06710602;1069;365.2787;
-0.06686705;1150;283.6975;
-0.05783848;1215;202.983;
-0.06311763;1210;132.4919;
-0.0642321;1135;81.3781;
-0.06654517;1067;51.93185;
-0.06865116;1065;38.09536;
-0.06403776;1092;29.76299;
-0.06371848;1096;21.22747;
-0.06076288;1091;13.21145;
-0.05793952;1110;11.29715;
-0.06680156;1136;24.0425;
-0.06466153;1137;58.27285;
-0.05853221;1106;111.7032;
-0.06118528;1059;173.6176;
-0.06440077;1008;234.0136;
-0.06171774;963;289.6825;
-0.05564747;933;340.7602;
-0.04932353;939;386.1658;
-0.05675675;997;423.8035;
-0.06284994;1100;451.2539;
-0.06052688;1196;466.0333;
-0.06928517;1225;469.4225;
-0.07756215;1167;469.2708;
-0.08440998;1068;475.1143;
-0.08431454;1015;488.6237;
-0.08448301;1062;500.7822;
-0.08680407;1168;499.4195;
-0.1005147;1259;478.4598;
-0.1047444;1309;439.2738;
-0.09495111;1350;387.7074;
-0.09996357;1404;332.0833;
-0.1001145;1467;280.4632;
-0.1077441;1517;235.1751;
-0.09355988;1533;191.6552;
-0.08491337;1507;145.3069;
-0.08072823;1450;97.22368;
-0.07853086;1396;52.49773;
-0.08229263;1387;14.74293;
-0.09267239;1436;-15.2476;
-0.07502018;1525;-38.75213;
-0.0584675;1622;-56.66914;
-0.06284614;1693;-65.90619;
-0.04117477;1695;-58.87455;
-0.0323512;1614;-28.75637;
-0.05067954;1512;24.69703;
-0.0410386;1468;93.63807;
-0.01999021;1484;165.1628;
0.009037151;1497;229.388;
0.00619929;1485;284.8559;
0.04129954;1476;336.7719;
0.04622333;1491;391.3779;
0.05585063;1522;452.778;
0.07953997;1562;520.7595;
0.2038978;1592;590.1681;
0.2038978;1578;655.89;
0.2038978;1509;718.6874;
0.2038978;1430;779.9359;
0.2038978;1396;835.6608;
0.2025881;1430;878.6902;
0.2020685;1521;904.5561;
0.2003324;1638;912.3398;
0.1993152;1721;906.8535;
0.1982981;1715;898.657;
0.1950663;1626;896.2633;
0.1865432;1535;897.616;
0.1805785;1502;891.7036;
0.1746138;1522;868.6051;
0.1677951;1559;826.2738;
0.1614217;1596;769.3328;
0.1483242;1618;703.9048;
0.1362953;1621;635.1921;
0.1227932;1626;568.3599;
0.1087031;1677;506.132;
0.09363598;1765;446.9741;
0.08067812;1821;388.5862;
0.06837791;1798;331.9157;
0.05200338;1723;276.9648;
0.03944121;1670;219.634;
0.02851593;1685;155.4917;
0.01389797;1754;84.44653;
;1838;10.80735;
;1906;-57.71153;
;1941;-113.1781;
;1935;-152.682;
;1911;-180.2813;
;1908;-202.9358;
;1941;-226.1656;
;1990;-254.1197;
;2031;-288.6439;
;2053;-325.0634;
;2065;-351.6524;
;2092;-356.4856;
;2141;-337.1044;
;2181;-301.9626;
