–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡◊ËÍdfgdÓ‚ √Ë„ÓËÈ_› √_03_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;769;-347.5397;
-0.02122877;462;-283.654;
-0.02578321;146;-212.8524;
-0.02969806;-131;-161.6494;
-0.02920786;-270;-149.2403;
-0.03152617;-173;-185.7432;
-0.03581784;107;-259.7531;
-0.04093812;397;-338.9997;
-0.04635295;588;-391.8203;
-0.05216198;649;-405.8153;
-0.05685086;536;-384.3891;
-0.06011757;240;-335.8293;
-0.05858566;-102;-277.0051;
-0.05842378;-314;-237.8647;
-0.06065361;-336;-242.7985;
-0.05845338;-216;-285.9026;
-0.06100743;-11;-343.1836;
-0.0608493;228;-400.9483;
-0.06255765;413;-453.4695;
-0.06710602;454;-483.63;
-0.06686705;333;-473.1367;
-0.05783848;115;-426.8243;
-0.06311763;-138;-370.4973;
-0.0642321;-369;-331.5358;
-0.06654517;-471;-330.1632;
-0.06865116;-346;-374.7348;
-0.06403776;-62;-453.5125;
-0.06371848;179;-535.8613;
-0.06076288;284;-591.7778;
-0.05793952;295;-610.1511;
-0.06680156;222;-595.73;
-0.06466153;6;-556.1884;
-0.05853221;-297;-504.0609;
-0.06118528;-527;-464.6388;
-0.06440077;-581;-461.546;
-0.06171774;-469;-493.0484;
-0.05564747;-229;-540.0555;
-0.04932353;71;-590.2958;
-0.05675675;300;-635.2159;
-0.06284994;327;-654.9449;
-0.06052688;148;-631.3373;
-0.06928517;-134;-571.4954;
-0.07756215;-415;-501.9323;
-0.08440998;-640;-448.9117;
-0.08431454;-711;-430.1994;
-0.08448301;-541;-451.9611;
-0.08680407;-219;-501.5873;
-0.1005147;50;-550.1916;
-0.1047444;192;-570.436;
-0.09495111;286;-552.0504;
-0.09996357;308;-497.9128;
-0.1001145;140;-413.7474;
-0.1077441;-201;-312.8054;
-0.09355988;-504;-223.07;
-0.08491337;-592;-171.6397;
-0.08072823;-452;-159.4021;
-0.07853086;-162;-166.4823;
-0.08229263;168;-177.3064;
-0.09267239;404;-181.5245;
-0.07502018;434;-160.723;
-0.0584675;269;-98.37648;
-0.06284614;34;-0.7049243;
-0.04117477;-184;106.5655;
-0.0323512;-357;196.4784;
-0.05067954;-413;248.6446;
-0.0410386;-255;252.3368;
-0.01999021;56;216.1173;
0.009037151;319;169.5292;
0.00619929;433;144.2198;
0.04129954;462;154.4571;
0.04622333;432;196.6736;
0.05585063;275;262.6055;
0.07953997;6;337.9156;
0.2038978;-223;395.1679;
0.2038978;-278;407.3518;
0.2038978;-146;374.1047;
0.2038978;110;317.2034;
0.2038978;399;252.7541;
0.2025881;601;188.477;
0.2020685;606;140.9975;
0.2003324;415;131.5444;
0.1993152;141;161.1682;
0.1982981;-109;209.1003;
0.1950663;-281;248.8398;
0.1865432;-313;259.1565;
0.1805785;-147;229.6054;
0.1746138;149;170.5993;
0.1677951;383;111.5008;
0.1614217;467;80.34274;
0.1483242;462;86.18168;
0.1362953;393;124.9569;
0.1227932;183;193.8109;
0.1087031;-156;284.3928;
0.09363598;-442;369.4728;
0.08067812;-504;419.8629;
0.06837791;-304;433.9508;
0.05200338;67;431.7954;
0.03944121;458;427.2863;
0.02851593;699;428.1273;
0.01389797;689;453.7444;
;473;524.9852;
;191;635.1884;
;-68;750.8904;
;-275;838.7219;
;-355;880.8394;
;-207;874.8704;
;105;833.9715;
;387;784.6688;
;545;753.4977;
;610;751.8519;
;558;776.7016;
;318;819.1045;
;-34;863.3929;
;-285;884.6617;
;-298;861.5989;
;-106;795.6745;
;183;705.2413;
;468;604.6876;
;639;504.513;
;612;425.3398;
;405;386.1878;
;129;381.2662;
;-131;384.8784;
;-335;373.6837;
;-402;332.381;
;-250;251.2132;
;50;133.6914;
;302;4.658889;
;416;-103.9408;
;445;-173.5186;
;408;-202.663;
;245;-196.4915;
;-24;-167.5147;
;-266;-142.0379;
;-358;-147.9341;
;-259;-187.5201;
;-3;-238.9668;
;317;-284.6814;
;559;-319.2179;
;609;-332.6358;
;468;-310.8683;
;235;-254.5342;
;-9;-180.8627;
;-219;-110.154;
;-291;-59.84192;
;-110;-43.20781;
;262;-57.97423;
;585;-79.30326;
;716;-75.5371;
;714;-29.4646;
;629;58.25358;
;400;180.4679;
;58;323.0567;
;-216;457.1031;
;-285;552.7114;
;-159;607.7285;
;87;643.455;
;378;676.3486;
;601;713.0714;
;627;769.0256;
;430;863.3186;
;118;994.6534;
;-195;1139.41;
;-454;1268.558;
;-573;1359.403;
;-432;1402.179;
;-67;1407.795;
;289;1404.64;
;474;1419.976;
;525;1465.649;
;480;1539.514;
;275;1636.249;
;-66;1745.096;
;-352;1841.59;
;-415;1899.512;
;-253;1917.917;
;48;1918.145;
;393;1916.219;
;652;1917.224;
;698;1935.063;
;511;1990.411;
;203;2084.594;
;-105;2195.765;
;-352;2297.812;
;-448;2371.401;
;-295;2405.327;
;43;2403.639;
;326;2390.266;
;426;2395.98;
;424;2437.975;
;372;2515.495;
;192;2619.803;
;-120;2735.318;
;-395;2834.24;
;-469;2889.472;
;-327;2895.706;
;-48;2867.26;
;268;2816.698;
;506;2753.078;
;551;2694.915;
;391;2660.498;
;135;2647.357;
;-118;2633.77;
;-332;2596.429;
;-441;2516.758;
;-340;2382.37;
;-61;2196.496;
;199;1983.525;
;326;1773.373;
;374;1583.254;
;361;1416.1;
;201;1270.119;
;-102;1135.065;
;-375;985.9916;
;-466;796.1495;
;-354;561.6689;
;-102;300.6956;
;198;30.45572;
;424;-237.7891;
;463;-483.993;
;303;-685.3291;
;39;-839.1248;
;-238;-966.9575;
;-478;-1096.161;
;-587;-1249.191;
;-457;-1440.299;
;-133;-1667.299;
;171;-1905.03;
