Результат свертки 1 файлаЧиков Григорий цецОкулоинтерфейс_ЭКГ_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;786;74.36333;
-0.02122877;815;138.0638;
-0.02578321;850;188.5829;
-0.02969806;892;229.4792;
-0.02920786;934;267.3026;
-0.03152617;957;309.7392;
-0.03581784;957;362.5887;
-0.04093812;944;425.9009;
-0.04635295;912;495.5397;
-0.05216198;869;565.4202;
-0.05685086;850;628.9745;
-0.06011757;879;681.2023;
-0.05858566;934;719.8192;
-0.05842378;992;744.9094;
-0.06065361;1053;760.3661;
-0.05845338;1126;775.4487;
-0.06100743;1206;798.9798;
-0.0608493;1265;830.767;
-0.06255765;1276;862.513;
-0.06710602;1239;886.7168;
-0.06686705;1191;900.2083;
-0.05783848;1171;902.4101;
-0.06311763;1207;893.8821;
-0.0642321;1306;874.5691;
-0.06654517;1443;844.9791;
-0.06865116;1563;809.6845;
-0.06403776;1624;775.9467;
-0.06371848;1610;747.7806;
-0.06076288;1537;723.6697;
-0.05793952;1450;700.5346;
-0.06680156;1413;675.804;
-0.06466153;1456;647.0217;
-0.05853221;1540;612.5634;
-0.06118528;1599;572.8093;
-0.06440077;1603;531.3812;
-0.06171774;1577;498.3079;
-0.05564747;1558;483.7307;
-0.04932353;1551;487.1167;
-0.05675675;1521;497.128;
-0.06284994;1452;504.1551;
-0.06052688;1388;506.3984;
-0.06928517;1382;505.4925;
-0.07756215;1419;502.8464;
-0.08440998;1435;498.9306;
-0.08431454;1429;494.0281;
-0.08448301;1443;491.8633;
-0.08680407;1457;499.5147;
-0.1005147;1418;521.3549;
-0.1047444;1333;554.8771;
-0.09495111;1260;592.712;
-0.09996357;1216;625.9476;
-0.1001145;1193;647.3842;
-0.1077441;1193;656.4446;
-0.09355988;1236;657.7393;
-0.08491337;1321;655.2064;
-0.08072823;1423;651.9146;
-0.07853086;1509;652.8209;
-0.08229263;1534;661.5717;
-0.09267239;1473;678.4022;
-0.07502018;1341;702.1655;
-0.0584675;1215;728.1735;
-0.06284614;1180;744.9464;
-0.04117477;1253;742.6705;
-0.0323512;1365;725.6494;
-0.05067954;1434;707.874;
-0.0410386;1453;699.2111;
-0.01999021;1452;698.9327;
0.009037151;1437;699.6672;
0.00619929;1406;693.7358;
0.04129954;1372;678.6755;
0.04622333;1343;657.5251;
0.05585063;1322;632.5452;
0.07953997;1313;601.3422;
0.2038978;1321;560.4879;
0.2038978;1331;511.0099;
0.2038978;1350;458.3984;
0.2038978;1396;410.8425;
0.2038978;1410;374.5609;
0.2025881;1291;347.3657;
0.2020685;1046;318.7182;
0.2003324;831;277.5807;
0.1993152;792;219.5356;
0.1982981;916;147.4154;
0.1950663;1079;70.01314;
0.1865432;1175;-1.326148;
0.1805785;1185;-59.05038;
0.1746138;1140;-101.8821;
0.1677951;1052;-131.1072;
0.1614217;945;-148.5655;
0.1483242;861;-158.9019;
0.1362953;830;-169.4468;
0.1227932;847;-186.6969;
0.1087031;878;-211.247;
0.09363598;889;-239.1259;
0.08067812;878;-264.3028;
0.06837791;870;-280.0446;
0.05200338;875;-281.6586;
0.03944121;862;-269.4388;
0.02851593;793;-248.114;
0.01389797;666;-222.3262;
;528;-194.8293;
;436;-167.8436;
;424;-146.4285;
;462;-136.0039;
;506;-136.4772;
;532;-139.7832;
;516;-136.3899;
;435;-122.7325;
;312;-102.8869;
;219;-85.49399;
;197;-80.31148;
;207;-91.44222;
;212;-113.5248;
;231;-137.8497;
;270;-158.3988;
;292;-172.1421;
;283;-180.6496;
;260;-190.7216;
;225;-208.0315;
;168;-230.7167;
;108;-254.0527;
;97;-277.7845;
;157;-304.9579;
;260;-336.9207;
;358;-371.9283;
;404;-405.3741;
;366;-429.3719;
;253;-437.8089;
;109;-430.884;
;-14;-415.5078;
;-68;-401.4135;
;-41;-396.4905;
;26;-401.7271;
;81;-410.8271;
;105;-416.1545;
;104;-411.7891;
;84;-394.4015;
;42;-367.5518;
;-39;-340.4763;
;-155;-318.3626;
;-259;-299.2354;
;-297;-280.3575;
;-271;-261.8132;
