–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡◊ËÍÓ‚ √Ë„ÓËÈ_› √_03_11_20163È4.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-713;1081.221;
-0.02122877;-819;1069.04;
-0.02578321;-914;1045.908;
-0.02969806;-931;1020.166;
-0.02920786;-877;993.5232;
-0.03152617;-787;959.4805;
-0.03581784;-691;910.7258;
-0.04093812;-628;847.618;
-0.04635295;-642;780.0527;
-0.05216198;-733;719.7859;
-0.05685086;-821;668.6416;
-0.06011757;-827;615.0602;
-0.05858566;-767;547.6406;
-0.05842378;-710;465.644;
-0.06065361;-683;371.9018;
-0.05845338;-663;267.8581;
-0.06100743;-645;163.2577;
-0.0608493;-654;73.08299;
-0.06255765;-703;-3.470787;
-0.06710602;-765;-84.10999;
-0.06686705;-798;-178.2706;
-0.05783848;-807;-276.6065;
-0.06311763;-821;-366.1544;
-0.0642321;-830;-441.4085;
-0.06654517;-800;-500.1043;
-0.06865116;-724;-542.2667;
-0.06403776;-646;-573.7622;
-0.06371848;-622;-604.1512;
-0.06076288;-682;-638.5156;
-0.05793952;-800;-673.2373;
-0.06680156;-889;-698.9921;
-0.06466153;-894;-710.6763;
-0.05853221;-844;-714.7824;
-0.06118528;-789;-723.0746;
-0.06440077;-739;-738.2189;
-0.06171774;-711;-749.4464;
-0.05564747;-726;-743.7504;
-0.04932353;-773;-717.8925;
-0.05675675;-817;-682.0553;
-0.06284994;-860;-651.8773;
-0.06052688;-918;-636.7524;
-0.06928517;-980;-634.9883;
-0.07756215;-998;-642.2102;
-0.08440998;-941;-659.7645;
-0.08431454;-834;-690.6346;
-0.08448301;-741;-732.3528;
-0.08680407;-702;-779.4476;
-0.1005147;-713;-828.9014;
-0.1047444;-754;-875.3842;
-0.09495111;-807;-907.9951;
-0.09996357;-845;-918.1497;
-0.1001145;-825;-910.7725;
-0.1077441;-751;-897.8646;
-0.09355988;-692;-885.9895;
-0.08491337;-718;-876.9715;
-0.08072823;-797;-875.8019;
-0.07853086;-849;-884.4991;
-0.08229263;-864;-891.7577;
-0.09267239;-901;-880.3533;
-0.07502018;-958;-843.0083;
-0.0584675;-973;-783.0257;
-0.06284614;-923;-705.504;
-0.04117477;-857;-612.4929;
-0.0323512;-803;-503.0539;
-0.05067954;-735;-377.8192;
-0.0410386;-630;-243.0267;
-0.01999021;-514;-106.4142;
0.009037151;-466;30.37128;
0.00619929;-573;167.8345;
0.04129954;-811;305.2391;
0.04622333;-1012;441.9413;
0.05585063;-1038;576.1131;
0.07953997;-926;699.6835;
0.2038978;-790;807.4318;
0.2038978;-693;903.1263;
0.2038978;-648;990.667;
0.2038978;-660;1067.807;
0.2038978;-698;1134.866;
0.2025881;-705;1198.189;
0.2020685;-660;1259.835;
0.2003324;-607;1315.175;
0.1993152;-608;1361.531;
0.1982981;-651;1399.73;
0.1950663;-650;1426.343;
0.1865432;-570;1431.929;
0.1805785;-467;1408.547;
0.1746138;-402;1359.135;
0.1677951;-384;1298.857;
0.1614217;-415;1242.803;
0.1483242;-493;1193.261;
0.1362953;-558;1138.443;
0.1227932;-513;1064.989;
0.1087031;-355;968.7244;
0.09363598;-195;856.3744;
0.08067812;-134;739.8994;
0.06837791;-184;629.545;
0.05200338;-271;527.0723;
0.03944121;-297;426.6871;
0.02851593;-232;323.0938;
0.01389797;-145;216.5165;
;-124;108.1217;
;-194;-2.774525;
;-328;-115.9238;
;-468;-229.5911;
;-531;-344.041;
;-487;-459.4395;
;-404;-571.9312;
;-373;-674.9775;
;-416;-763.7876;
;-476;-835.191;
;-499;-889.1124;
;-474;-930.5357;
;-430;-966.7145;
;-397;-999.3057;
;-390;-1022.95;
;-417;-1030.33;
;-463;-1017.93;
;-458;-986.4463;
;-364;-941.3326;
;-245;-891.3514;
;-210;-842.975;
;-276;-793.9374;
;-372;-738.1749;
;-426;-673.8043;
;-398;-602.761;
;-294;-526.5915;
;-167;-448.3308;
;-87;-373.6216;
;-96;-305.0815;
;-182;-240.941;
;-268;-180.5624;
;-271;-128.5644;
;-188;-91.69038;
;-97;-73.58097;
;-67;-72.81223;
;-112;-84.91515;
;-199;-105.5269;
;-263;-132.6354;
;-245;-167.4186;
;-161;-210.984;
;-116;-259.086;
;-199;-303.4409;
;-361;-340.2664;
;-460;-374.4472;
;-410;-411.747;
;-275;-451.2048;
;-184;-488.0368;
;-203;-522.2783;
;-300;-560.5096;
;-397;-605.4275;
;-437;-650.6432;
;-415;-689.7897;
;-386;-725.4832;
;-388;-763.197;
