Результат свертки 1 файлаЧурсин Павел Нейрои43242нтерфейс_ЭКГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1323;-1211.209;
-0.02122877;1107;-1202.8;
-0.02578321;904;-1182.799;
-0.02969806;844;-1166.162;
-0.02920786;910;-1162.74;
-0.03152617;953;-1172.438;
-0.03581784;910;-1191.77;
-0.04093812;883;-1214.611;
-0.04635295;943;-1227.171;
-0.05216198;1027;-1214.224;
-0.05685086;1053;-1177.119;
-0.06011757;993;-1136.952;
-0.05858566;858;-1111.208;
-0.05842378;708;-1095.008;
-0.06065361;642;-1075.773;
-0.05845338;687;-1055.347;
-0.06100743;780;-1045.422;
-0.0608493;863;-1048.991;
-0.06255765;944;-1058.799;
-0.06710602;1032;-1063.481;
-0.06686705;1071;-1049.978;
-0.05783848;990;-1009.693;
-0.06311763;838;-948.681;
-0.0642321;746;-886.7144;
-0.06654517;751;-843.2915;
-0.06865116;769;-824.7156;
-0.06403776;769;-823.8011;
-0.06371848;822;-828.7366;
-0.06076288;947;-828.143;
-0.05793952;1058;-812.6244;
-0.06680156;1088;-782.7209;
-0.06466153;1039;-751.3073;
-0.05853221;926;-727.5459;
-0.06118528;773;-704.1655;
-0.06440077;639;-674.1658;
-0.06171774;595;-647.9003;
-0.05564747;669;-640.3122;
-0.04932353;821;-651.0837;
-0.05675675;968;-669.3151;
-0.06284994;1042;-682.1526;
-0.06052688;1007;-677.3629;
-0.06928517;873;-649.7914;
-0.07756215;734;-609.8852;
-0.08440998;703;-576.0613;
-0.08431454;766;-560.0298;
-0.08448301;801;-563.3619;
-0.08680407;778;-581.2235;
-0.1005147;787;-604.6899;
-0.1047444;861;-621.8876;
-0.09495111;933;-620.0815;
-0.09996357;953;-592.7789;
-0.1001145;924;-550.3492;
-0.1077441;856;-513.4152;
-0.09355988;766;-490.7455;
-0.08491337;691;-476.11;
-0.08072823;668;-465.9932;
-0.07853086;730;-463.8065;
-0.08229263;874;-467.7589;
-0.09267239;1039;-472.3676;
-0.07502018;1124;-474.8221;
-0.0584675;1066;-470.1638;
-0.06284614;894;-450.1283;
-0.04117477;732;-416.4409;
-0.0323512;688;-383.4826;
-0.05067954;734;-365.6555;
-0.0410386;753;-369.2603;
-0.01999021;732;-392.9792;
0.009037151;752;-426.6787;
0.00619929;841;-452.2905;
0.04129954;951;-454.4537;
0.04622333;1034;-435.0869;
0.05585063;1050;-414.8927;
0.07953997;960;-412.894;
0.2038978;800;-425.5297;
0.2038978;676;-437.1375;
0.2038978;662;-444.3029;
0.2038978;744;-456.4232;
0.2038978;874;-477.7544;
0.2025881;1018;-503.4929;
0.2020685;1115;-527.4193;
0.2003324;1076;-543.7657;
0.1993152;883;-548.2675;
0.1982981;670;-542.3024;
0.1950663;604;-531.8896;
0.1865432;688;-524.0027;
0.1805785;788;-525.7112;
0.1746138;851;-542.1711;
0.1677951;932;-570.0067;
0.1614217;1029;-595.1859;
0.1483242;1060;-601.9844;
0.1362953;1011;-589.3287;
0.1227932;940;-573.291;
0.1087031;865;-568.5792;
0.09363598;767;-570.955;
0.08067812;673;-567.9644;
0.06837791;653;-559.7792;
0.05200338;741;-556.9709;
0.03944121;891;-565.3233;
0.02851593;1030;-581.2922;
0.01389797;1102;-593.979;
;1072;-588.0687;
;942;-555.6247;
;798;-506.4127;
;753;-461.0394;
;799;-434.4494;
;834;-429.7718;
;817;-440.4981;
;793;-453.3529;
;798;-454.421;
;842;-437.7472;
;935;-407.9117;
;1022;-376.9307;
;996;-354.3271;
;849;-337.47;
;698;-318.9176;
;658;-301.9197;
;739;-298.0141;
;885;-312.0419;
;1027;-337.8079;
;1093;-365.0551;
;1042;-381.9683;
;917;-380.049;
;836;-364.255;
;864;-352.4497;
;929;-358.5406;
;930;-384.7123;
;885;-426.2806;
;891;-476.6981;
;978;-523.0128;
;1075;-548.3372;
;1112;-546.1497;
;1066;-529.7803;
;952;-517.1419;
;817;-512.0186;
;721;-506.8418;
;703;-498.1132;
;770;-487.1497;
;890;-475.3831;
;1014;-463.4082;
;1087;-447.5324;
;1048;-414.1473;
;893;-349.6755;
;729;-255.9121;
;685;-147.6095;
;740;-39.23199;
;756;60.08389;
;701;147.423;
;678;229.104;
;744;321.4002;
;843;443.4356;
;906;599.451;
;887;769.3428;
;770;928.4882;
;603;1075.536;
;479;1227.247;
;467;1388.435;
;575;1545.264;
;765;1687.005;
;947;1816.109;
;1011;1942.05;
;903;2077.731;
;688;2233.529;
;514;2404.911;
;493;2572.921;
;569;2718.55;
;604;2834.063;
;572;2922.28;
;572;2993.795;
;638;3065.45;
;691;3153.963;
;685;3261.191;
;657;3368.691;
;626;3456.297;
;570;3525.552;
;506;3589.81;
;487;3649.022;
;524;3692.6;
;591;3720.154;
;664;3741.194;
;707;3765.436;
;651;3801.903;
;478;3857.319;
;322;3926.461;
;339;3992.683;
;480;4039.851;
;550;4060.602;
;506;4058.542;
;492;4045.677;
;588;4035.636;
;702;4036.328;
;733;4045.01;
;668;4048.317;
;539;4034.92;
;379;4008.487;
;239;3976.451;
;197;3930.389;
;292;3854.442;
;471;3746.354;
;637;3615.293;
;726;3470.809;
;707;3322.373;
;577;3177.304;
;417;3029.881;
;344;2864.263;
;363;2667.307;
;376;2434.925;
;368;2169.893;
;420;1882.802;
;544;1589.575;
;646;1303.881;
;665;1026.63;
;597;744.5585;
;468;444.1581;
;332;127.4584;
;266;-193.1071;
;301;-512.3688;
;405;-835.4783;
;538;-1167.699;
;657;-1508.152;
;708;-1847.974;
;645;-2170.313;
;470;-2461.605;
;269;-2724.355;
;177;-2972.912;
;235;-3220.287;
;342;-3470.968;
;411;-3721.937;
;461;-3963.862;
;515;-4182.472;
;534;-4365.227;
;511;-4511.887;
;475;-4635.953;
;419;-4750.339;
;323;-4852.344;
;231;-4931.75;
;216;-4988.964;
;298;-5033.894;
;437;-5071.9;
;575;-5099.577;
;647;-5107.771;
;596;-5087.163;
;430;-5036.176;
;269;-4965.681;
;251;-4890.982;
;357;-4820.884;
;431;-4757.296;
;415;-4699.446;
;400;-4643.092;
;443;-4578.71;
;487;-4495.34;
;481;-4393.289;
;448;-4288.375;
;413;-4194.705;
;366;-4107.216;
;292;-4015.445;
;212;-3923.446;
;185;-3842.62;
;251;-3774.625;
;387;-3714.881;
;505;-3659.885;
;511;-3602.276;
;389;-3530.854;
;250;-3444.848;
;220;-3357.469;
;282;-3284.657;
;309;-3234.987;
;263;-3207.455;
;243;-3191.357;
;314;-3170.449;
;427;-3132.109;
;495;-3077.858;
;459;-3022.373;
;320;-2975.409;
;157;-2928.052;
;70;-2867.068;
;94;-2794.971;
;192;-2722.812;
;323;-2651.293;
;449;-2571.531;
;507;-2472.389;
;444;-2337.901;
;290;-2152.983;
;146;-1918.89;
;108;-1650.006;
;164;-1354.329;
;212;-1026.751;
;214;-657.54;
;233;-237.002;
;305;247.4097;
;387;809.7784;
;431;1455.685;
;427;2179.079;
;363;2972.9;
;246;3840.392;
;137;4787.236;
;114;5807.925;
;186;6890.507;
;311;8030.709;
;443;9231.68;
;544;10497.93;
;540;11833.87;
;388;13239.42;
;175;14701.23;
;66;16194.03;
;104;17692.93;
;182;19182.1;
;220;20651.67;
;252;22091.74;
;302;23494.91;
;349;24858.28;
;370;26172.54;
;348;27411.04;
;258;28542.57;
;112;29552.28;
;-22;30436.58;
;-82;31182.02;
;-41;31766.07;
;94;32174.52;
;270;32404.17;
;398;32455.15;
;392;32330.82;
;227;32036.54;
;20;31569.67;
;-42;30919.05;
;76;30078.65;
;211;29054.47;
;237;27859.14;
;225;26508.75;
;289;25027.96;
;402;23447.38;
;477;21788.6;
;484;20055.28;
;434;18250.59;
;347;16398.44;
;277;14530.71;
;289;12659.38;
;407;10782.04;
;593;8907.357;
;781;7059.823;
;909;5269.329;
;922;3563.968;
;798;1960.298;
;633;454.1922;
;592;-970.0087;
;709;-2323.039;
;838;-3608.285;
;893;-4826.875;
;949;-5976.033;
;1061;-7045.701;
;1160;-8023.391;
;1183;-8907.42;
;1136;-9714.915;
;1046;-10465.51;
;936;-11160.62;
;858;-11792.84;
;869;-12370.53;
;981;-12914.77;
;1153;-13438.07;
;1307;-13939.86;
;1381;-14415.31;
;1350;-14857.71;
;1234;-15260.3;
;1121;-15623.56;
;1109;-15957.31;
;1179;-16275.16;
;1217;-16587.06;
;1208;-16893.34;
;1263;-17182.76;
;1410;-17436.78;
;1546;-17639.92;
;1607;-17792.15;
;1609;-17910.77;
;1564;-18012.35;
;1471;-18093.76;
;1383;-18142.02;
;1363;-18156.15;
;1436;-18146;
;1579;-18114.49;
;1743;-18053.75;
;1844;-17953.04;
;1801;-17801.51;
;1614;-17593.09;
;1416;-17335.34;
;1349;-17046.34;
;1396;-16738.9;
;1426;-16414.47;
;1384;-16068.12;
;1339;-15694.16;
;1343;-15287.1;
;1373;-14842.94;
;1386;-14364.06;
;1343;-13862.07;
;1212;-13346.88;
;1022;-12816.5;
;853;-12268.27;
;760;-11714.11;
;752;-11172.42;
;808;-10648.99;
;888;-10137.26;
;927;-9628.492;
;854;-9113.988;
;668;-8588.623;
;471;-8058.68;
;375;-7539.496;
;375;-7045.396;
;364;-6584.578;
;298;-6158.356;
;239;-5760.92;
;233;-5380.039;
;249;-5002.761;
;241;-4626.608;
;178;-4264.409;
;63;-3930.049;
;-60;-3620.566;
;-137;-3323.178;
;-150;-3038.203;
;-112;-2777.489;
;-33;-2545.039;
;64;-2331.952;
;129;-2125.369;
;106;-1912.197;
;-18;-1684.35;
;-148;-1446.843;
;-167;-1214.578;
;-93;-1000.037;
;-57;-808.4117;
;-88;-640.8463;
;-85;-493.3768;
;-8;-352.9899;
;71;-204.6926;
;107;-44.59497;
;116;116.0355;
;87;266.3087;
;-16;407.4577;
;-155;543.4493;
;-235;666.999;
;-198;767.2052;
;-75;845.1024;
;58;911.8839;
;132;978.9006;
;103;1053.554;
;-27;1138.345;
;-169;1226.717;
;-207;1307.94;
;-153;1374.548;
;-134;1425.244;
;-182;1460.043;
;-188;1483.034;
;-100;1506.383;
;0;1546.03;
;37;1607.836;
;8;1681.446;
;-82;1753.809;
;-217;1823.208;
;-331;1891.647;
;-361;1952.999;
;-314;2001.781;
;-237;2044.003;
;-166;2088.928;
;-133;2139.781;
;-186;2199.623;
;-340;2272.099;
;-507;2353.631;
;-581;2433.964;
;-566;2504.196;
;-554;2556.347;
;-563;2585.987;
;-517;2599;
;-389;2613.066;
;-241;2643.925;
;-124;2691.759;
;-49;2740.119;
;-18;2774.453;
;-13;2799.149;
;30;2826.795;
;179;2856.929;
;447;2877.362;
;788;2882.54;
;1147;2875.348;
;1498;2863.841;
;1800;2860.681;
;2015;2878.595;
;2202;2915.949;
;2495;2957.654;
;2920;2988.243;
;3361;3000.971;
;3748;2996.199;
;4153;2980.784;
;4636;2968.881;
;5140;2975.548;
;5604;3003.023;
;6034;3035.125;
;6437;3055.703;
;6798;3068.07;
;7138;3085.596;
;7506;3107.551;
;7912;3119.999;
;8321;3116.521;
;8687;3103.409;
;8970;3091.362;
;9111;3089.868;
;9079;3105.235;
;8954;3133.97;
;8875;3163.819;
;8846;3181.582;
;8720;3179.973;
;8454;3160.042;
;8191;3130.182;
;8015;3102.245;
;7835;3084.98;
;7534;3079.275;
;7077;3074.883;
;6499;3060.623;
;5885;3039.491;
;5339;3021.472;
;4918;3002.093;
;4620;2965.517;
;4423;2907.418;
