–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¯ÂÏÂÎËÌ ÌÂÈÓ_› √23_08_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-1697;2218.624;
-0.02122877;-1829;2192.097;
-0.02578321;-2170;2163.468;
-0.02969806;-2290;2152.84;
-0.02920786;-1999;2173.105;
-0.03152617;-1537;2223.428;
-0.03581784;-1354;2272.517;
-0.04093812;-1640;2280.851;
-0.04635295;-2129;2252.11;
-0.05216198;-2422;2234.704;
-0.05685086;-2381;2260.765;
-0.06011757;-2131;2306.531;
-0.05858566;-1838;2315.033;
-0.05842378;-1593;2251.752;
-0.06065361;-1457;2145.104;
-0.05845338;-1529;2068.48;
-0.06100743;-1863;2069.054;
-0.0608493;-2245;2124.147;
-0.06255765;-2292;2172.696;
-0.06710602;-1962;2172.008;
-0.06686705;-1671;2118.836;
-0.05783848;-1750;2038.668;
-0.06311763;-2040;1960.877;
-0.0642321;-2129;1903.245;
-0.06654517;-1834;1876.045;
-0.06865116;-1393;1880.264;
-0.06403776;-1245;1888.275;
-0.06371848;-1560;1861.279;
-0.06076288;-2048;1801.519;
-0.05793952;-2311;1756.695;
-0.06680156;-2243;1759.326;
-0.06466153;-1992;1786.409;
-0.05853221;-1716;1782.613;
-0.06118528;-1490;1712.562;
-0.06440077;-1367;1600.274;
-0.06171774;-1442;1517.366;
-0.05564747;-1764;1514.987;
-0.04932353;-2125;1573.839;
-0.05675675;-2166;1632.095;
-0.06284994;-1852;1644.596;
-0.06052688;-1588;1607.016;
-0.06928517;-1689;1544.185;
-0.07756215;-1994;1486.292;
-0.08440998;-2108;1453.162;
-0.08431454;-1842;1455.571;
-0.08448301;-1408;1491.864;
-0.08680407;-1230;1531.957;
-0.1005147;-1511;1536.025;
-0.1047444;-1990;1506.936;
-0.09495111;-2265;1494.38;
-0.09996357;-2211;1533.443;
-0.1001145;-1963;1601.621;
-0.1077441;-1674;1639.87;
-0.09355988;-1423;1608.803;
-0.08491337;-1274;1533.096;
-0.08072823;-1332;1488.881;
-0.07853086;-1659;1529.396;
-0.08229263;-2041;1631.606;
-0.09267239;-2099;1727.97;
-0.07502018;-1781;1771.965;
-0.0584675;-1499;1762.227;
-0.06284614;-1598;1725.868;
-0.04117477;-1923;1691.975;
-0.0323512;-2044;1677.715;
-0.05067954;-1742;1692.481;
-0.0410386;-1250;1735.71;
-0.01999021;-1039;1780.015;
0.009037151;-1331;1787.247;
0.00619929;-1847;1759.702;
0.04129954;-2153;1745.615;
0.04622333;-2105;1778.641;
0.05585063;-1845;1835.097;
0.07953997;-1547;1857.563;
0.2038978;-1298;1808.45;
0.2038978;-1149;1711.314;
0.2038978;-1194;1640.04;
0.2038978;-1494;1649.997;
0.2038978;-1841;1723.523;
0.2025881;-1862;1795.548;
0.2020685;-1514;1817.234;
0.2003324;-1218;1783.34;
0.1993152;-1322;1720.359;
0.1982981;-1654;1661.019;
0.1950663;-1779;1627.241;
0.1865432;-1490;1629.813;
0.1805785;-1020;1666.426;
0.1746138;-821;1707.551;
0.1677951;-1094;1714.016;
0.1614217;-1575;1686.67;
0.1483242;-1850;1672.989;
0.1362953;-1795;1708.91;
0.1227932;-1552;1774.341;
0.1087031;-1285;1811.467;
0.09363598;-1057;1779.062;
0.08067812;-912;1697.963;
0.06837791;-960;1642.75;
0.05200338;-1273;1671.5;
0.03944121;-1661;1768.985;
0.02851593;-1732;1870.095;
0.01389797;-1410;1922.536;
;-1105;1917.108;
;-1193;1876.632;
;-1531;1831.194;
;-1683;1802.069;
;-1423;1803.371;
;-968;1838.152;
;-758;1879.956;
;-1010;1888.063;
;-1479;1859.99;
;-1770;1841.753;
;-1734;1868.941;
;-1495;1921.518;
;-1218;1942.733;
;-990;1893.139;
;-850;1793.901;
;-895;1718.281;
;-1201;1724.123;
;-1588;1797.281;
;-1660;1874.15;
;-1326;1905.339;
;-998;1885.548;
;-1058;1840.31;
;-1389;1799.028;
;-1558;1780.228;
;-1318;1796.87;
;-864;1853.49;
;-649;1925.875;
;-891;1973.671;
;-1338;1993.015;
;-1602;2029.034;
;-1564;2118.623;
;-1345;2243.77;
;-1080;2348.713;
;-844;2392.106;
;-696;2391.369;
;-737;2417.37;
;-1038;2529.014;
;-1410;2713.199;
;-1466;2904.865;
;-1122;3051.202;
;-793;3143.562;
;-864;3205.618;
;-1205;3267.474;
;-1370;3348.509;
;-1121;3460.369;
;-659;3604.906;
;-436;3756.02;
;-680;3871.512;
;-1150;3946.151;
;-1443;4026.629;
;-1411;4152.355;
;-1180;4305.625;
;-918;4429.831;
;-711;4484.482;
;-586;4487.644;
;-615;4509.392;
;-875;4607.221;
;-1224;4768.706;
;-1306;4931.87;
;-1006;5045.333;
;-696;5100.048;
;-756;5119.53;
;-1087;5135.625;
;-1264;5169.164;
;-1028;5232.484;
;-553;5327.825;
;-282;5428.791;
;-472;5491.016;
;-916;5507.47;
;-1223;5523.138;
;-1225;5575.21;
;-1017;5644.822;
;-738;5676.812;
;-474;5631.567;
;-290;5526.219;
;-300;5429.678;
;-581;5398.825;
;-955;5421.921;
;-1040;5436.425;
